Country,Economic Group,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Grenada,LAC,-0.018,,,,,,,0.093,,,0.751,8066.54,20.436,34.514,46.269,23.671
Guatemala,LAC,-0.399,,,,,,,7.293,,,89.149,12224.272,9.999,14.006,5.166,-10.711
Guinea,SSA,-0.085,,,,,,,,,,3221.274,,4.714,14.447,,
Guinea-Bissau,SSA,-0.08,,,,,,,0.864,,,189.535,219257.903,3.524,21.043,0.099,-0.6
Guyana,LAC,-0.181,,,,,,,0.781,,,193.348,247441.909,-12.996,35.911,1.556,-23.684
Haiti,LAC,-0.075,,,,,,,6.15,,,12.914,2099.772,18.686,,4.769,17.525
Honduras,LAC,-0.222,,,,,,,3.867,6.667,,60.542,15655.611,4.721,15.961,11.511,-16.845
Hong Kong SAR,OAE,-0.176,,,,,,2.407,5.297,3.522,,519.575,98086.529,30.824,30.983,33.6,-0.942
Hungary,EDE,-0.531,,,,,,,10.695,0.154,,16532.135,1545774.956,27.386,30.027,,3.54
Iceland,OAE,-0.256,15.011,0.664,14.366,11.625,0.179,0.114,0.232,0.67,,541.326,2331472.438,22.434,29.963,12.767,-8.943
India,EDA,-3.393,,,,,,,715.563,,,14737.682,20595.94,17.413,19.081,11.165,8.061
Indonesia,EDA,-5.4,12352.9,,,,,,153.379,,,1585289.144,10335784.11,16.901,37.316,6.371,-25
Iraq,MENA,,,,,,,,,,,,,,,,
Ireland,EURO,-1.872,7.495,,9.741,,,,3.48,,4.894,49.802,14310.844,15.991,27.629,,4.482
Islamic Republic of Iran,MENA,4.913,,,,,,,40.812,,,858152.683,21026812.46,26.773,23.522,,135.474
Israel,OAE,-2.258,,,,,,1.298,4.018,5.048,,262.576,65342.253,12.446,21.694,0.315,-2.955
Italy,EURO,-10.254,,,,,,20.247,56.524,8.288,-2.787,1061.427,18778.321,19.585,23.26,33.685,-1.305
Jamaica,LAC,-0.539,,,,,,,2.186,27.577,,490.041,224127.427,8.344,14.944,3.315,-12.49
Japan,OAE,6.847,80044.6,,91406.2,164844.1,62490.5,56.386,118.451,2.35,-5.129,290596.21,2453299.687,30.177,29.768,84.033,1.432
Jordan,MENA,-0.336,,,,,,,2.409,,,3.534,1467.04,29.225,39.44,36.324,-10.433
Kazakhstan,CIS,,,,,,,,,,,,,,,,
Kenya,SSA,-0.305,17.463,,21.722,,,,16.92,,,1237.691,73148.287,13.995,24.423,10.692,3.2
Kiribati,EDA,0.005,,,,,,,0.06,,,0.125,2075.11,,,,-7.19
Korea,OAE,-5.542,,,,,,14.379,39.326,4.133,-11.069,189219.1,4811509.087,25.082,32.209,32.111,8.19
Kosovo,EDE,,,,,,,,,,,,,,,,
Kuwait,MENA,4.873,,,,,,,1.497,0.5,,11.493,7677.519,47.491,22.948,68.957,-28.848
Kyrgyz Republic,CIS,,,,,,,,,,,,,,,,
Lao P.D.R.,EDA,-0.051,,,,,,,3.376,,,6158.365,1824160.219,,,,66.915
Latvia,EURO,,,,,,,,,,,,,,,,
Lebanon,MENA,0.991,,,,,,,2.521,,,18390.347,7294124.918,64.258,,0.124,43.328
Lesotho,SSA,-0.064,0.121,,0.13,,,,1.334,,,3.494,2618.913,48.943,37.847,7.804,0
Liberia,MENA,,,,,,,,,,,,,,,,
Libya,SSA,-1.579,,,,,,,3.273,,,37.571,11478.237,,29.594,43.534,
Lithuania,EURO,,,,,,,,,,,,,,,,
