Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Finland,5.301,53.22,-3.296,59.104,54.351,-6.926,2.09,5.099,15.4,-4.013,123.399,24201.795,23.714,20.282,70.696,8.752
France,7.338,600.966,-51.06,663.738,679.3,567.4,22.812,57.753,10.508,-1.746,1535.082,26580.34,20.856,20.401,74.14,8.71
FYR Macedonia,-0.273,,,,,,,1.963,,,241.897,123197.409,14.494,,75.053,-0.756
Gabon,0.465,730.574,,660.906,1933.655,,,1.065,,,3555.458,3337412.646,30.689,22.712,96.557,6.231
Georgia,-0.347,0.272,,0.395,,,,4.794,,,4.558,950.706,12.51,,82.048,-9.591
Germany,-32.239,855.594,-54.298,1032.824,1027.705,643.318,35.762,81.817,8.233,-0.488,2140.79,26165.429,22.498,23.741,75.5,6.571
Ghana,-0.32,0.159,,0.244,0.959,,,16.23,,,11.041,680.316,9.262,12.979,8.032,7.181
Greece,-3.214,37.96,-5.407,48.144,86.876,,4.062,10.536,10,-3.151,158.777,15069.942,20.125,22.472,68.962,3.001
Grenada,-0.042,0.21,,0.215,0.398,,,0.1,,,1.144,11406.882,18.137,30.347,72.185,-0.2
Guatemala,-0.572,7.544,,7.974,,,,10.007,,,120.635,12055.07,12.712,17.221,36.96,16.383
Guinea,-0.272,547.757,,646.925,3389.946,,,7.837,,,5114.793,652632.387,14.025,21.397,131.5,4.684
Guinea-Bissau,-0.035,40.718,,31.295,,,,1.125,,,280.096,248887.597,2.64,8.537,35.274,-31.699
Guyana,-0.069,,,,,,,0.727,,,213.432,293578.618,13.305,20.271,45.105,8.127
Haiti,-0.039,,,,,,,7.82,,,11.603,1483.73,24.704,26.095,23.799,54.065
Honduras,-0.177,8.803,,9.406,34.503,,,5.592,3.2,,90.541,16191.29,14.851,26.29,55.1,28.355
Hong Kong SAR,-9.064,179.883,4.559,183.2,,,2.905,6.314,3.187,,1146.926,181641.391,31.36,34.291,92.5,9.913
Hungary,-1.638,2714.139,,3216.279,4905.207,,,10.337,10.17,,15687.762,1517632.002,18.176,23.208,31.342,36.499
Iceland,0.013,189.606,-1.394,203.29,267.611,179.298,0.141,0.267,4.794,,674.77,2527436.139,17.926,17.74,97.65,-2.289
India,-5.911,2190.003,,2899.764,8544.61,,,937,,,29557.733,31545.072,23.662,25.274,33.679,13.851
Indonesia,-6.8,68909.9,,65390,,,,194.755,7.42,,3911022.1,20081774.31,23.905,32.399,18.133,8.2
Iraq,,,,,,,,,,,,,,,,
Ireland,1.716,20.483,,21.628,43.061,,1.282,3.601,14.1,-7.204,79.296,22018.715,20.901,18.878,68.2,20.141
Islamic Republic of Iran,3.358,45008,,51467,,,,61.584,10,,1061904.735,17243320.8,33.158,27.508,10.14,-17.899
Israel,-4.948,,,,,,1.96,5.542,6.863,,489.371,88307.15,20.588,25.537,57.972,9.692
Italy,24.415,438.823,-61.784,510.267,1070.572,939.611,20.761,56.844,11.15,-2.09,1409.059,24787.997,22.213,19.813,80.3,12.583
Jamaica,-0.09,58.524,,54.718,,,,2.462,16.2,,686.261,278735.682,22.394,24.7,66.515,22.735
Japan,110.422,146929.9,-23342.138,170730.2,476974.2,114743,64.573,125.436,3.15,-0.477,455457.9,3630991.041,30.186,28.098,100.914,4.186
Jordan,-0.257,1.621,,1.703,5.419,5.355,,4.264,15.4,,4.628,1085.272,29.105,32.965,60.944,8.7
Kazakhstan,-0.213,171,,,,,,15.676,10.983,,5756.471,367220.231,18.604,19.889,55.283,24.822
Kenya,-1.578,139.863,,142.846,,,,25.521,,,1861.635,72945.749,11.716,17.581,70.097,16.601
Kiribati,-0.006,0.058,,0.064,0.011,,,0.078,,,0.118,1523.602,,,86.022,9.042
Korea,-9.752,70862,8612.779,61095,38366.081,,20.414,45.093,2.067,0.927,628442.1,13936580.52,37.251,39.003,61.085,23.067
Kosovo,,,,,,,,,,,,,,,,
Kuwait,5.016,4.279,,4.429,7.406,,,1.576,1.5,,19.239,12207.482,37.72,14.759,97.007,-1.134
Kyrgyz Republic,-0.235,3.933,,6.115,,,,4.596,5.7,,16.146,3513.051,2.088,18.338,37.986,-17.364
Lao P.D.R.,-0.124,,,,,,,4.871,,,11974.84,2458156.345,,,9.911,3.7
Latvia,-0.016,,,,,,1.041,2.501,6.951,,9.617,3846.031,12.647,15.948,42.814,9.119
Lebanon,-1.071,3105.67,,5532.09,,,,3.033,,,28168.164,9285985.393,23.31,,61.113,-1.391
Lesotho,-0.264,1.77,,1.575,2.369,,,1.857,,,6.119,3295.447,34.756,67.543,37.16,6.507
Liberia,,,,,,,,,,,,,,,,
Libya,3.243,3.673,,3.23,6.968,5.745,,4.75,,,28.884,6080.947,,7.942,118.595,26.279
Lithuania,-0.614,2.256,,2.568,,,,3.629,,,14.464,3985.697,13.495,23.071,75.22,
Luxembourg,2.473,6.503,0.216,6.12,1.225,,0.216,0.406,2.961,0.697,22.464,55371.096,31.421,20.191,65.14,4.571
Macao SAR,,,,,,,,,,,,,,,,
Madagascar,-0.276,308.17,,474.756,3125.651,,,13.453,,,4359.666,324077.847,1.572,11.252,71.762,29.527
Malawi,-0.078,,,,,,,10.666,,,527.445,49452.891,4.124,8.669,7.992,-0.307
Malaysia,-8.644,62.272,3.681,58.597,92.476,,,20.682,3.143,,416.013,20114.941,37.863,46.924,69.914,18.552
Maldives,-0.018,1.404,,1.714,,0,,0.245,,,6.532,26683.424,24.168,28.07,99.436,9.677
Mali,-0.284,,,,,,,8.989,,,1764.726,196323.846,25.943,34.209,95.216,10.626
Malta,-0.164,,,,1.249,,0.143,0.369,4.9,19.322,,,31.503,31.531,62.522,5.366
Marshall Islands,-0.029,0.078,,0.1,0.006,,,,,,,,,,,
Mauritania,0.007,35.293,,,,347.336,,2.292,,,377.212,164573.689,18.857,20.377,56.756,10.348
Mauritius,-0.022,,-1.765,16.043,,,,1.125,5.116,,132.114,117468.464,13.512,29.619,73.928,7.225
