Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,0.001,,,,,,,3.12,5.43,,376.52,120690.744,38.912,42.992,,0
Algeria,-2.23,,,,,,,22.8,18.356,,3337.676,146389.282,24.115,27.919,11.576,-0.3
Angola,-0.303,,,,,,,10.795,,,380.529,35248.94,6.053,13.957,,-33.8
Antigua and Barbuda,-0.134,,,,,,,0.063,,,1.179,18737.322,-19.662,,69.858,
Argentina,-2.859,,,,,,,30.74,6.3,,380.115,12365.495,15.142,15.168,0.001,-9.975
Armenia,,,,,,,,,,,,,,,,
Australia,-9.163,,,,,,6.974,16.139,8.117,-1.731,657.33,40729.817,17.629,25.59,,3.625
Austria,0.204,,-2.915,,,,2.78,7.557,3.1,-0.082,176.009,23292.028,23.147,26.899,68.959,-2.348
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,-0.069,,,,,,,0.435,,,3.364,7733.434,5.999,8.545,85.15,
Bangladesh,-0.582,45.14,,85.235,,,,96.852,,,1875.6,19365.729,17.141,17.091,36.398,32.055
Barbados,-0.016,,,,,,,0.25,17.735,,0.833,3330.848,12.58,12.933,61.943,-16.085
Belarus,,,,,,,,,,,,,,,,
Belgium,3.069,64.13,-12.837,77.366,161.023,,3.685,9.859,10.05,-2.15,230.256,23355.112,18.618,19.338,56.467,2.288
Belize,0.012,,,,,,,0.171,,,0.534,3125.508,26.242,17.444,,0
Benin,-0.09,,,,,,,4.424,,,1284.75,290420.664,6.318,14.613,36.553,11.421
Bhutan,-0.093,1.122,,1.221,,,,0.484,,,7.364,15214.463,8.937,40.531,163.962,23.394
Bolivia,-0.302,1.486,,1.691,,,,5.997,,,13.486,2248.691,5.443,13.536,18.888,19.132
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.109,,,0.959,,,,1.197,,,18.748,15667.314,35.909,25.395,25.287,4.218
Brazil,-5.651,,,,,,,134.653,3.6,,606.264,4502.418,16.629,19.29,20507.494,-16.745
Brunei Darussalam,1.993,3.332,,2.867,0,,,0.226,,,12.675,56010.872,,,,-11.622
Bulgaria,-0.951,,,,,,,8.94,,,72.615,8122.627,37.072,40.865,,-38.691
Burkina Faso,-0.038,88.91,,105.383,,,,7.93,,,1051.019,132537.123,15.899,17.745,46.575,2.568
Burundi,-0.036,,,,,,,4.864,,,1018.711,209427.162,8.915,47.171,5.458,-12.629
Cabo Verde,0.002,,,,,,,0.325,23.762,,33.87,104179.113,20.988,38.272,48.047,-22.8
Cambodia,,,,,,,,7.016,,,,,-41.532,9.282,,
Cameroon,-0.452,,,,,,,10.389,,,6958.932,669807.961,17.895,23.43,86.42,-6.041
Canada,-11.359,207.942,-39.415,246.5,367.647,204.576,12.004,26.067,9.608,0.581,896.993,34410.404,18.759,21.768,66.633,4.486
Central African Republic,-0.087,,,,,,,2.684,,,569.022,211988.469,12.69,4.841,74.21,-13.147
Chad,-0.059,,,,,,,5.117,,,1133.02,221432.426,-2.663,13.75,41.315,-27.784
Chile,-1.191,,,,,,,12.317,12.299,,27105.544,2200572.94,10.736,20.935,14.439,10.095
