Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.069,,,,,,,3.217,26.5,,243.165,75586.006,9.098,7.219,27.768,
Algeria,1.29,316.8,,308.724,676.259,676.259,,26.271,21.368,,3447.743,131237.588,30.221,27.6,35.101,5.989
Angola,-0.735,,,,,,,12.725,,,386.092,30340.145,16.656,23.575,,8.359
Antigua and Barbuda,-0.01,0.253,,0.265,1.287,,,0.062,,,1.505,24365.132,23.303,,93.677,1.877
Argentina,-6.468,,,,63.25,,,33.42,7.112,,427.277,12785.06,11.589,14.486,22.194,2.105
Armenia,-0.05,,,,,,,3.45,,,1005.093,291331.401,,8.824,0.039,
Australia,-10.36,126.775,-16.531,144.803,119.507,78.787,7.63,17.557,10.75,-2.904,774.903,44136.078,19.464,22.742,60.1,6.27
Austria,-0.753,72.282,-3.984,75.651,87.27,,3.056,7.799,3.29,2.962,206.849,26522.859,24.281,26.423,80.42,1.319
Azerbaijan,-0.198,,,,,,,7.459,,,7.466,1001.025,-11.204,21.99,0.197,
Bahrain,-0.826,0.512,,0.627,0.138,-0.147,,0.516,,,4.033,7808.912,14.723,29.917,84.371,
Bangladesh,-0.126,149.668,,143.85,,,,112.431,,,2355.081,20946.903,19.14,18.275,54.126,15.157
Barbados,0.145,,,,,,,0.25,22.915,,0.803,3211.173,15.022,7.231,84.598,-8.49
Belarus,0.222,,,,,,,10.217,0.5,,73806.286,7223868.725,33.489,33.489,,
Belgium,6.664,86.499,-16.454,101.748,244.914,,3.891,10.022,7.092,0.891,272.189,27159.137,22.933,23.482,65.752,2.379
Belize,-0.029,,,,,,,0.199,12,,1.16,5827.654,15.117,23.882,88.106,0
Benin,-0.097,93.266,,109.383,,,,5.378,,,1478.304,274868.287,11.175,15.51,39.4,4.053
Bhutan,-0.07,1.993,,2.241,,,,0.528,,,12.64,23938.687,18.155,45.696,294.906,-34.72
Bolivia,-0.406,4.591,,5.559,,,,6.789,,,16.524,2434.101,9.455,16.704,44.546,1.113
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.198,,,3.761,,,,1.465,,,32.091,21905.942,43.323,31.826,49.349,-1.049
Brazil,6.145,,,,,,,151.547,5.8,,626.301,4132.718,20.071,19.056,25568186004,11.994
Brunei Darussalam,1.81,2.325,,3.071,0,,,0.267,4.7,,14.143,52932.025,,,80.433,6.042
Bulgaria,-0.36,,,18.005,,,,8.553,13.24,,57.546,6728.327,11.045,22.813,0.517,19.522
Burkina Faso,-0.159,142.304,,135.983,,,,9.3,,,1231.341,132402.31,14.041,18.765,48.598,-23.992
Burundi,-0.06,57.588,,68.514,,,,5.78,,,1264.679,218802.628,2.687,34.577,8.397,5.976
Cabo Verde,-0.02,,,,,,,0.371,26,,41.646,112132.765,23.146,33.613,75.674,-9.7
Cambodia,-0.025,,,,,,,8.434,,,8259.91,979383.04,10.548,11.557,33.034,14.639
Cameroon,-0.366,,,,,,,12.412,,,5395.481,434685.655,13.064,12.231,100.6,4.831
Canada,-21.54,311.139,-44.771,377.229,638.568,417.308,12.73,28.324,11.217,-4.419,986.692,34835.692,14.801,18.437,84.533,7.425
Central African Republic,-0.083,59.569,,87.253,,,,3.051,,,591.071,193743.795,-0.208,11.815,65.528,-12.951
Chad,-0.086,,,,,,,5.922,,,1502.139,253640.322,-0.551,10.088,42.38,-1.91
Chile,-0.958,3889.124,,3535.392,5117.626,2487.166,,13.665,6.7,,43047.764,3150164.974,20.437,26.213,40.628,13.9
China,,367.061,,400.306,,,,1171.71,2.3,,6944.266,5926.608,38.369,39.276,45.273,
Colombia,0.876,8554.6,,8585.8,,,,35.53,5.935,,232658.46,6548193.115,17.48,18.3,17.39,4.483
Comoros,-0.014,21.218,,23.518,116.82,116.82,,0.457,,,99.198,217281.719,18.537,17.434,,-7.719
Costa Rica,-0.409,140.9,,158.336,,,,3.191,4.1,,9339.275,2926526.714,15.738,20.385,11.53,17.774
Côte d'Ivoire,-1.013,,,,,,,12.157,,,7347.337,604360.664,-2.856,7.8,59.211,11.783
Croatia,0.314,0.872,,0.977,,,,4.73,15.253,,209.677,44330.866,13.765,16.098,4.91,77.508
Cyprus,-0.638,,,,,,0.278,0.621,1.825,1.828,8.693,14000.939,18.208,38.106,60.037,18.919
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.757,,,,,,,42.39,,,7341.104,173180.999,3.876,38.968,,
Denmark,4.199,496.308,-24.303,520.041,616.3,,2.623,5.162,8.608,-2.344,1333.3,258285.055,18.94,18.94,86,0.271
Djibouti,-0.017,34.29,,44.01,,,,0.512,,,77.237,150963.573,16.173,19.667,79.371,-7.846
Dominica,-0.025,0.163,,0.177,0.349,,,0.071,,,0.795,11165.353,12.384,20.333,73.46,6.913
Dominican Republic,-0.582,,,,,,,7.375,9.537,,631.493,85630.276,16.937,28.951,18.323,12.063
Ecuador,-0.215,,,,,,,10.912,8.9,,32.871,3012.25,16.941,17.702,3.152,9.6
Egypt,3.669,,,,,,,53.508,8.952,,657.864,12294.603,31.599,18.802,55.745,6.856
El Salvador,-0.109,0.88,,1.132,2.114,,,5.51,7.9,,5.348,970.544,16.306,18.527,45.84,7.778
Equatorial Guinea,-0.011,15.79,,251.981,57.987,,,0.4,,,78.057,195326.147,40.222,35.155,54.678,60.42
Eritrea,,0.67,,0.553,,,,3.427,,,9.179,2678.561,18.029,7.742,43.983,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.12,2.751,,4.205,26.604,23.78,,50.096,,,115.732,2310.195,6.554,10.594,79.781,2.752
Fiji,-0.04,0.591,,0.661,1.082,1.053,,0.744,6.895,,3.735,5017.646,,13.348,,
Finland,-4.974,47.422,-1.605,51.56,33.309,-36.547,2.196,5.029,11.708,-6.609,114.772,22822.023,16.39,21.052,67.897,10.377
France,3.836,539.638,-53.318,591.416,452.6,351.677,22.816,57.111,9.442,0.277,1478.325,25885.33,22.119,21.847,70.03,5.885
FYR Macedonia,-0.009,,,,,,,1.933,,,269.265,139330.004,4.343,,,
Gabon,-0.226,341.131,,418.319,1385.13,,,0.99,,,3141.754,3173489.102,17.433,22.028,62.69,2.553
Georgia,,,,,,,,,,,,,,,,
Germany,-25.287,755.706,-43.98,799.686,694.938,,36.564,80.975,6.592,2.36,2071.08,25576.899,23.771,24.959,69.645,-0.353
Ghana,-0.524,0.036,,0.071,0.165,,,15.046,,,9.664,642.264,10.036,14.287,2.745,7.263
Greece,-2.144,18.935,-7.393,26.611,49.03,,3.835,10.367,8.7,1.075,154.94,14945.236,20.743,22.581,51.579,10.02
Grenada,-0.024,0.17,,0.183,0.336,,,0.097,,,1.121,11530.02,20.842,28.689,65.177,-0.528
Guatemala,-0.706,,,,,,,9.334,,,107.972,11567.632,12.016,20.171,27.323,16.118
Guinea,-0.237,478.419,,571.551,2555.792,,,6.734,,,4472.375,664124.465,13.994,21.224,116.1,-3.119
Guinea-Bissau,-0.097,21.614,,22.166,,,,1.059,,,255.714,241503.921,4.892,15.81,15.118,-70.657
Guyana,-0.119,,,,,,,0.718,,,173.082,241061.7,11.292,31.116,33.65,24.984
Haiti,-0.075,,,,,,,7.359,,,12.562,1707.111,75.451,,11.107,-55.779
Honduras,-0.22,5.241,,5.929,32.589,,,5.181,3.2,,82.971,16014.843,14.285,27.915,29.8,7.98
Hong Kong SAR,3.135,135.3,24.922,113.332,,,2.738,5.929,1.957,,994.866,167792.774,33.266,28.177,72.4,17.542
Hungary,0.352,,,,,,,10.374,9.303,,14947.121,1440832.436,16.369,18.025,16.644,2.102
Iceland,-0.166,173.571,0.18,181.633,185.639,106.512,0.123,0.26,4.19,,642.075,2472114.58,15.311,19.67,90.92,-1.982
India,-3.526,1430.752,,1930.594,5995.395,,,881.875,,,24592.828,27886.977,21.835,23.038,25.738,1.147
Indonesia,-3.1,47409.3,,,,,,185.378,2.8,,3112907,16792215.15,22.783,40.517,13.774,12.5
Iraq,,,,,,,,,,,,,,,,
Ireland,0.545,17.579,,18.743,37.041,,1.165,3.555,16.3,-2.687,66.782,18788.136,16.733,17.214,,13.859
