Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.075,,,,,,,3.309,6.721,6.721,404.37,122203.497,36.738,43.506,4.043,
Algeria,-1.033,,,,,,,24.7,18.1,18.1,3407.404,137951.585,20.33,30.518,14.365,8
Angola,-0.132,,,,,,,11.683,,,420.514,35993.386,10.169,10.727,,2.7
Antigua and Barbuda,-0.083,,,,,,,0.06,,,1.412,23409.316,12.301,,81.811,
Argentina,1.095,,,,,,,31.86,8,8,355.328,11152.803,14.074,13.454,0.711,7.472
Armenia,,,,,,,,,,,,,,,,
Australia,-18.461,118.812,,,66.235,38.611,7.718,16.937,6.175,6.175,751.875,44393.18,25.685,30.195,55.2,3.349
Austria,0.248,54.807,-3.985,-3.985,72.082,,2.862,7.594,2.348,2.348,187.709,24717.132,25.07,26.616,73.17,10.544
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,-0.193,,,,,,,0.484,,,3.556,7354.824,15.475,13.938,83.305,
Bangladesh,-1.262,64.455,,,,,,104.779,,,2061.649,19676.104,17.993,17.404,46.797,20.871
Barbados,-0.003,,,,,,,0.25,15.244,15.244,0.916,3664.395,16.131,15.452,73.25,12.884
Belarus,,,,,,,,,,,,,,,,
Belgium,3.604,72.7,-11.917,-11.917,197.053,,3.843,9.928,7.367,7.367,255.251,25711.251,23.349,24.438,60.489,8.776
Belize,-0.019,,,,,,,0.184,,,0.835,4543.782,25.306,27.372,80.221,0
Benin,-0.026,91.467,,,,,,4.848,,,1264.149,260758.332,9.483,11.91,37.231,13.362
Bhutan,-0.071,1.62,,,,,,0.53,,,10.819,20414.106,23,33.146,211.745,3.068
Bolivia,0.033,2.4,,,,,,6.381,,,14.759,2313.092,6.823,11.588,29.603,24.61
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.492,,,,,,,1.333,,,27.825,20879.51,43.284,38.447,33.589,0.866
Brazil,1.034,,,,,,,142.307,3.35,3.35,649.906,4566.928,24.459,25.016,21280159.75,1.367
Brunei Darussalam,2.153,2.526,,,0,,,0.246,,,12.948,52571.55,,,,-0.451
Bulgaria,-0.769,,,,,,,8.789,0.025,0.025,77.464,8813.562,34.178,37.863,0.004,-11.331
Burkina Faso,-0.029,151.538,,,,,,8.58,,,1133.157,132069.615,17.205,18.318,49.788,-28.18
Burundi,-0.011,,,,,,,5.305,,,1144.074,215677.65,7.497,50.54,6.761,-10.015
Cabo Verde,-0.026,,,,,,,0.346,24.98,24.98,39.582,114286.025,21.019,34.412,54.053,-6.4
Cambodia,,,,,,,,7.692,,,7090.918,921849.154,1.355,8.089,2.483,54.964
Cameroon,-0.29,,,,,,,11.332,,,6162.584,543799.107,13.612,15.548,100.82,23.706
Canada,-22.247,272.226,-44.693,-44.693,480.087,272.257,12.995,27.215,7.508,7.508,997.758,36662.175,19.761,23.698,76.031,0.826
Central African Republic,-0.033,65.938,,,,,,2.852,,,609.864,213866.903,9.265,11.71,66.738,32.428
Chad,-0.051,,,,,,,5.51,,,1287.59,233673.613,-1.636,12.737,43.067,-9.295
Chile,-0.691,,,,,,,12.963,7.98,7.98,34281.67,2644485.167,30.213,27.25,23.806,16.111
China,,305.012,,,,,,1127.04,2.6,2.6,5354.784,4751.192,35.727,37.132,38.178,
Colombia,-0.201,3422.7,,,,,,33.443,6.792,6.792,208844.311,6244692.854,18.242,21.26,8.28,10.826
Comoros,0.005,19.241,,,119.281,119.281,,0.449,,,91.933,204795.62,13.204,11.708,,-6.49
Costa Rica,-0.376,,,,,,,2.977,3.774,3.774,8076.122,2712848.998,18.905,26.586,6.18,16.074
Côte d'Ivoire,-0.966,,,,,,,10.804,,,7443.945,688981.602,-0.129,11.498,56.165,3.074
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.249,,,,,,0.271,0.577,2.3,2.3,7.347,12730.581,25.472,42.197,50.026,10.906
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.862,,,,,,,38.456,,,9584.701,249240.376,6.482,55.95,,
Denmark,-1.118,448.115,1.426,1.426,,,2.633,5.13,6.825,6.825,1271,247769.007,21.323,21.323,80.6,4.658
Djibouti,,,,,,,,,,,,,,,,
Dominica,-0.045,,,,,,,0.072,,,0.729,10170.065,9.568,29.873,65.978,-8.179
Dominican Republic,-0.265,,,,,,,6.979,,,626.803,89811.97,15.938,31.271,8.975,8.598
Ecuador,-0.592,,,,,,,10.189,7.9,7.9,29.3,2875.592,12.794,16.993,0.883,-3.83
Egypt,-2.506,,,,,,,50.9,,,627.658,12331.196,19.07,30.215,34.669,14.154
El Salvador,-0.194,,,,,,,5.249,9.074,9.074,4.58,872.512,6.941,12.881,29.162,-11.905
Equatorial Guinea,-0.021,13.592,,,62.572,,,0.362,,,57.958,159949.414,25.333,37.579,49.741,-21.978
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.144,4.698,,,,,,45.273,,,133.461,2947.881,8.191,15.69,51.346,13.665
Fiji,-0.016,,,,,,,0.724,7.789,7.789,3.419,4720.681,,14.492,,
Finland,-5.797,46.349,-0.21,-0.21,12.262,-49.649,2.494,4.954,3.108,3.108,127.938,25823.32,25.397,30.439,62.022,2.746
France,-4.636,473.245,-23.553,-23.553,342.2,248.099,22.829,56.27,8.7,8.7,1399.309,24867.847,23.703,24.153,64.421,9.837
FYR Macedonia,,,,,,,,,,,,,,,,
Gabon,-0.177,,,,,,,0.91,,,2905.242,3192573.193,20.724,25.642,68.341,25.187
Georgia,,,,,,,,,,,,,,,,
Germany,54.179,,,,,,35.395,77.755,6.79,6.79,1837.767,23635.322,25.444,26.473,,10.286
Ghana,-0.202,0.024,,,,,,13.95,,,8.554,613.196,8.647,10.98,1.616,9.074
Greece,-2.561,9.579,-4.816,-4.816,21.285,,3.821,10.058,7.5,7.5,149.238,14837.549,20.777,24.009,31.169,1.938
Grenada,-0.026,,,,,,,0.097,,,1.069,11032.563,17.512,27.163,59.906,-5.384
Guatemala,-0.367,,,,,,,8.697,,,97.203,11177.141,9.017,13.515,13.611,12.927
Guinea,-0.18,,,,,,,,,,4091.63,,9.163,18.492,69.975,
Guinea-Bissau,-0.08,,,,,,,0.997,,,221.028,221800.082,6.189,22.051,3.828,-13.1
Guyana,-0.12,,,,,,,0.726,,,156.194,215143.245,-0.884,19.23,9.532,-2.992
Haiti,,,,,,,,6.943,,,12.748,1835.924,65.27,,6.721,-18.134
Honduras,-0.218,,,,,,,4.765,6.667,6.667,76.005,15949.192,10.918,20.847,16.933,5.1
Hong Kong SAR,6.298,82.429,9.017,9.017,,,2.723,5.767,1.078,1.078,853.277,147961.163,37.927,26.523,53.9,8.258
Hungary,-0.588,,,,,,,10.422,0.531,0.531,18134.925,1740145.164,22.677,27.703,7.761,1.21
Iceland,-0.076,124.568,-17.342,-17.342,114.734,55.087,0.126,0.252,1.658,1.658,658.286,2613087.835,20.47,20.436,77.69,2.943
India,-6.906,887.897,,,,,,830.5,,,21861.069,26322.781,21.418,23.71,18.648,9.721
Indonesia,-1.7,27606,,,,,,175.902,2.8,2.8,2461207.4,13991927.49,25.582,44.364,10.851,11
Iraq,,,,,,,,,,,,,,,,
Ireland,-0.494,13.83,,,,,1.111,3.51,17.9,17.9,58.892,16780.841,16.57,19.254,,11.417
Islamic Republic of Iran,-2.972,,,,,,,51.102,,,809504.271,15840998.23,23.048,24.758,2.556,7.881
Israel,0.214,,,,,,1.461,4.516,8.881,8.881,336.203,74451.863,16.867,17.082,27.739,3.992
Italy,-15.031,254.651,-65.16,-65.16,589.995,558.111,21.217,56.649,9.667,9.667,1302.927,22999.918,19.643,22.436,57.826,8.527
Jamaica,-0.324,,,,,,,2.324,15.2,15.2,591.471,254471.276,20.73,19.785,9.531,1.205
Japan,63.142,129172,,,280128.5,59105.5,61.278,123.028,2.25,2.25,402088.294,3268259.882,33.759,31.828,92.647,9.474
Jordan,0.161,0.87,,,5.132,5.216,,3.144,10.282,10.282,3.429,1090.522,27.544,23.236,45.166,-7.571
Kazakhstan,,,,,,,,,,,,,,,,
Kenya,-0.59,44.696,,,,,,21.4,,,1669.43,78010.768,12.38,20.877,21.104,0
Kiribati,0.003,0.03,,,0.002,,,0.07,,,0.115,1649.891,,,65.16,0.207
