Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.179,103.238,,141.437,277.501,277.501,,3.129,17.7,,336.685,107617.742,18.064,21.363,80.934,24.363
Algeria,-0.91,774.511,,875.739,2062.386,2062.386,,29.507,28.021,,3831.051,129835.339,25.258,27.146,93.258,1.653
Angola,-1.867,0.864,,1.073,,,,15.195,,,436.161,28704.488,6.373,35.198,0.278,2.536
Antigua and Barbuda,-0.047,0.406,,0.532,2.016,,,0.072,,,1.897,26250.957,21.218,,98.347,1.871
Argentina,-14.467,71.204,-10.077,77.307,114.134,,,36.005,14.789,,553.07,15360.752,14.614,18.654,26.64,12.701
Armenia,-0.416,163.812,,,431.731,,,3.11,,,1136.579,365459.555,0.693,22.686,144.522,18.608
Australia,-17.845,208.486,1.108,206.421,143.643,88.661,8.515,18.706,7.683,0.883,990.172,52934.466,21.7,26.171,67.9,0.507
Austria,-3.513,96.241,-5.616,101.576,124.559,,3.077,7.971,4.483,0.386,236.939,29724.756,24.637,26.225,89.12,7.851
Azerbaijan,-1.364,0.674,,0.816,0.473,,,7.913,,,4.747,599.939,2.783,34.665,98.96,27.084
Bahrain,-0.778,0.554,,0.705,0.548,0.125,,0.605,,,5.058,8362.666,12.814,23.927,94.7,-6.366
Bangladesh,-0.47,207.251,,266.964,,,,127.479,,,3125.062,24514.423,22.66,23.04,80.429,12.858
Barbados,-0.086,1.85,,1.871,2.023,1.755,,0.267,12.15,,0.951,3565.592,15.571,18.539,93.67,3.418
Belarus,-1.017,76.284,,76.712,,,,10.045,2.339,,66455.554,6615784.405,19.257,25.935,4.664,-15.846
Belgium,13.255,116.335,-1.35,118.558,277.159,210.886,4.036,10.192,9.342,-0.799,306.115,30034.014,25.879,22.416,72.167,4.759
Belize,-0.06,0.339,,0.397,,,,0.239,14.3,,1.354,5675.498,9.225,15.239,100.057,-0.745
Benin,-0.133,251.848,,215.581,,,,6.546,,,1941.106,296510.812,13.519,18.946,75.025,-30.324
Bhutan,0.039,4.95,,4.806,5.535,,,0.534,,,16.916,31677.332,19.719,37.155,501.368,10.022
Bolivia,-0.667,11.646,,14.034,,,,7.914,,,21.717,2744.139,12.822,23.607,71.55,0
Bosnia and Herzegovina,-0.348,4.927,,5.017,5.015,4.677,,3.654,32.196,,14.986,4101.188,27.089,33.729,97.238,
Botswana,0.17,,,8.864,2.423,,,1.696,,,40.819,24073.846,42.185,37.937,85.029,-16.34
Brazil,-33.892,337.59,0,409.966,,,,166.252,7.597,,764.497,4598.423,14.242,18.165,9.61E+12,5.957
Brunei Darussalam,0.752,1.916,,4.066,0,,,0.31,0.738,,15.41,49788.505,,86.925,94.041,-9.952
Bulgaria,0.173,8.385,,8.098,17.813,,,8.105,12.367,,45.721,5640.829,16.02,18.663,67.71,-1.87
Burkina Faso,-0.208,319.046,,367.391,,,,11,,,1728.17,157106.375,17.753,25.181,75.325,108.332
Burundi,-0.044,72.17,,92.805,,,,6.3,,,1016.161,161295.441,-0.819,20,22.478,-23.443
Cabo Verde,-0.058,16.966,,18.976,46.374,44.692,,0.426,24,,63.955,150153.52,22.609,28.715,103.011,0
Cambodia,-0.172,943.253,,1571.199,4358.002,,,11.685,,,11569.565,990092.973,6.335,11.834,82.329,-5.499
Cameroon,-0.151,,,,4532.08,4532.08,,14.706,,,6099.683,414783.448,18.77,15.045,167.7,11.439
Canada,-8.822,409.597,6.549,408.255,877.439,556.306,14.047,30.124,8.292,-1.028,1196.213,39709.791,19.72,21.116,91.6,9.516
Central African Republic,-0.063,109.463,,109.457,517.389,,,3.498,,,701.262,200467.122,5.036,11.125,96.62,-13.394
Chad,-0.154,127.165,,153.314,,,,7.108,,,1776.718,249960.383,5.675,16.275,81.27,8.344
