Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.027,,,,,,,3.059,5.853,,356.553,116562.838,39.411,44.829,,0
Algeria,1.015,,,,,,,22.2,16.901,,3344.364,150647.032,31.733,27.682,10.346,2.6
Angola,0.195,,,,,,,10.496,,,369.805,35234.258,13.189,13.902,,-5.9
Antigua and Barbuda,-0.029,,,,,,,0.064,,,1.089,17012.811,7.167,,68.511,
Argentina,-0.952,,,,,,,30.35,6.25,,354.765,11689.132,16.1,15.324,0.001,15.554
Armenia,,,,,,,,,,,,,,,,
Australia,-8.478,,,,,,6.701,15.901,8.258,-1.16,641.623,40352.115,18.352,27.278,,10.397
Austria,-0.158,,-1.295,,,,2.76,7.549,3.6,-0.723,171.983,22783.132,23.049,27.009,68.207,7.1
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,0.039,,,,,,,0.42,,,3.348,7967.723,26.235,23.88,87.288,
Bangladesh,-0.747,39.105,,71.68,,,,94.288,,,1803.721,19129.965,17.479,17.381,32.908,-1.145
Barbados,0.005,,,,,,,0.25,18.631,,0.792,3169.218,13.446,12.46,62.23,-7.078
Belarus,,,,,,,,,,,,,,,,
Belgium,0.675,62.155,-12.432,74.939,147.319,,3.661,9.858,10.117,-1.973,226.134,22939.757,17.505,19.746,56.137,0.228
Belize,0.009,,,,,,,0.166,,,0.498,2997.695,34.514,17.377,,0
Benin,-0.046,,,,,,,4.287,,,1250.393,291704.793,4.512,9.818,36.403,71.615
Bhutan,-0.078,0.97,,1.177,,,,0.469,,,6.821,14544.217,13.555,45.342,154.009,-5.414
Bolivia,-0.296,0.284,,0.515,,,,5.875,,,13.842,2356.279,14.145,19.464,11.472,-18.742
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.082,,,0.71,,,,1.154,,,17.261,14955.575,36.632,16.936,22.822,-7.034
Brazil,-0.228,,,,,,,131.978,5.3,,563.733,4271.42,17.613,19.131,11414.84,-3.243
Brunei Darussalam,3.158,7.533,,4.318,0,,,0.222,,,13.037,58753.493,,,,
Bulgaria,-0.136,,,,,,,8.96,,,68.96,7696.109,36.817,36.955,,-17.431
Burkina Faso,-0.067,80.45,,78.956,,,,7.73,,,973.568,125946.76,16.607,20.934,48.281,-16.959
Burundi,-0.041,,,,,,,4.726,,,986.646,208779.214,7.014,47.726,5.226,12.6
Cabo Verde,-0.005,,,,,,,0.318,23.369,,32.924,103400.44,37.329,42.866,43.242,1.3
Cambodia,,,,,,,,,,,,,,,,
Cameroon,-0.562,,,,,,,10.111,,,6516.398,644511.906,17.205,22.824,79.62,
Canada,-5.839,193.569,-44.567,237.358,328.142,172.716,11.657,25.813,10.508,0.972,878.012,34014.061,20.015,21.616,63.833,4.462
Central African Republic,-0.049,,,,,,,2.595,,,530.84,204572.672,9.777,4.885,72.463,8.108
Chad,-0.087,,,,,,,4.992,,,1069.226,214188.889,0.738,13.288,49.184,-9.048
Chile,-1.413,,,,,,,12.102,14.975,,25669.046,2121027.667,8.081,19.303,12.304,12.352
China,,213.34,,204.914,,,,1058.51,1.8,,3795.753,3585.94,34.2,39.001,24.121,
Colombia,-1.596,843.8,,1015.6,,,,30.794,8.742,,174038.209,5651614.18,13.758,20.309,3.42,9.861
Comoros,-0.014,17.025,,21.356,123.264,123.264,,0.395,,,89.194,225571.223,13.842,12.257,,134
Costa Rica,-0.13,,,,,,,2.666,6.846,,6683.381,2506908.579,22.006,25.869,3.34,-6.239
Côte d'Ivoire,0.068,,,,,,,9.528,,,6855.979,719553.522,12.171,17.441,46.273,-3.2
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.18,,,,,,0.248,0.55,3.3,-0.472,5.654,10276.192,26.759,41.419,44.425,-4.628
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.092,,,,,,,33.772,,,8986.569,266093.966,7.251,,,
