Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.248,145.639,,184.163,341.522,341.522,,3.06,16.44,,439.811,143720.93,33.617,39.689,39.689,23.9
Algeria,7.06,1479.104,,1321.028,2314.168,2065.141,,30.954,27.306,,4227,136557.472,39.65,26.754,26.754,-1.696
Angola,-1.431,90.32,,82.661,201.158,,,16.604,,,478.607,28825.083,-2.385,13.628,13.628,-2.578
Antigua and Barbuda,-0.057,0.37,,0.668,2.549,,,0.077,,,1.957,25458.432,13.85,,,-6.312
Argentina,-3.782,63.577,-15.889,79.401,144.222,,,37.156,19.209,,506.758,13638.588,12.964,14.137,14.137,6.126
Armenia,-0.221,200.44,,,444.761,,,3.06,38.4,,1358.76,444039.338,5.404,15.844,15.844,27.943
Australia,-7.822,259.965,0.964,260.233,124.955,34.211,9.015,19.386,6.767,-0.22,1092.211,56338.854,21.361,23.521,23.521,2.913
Austria,-1.512,110.926,-2.641,112.282,146.328,,3.148,8.021,4.008,0.129,257.139,32058.634,24.404,25.206,25.206,5.744
Azerbaijan,-0.052,1.158,,0.992,1.296,,,8.234,,,5.982,726.538,19.77,20.675,20.675,32.75
Bahrain,0.226,0.981,,0.956,0.901,0.473,,0.661,,,5.879,8890.232,20.135,15.347,15.347,-3.691
Bangladesh,-0.431,254.436,,374.46,,,,134.73,,,3647.102,27069.81,23.489,24.314,24.314,3.893
Barbados,-0.114,2.262,,2.257,2.891,2.274,,0.27,9.85,,0.973,3606.15,11.657,15.314,15.314,-3.486
Belarus,-0.401,7718.544,,7823.046,,,,9.957,2.257,,75983.737,7631187.833,22.035,25.279,25.279,12.313
Belgium,7.896,131.193,0.009,130.736,285.882,202.487,4.231,10.263,6.717,0.378,331.208,32270.753,23.994,22.592,22.592,2.134
