Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,0.024,,,,,,,3.201,22.3,,266.509,83248.825,22.575,18.326,36.36,0
Algeria,0.81,320.1,,390.484,880.727,880.727,,26.894,23.152,,3375.254,125502.129,25.65,24.06,42.297,2.135
Angola,-0.669,,,,,,,13.107,,,293.494,22391.787,16.154,24.188,,-8.275
Antigua and Barbuda,0.015,0.259,,0.297,1.303,,,0.063,,,1.587,25131.081,25.22,,93.167,5.421
Argentina,-8.043,58.155,-10.933,58.22,71.112,,,33.917,11.606,,453.986,13385.017,13.072,17.502,24.983,2.385
Armenia,-0.05,1.017,,,,,,3.37,,,863.837,256331.434,,7.698,4.337,
Australia,-9.269,133.699,-18.328,152.558,139.397,100.244,7.655,17.719,10.875,-2.055,805.583,45464.129,21.003,23.929,61.2,8.454
Austria,-1.013,78.811,-5.851,86.131,97.552,,3.055,7.883,3.958,0.819,207.939,26379.806,22.978,25.489,82.91,-2.373
Azerbaijan,-0.16,,,,,,,7.487,,,5.742,766.904,10.587,20.94,2.863,-62.4
Bahrain,-0.338,0.562,,0.626,0.14,-0.198,,0.53,,,4.34,8184.503,16.669,22.341,87.162,
Bangladesh,-0.132,174.338,,167.032,,,,114.898,,,2456.911,21383.494,18.905,18.909,57.072,15.755
Barbados,0.069,,,,,,,0.25,24.41,,0.809,3236.863,13.519,9.619,83.779,0.909
Belarus,-0.435,,,0.007,,,,10.24,1.4,,68197.008,6659860.888,60.528,72.408,0.01,
Belgium,11.251,92.571,-12.478,106.94,260.187,,3.866,10.068,8.625,-2.056,269.571,26774.149,24.279,22.785,67.372,0.887
Belize,-0.049,,,,,,,0.205,10,,1.232,6012.11,16.892,27.629,90.124,2.501
Benin,-0.095,101.85,,105.489,,,,5.582,,,1564.58,280269.152,12.048,16.233,40.538,12.517
Bhutan,-0.04,2.881,,2.569,4.322,,,0.519,,,13.043,25131.273,30.865,43.363,330.849,0.134
Bolivia,-0.419,5.156,,6.648,,,,6.983,,,17.23,2467.498,9.256,16.564,48.693,5.305
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.427,,,4.41,,,,1.506,,,33.383,22165.915,42.74,29.941,55.616,-7.682
Brazil,-0.592,,,,,,,153.986,5.43,,655.519,4257.004,20.27,20.835,6.59E+11,7.078
Brunei Darussalam,1.225,2.274,,3.427,0,,,0.274,4.7,,14.186,51868.598,,,83.883,-2.787
Bulgaria,-1.099,,,21.146,,,,8.463,15.84,,50.856,6008.95,2.592,17.591,0.847,0.45
Burkina Faso,-0.143,143.207,,182.033,,,,9.55,,,1273.963,133399.262,14.702,19.187,49.909,33.907
Burundi,-0.028,60.446,,63.677,,,,5.77,,,1185.809,205512.911,10.117,37.691,9.701,-19.221
Cabo Verde,-0.033,,,,,,,0.38,26,,44.69,117478.686,19.717,36.346,78.983,16
Cambodia,-0.04,,,,,,,8.697,,,8593.779,988177.068,9.356,11.253,46.578,1.785
Cameroon,-0.512,,,,,,,12.787,,,5225.086,408639.557,14.285,13.671,96.52,-17.073
Canada,-22.305,317.809,-47.159,384.555,707.67,470.033,12.797,28.651,11.375,-3.932,1012.891,35352.149,14.669,18.533,86.067,10.828
Central African Republic,-0.006,54.8,,75.541,,,,3.125,,,591.48,189264.991,4.437,10.823,62.403,13.867
Chad,-0.117,,,,,,,6.064,,,1470.984,242558.333,-9.861,4.396,55.688,-1.201
Chile,-2.554,4559.728,,4275.713,5635.739,2689.042,,13.908,6.5,,46029.21,3309436.646,21.953,28.838,45.696,3.5
