Country Group,Country,Economic Group,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
EME,Afghanistan,MENA,,,,,,,,,,,,,,,,
EME,Albania,EDE,-0.01,,,,,,,2.817,4.224,,341.131,121089.916,38.467,43.074,,0
EME,Algeria,MENA,-0.209,,,,,,,19.246,15.385,,2674.259,138951.43,28.024,30.83,7.009,
EME,Angola,SSA,-0.183,,,,,,,8.615,,,323.488,37550.337,16.9,19.342,,8
EME,Antigua and Barbuda,LAC,-0.038,,,,,,,0.068,,,0.872,12841.831,9.181,,63.183,
EME,Argentina,LAC,-5.721,,,,,,,28.45,5,,372.053,13077.423,17.01,19.699,,5.204
EME,Armenia,CIS,,,,,,,,,,,,,,,,
ADV,Australia,OAE,-7.643,,,,,,6.416,15.039,5.783,0.763,574.48,38198.871,20.893,28.934,,-3.403
ADV,Austria,EURO,-3.042,,-0.696,,,,2.799,7.556,2.2,-0.206,160.027,21179.949,24.653,29.008,58.108,5.063
EME,Azerbaijan,CIS,,,,,,,,,,,,,,,,
EME,The Bahamas,LAC,0.43,,,,,,,0.367,,,2.849,7769.611,36.999,22.563,74.727,
EME,Bahrain,MENA,-0.688,22.5,,45.35,,,,84.764,,,1545.81,18236.601,18.395,18.665,22.474,26.904
EME,Bangladesh,EDA,-0.126,,,,,,,0.25,10.76,,0.791,3165.881,12.111,22.256,51.332,-8.194
EME,Barbados,LAC,,,,,,,,,,,,,,,,
EME,Belarus,CIS,-4.186,44.977,-14.426,59.965,84.013,,3.742,9.863,10,-0.175,215.149,21812.971,17.325,23.419,44.223,3.578
ADV,Belgium,EURO,-0.005,,,,,,,0.15,,,0.463,3079.823,25.389,26.644,,0
EME,Belize,LAC,-0.264,,,,,,,3.78,,,1197.967,316945.545,17.954,46.563,33.391,5.198
EME,Benin,SSA,0.005,0.575,,0.625,,,,0.424,,,5.23,12336.043,7.047,38.464,104.858,-31.697
EME,Bhutan,EDA,-0.279,,,,,,,5.409,,,15.303,2829.452,1.805,16.051,,1.293
EME,Bolivia,LAC,,,,,,,,,,,,,,,,
EME,Bosnia and Herzegovina,EDE,-0.304,,,0.336,,,,0.998,,,11.721,11740.5,24.173,45.152,15.903,29.56
EME,Botswana,SSA,-11.735,,,,,,,121.213,8.1,,510.545,4211.97,18.172,23.304,195.655,13.683
EME,Brazil,LAC,2.711,8.455,,1.378,0,,,,,,,,,,,
EME,Brunei Darussalam,EDA,0.122,,,,,,,8.891,,,60.341,6786.471,39.123,40.543,,6.488
