Country Group,Country,Economic Group,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
EME,Bulgaria,EDE,-0.036,,,,,,,7.468,,,859.375,115078.469,13.367,15.334,38.16,-3.086
EME,Burkina Faso,SSA,-0.067,,,,,,,4.21,,,858.749,203970.098,9.852,47.663,3.894,48.945
EME,Burundi,SSA,-0.024,,,,,,,0.294,21.861,,25.93,88287.41,-93.872,43.752,25.945,34.9
EME,Cabo Verde,SSA,,,,,,,,,,,,,,,,
EME,Cambodia,EDA,-0.482,,,,,,,9.079,,,4880.445,537532.012,20.29,25.147,51.15,2.73
EME,Cameroon,SSA,-12.534,143.437,-46.316,154.091,170.923,48.973,11.304,24.785,7.617,0.781,796.902,32153.161,21.285,25.379,51.533,1.776
ADV,Canada,OAE,-0.004,,,,,,,2.348,,,513.801,218805.208,5.182,4.297,49.285,7.075
EME,Central African Republic,SSA,0.023,,,,,,,4.522,,,772.487,170828.711,3.855,11.628,32.73,-5.104
EME,Chad,SSA,-4.733,,,,,,,11.36,10.291,,28305.871,2491763.772,7.961,24.532,5.269,-9.001
EME,Chile,LAC,,,,,,,,1000.72,3.8,,2403.717,2401.988,32.058,32.934,,
EME,China,EDA,-1.722,1,,,,,,29.08,6.561,,159279.82,5477263.951,14.368,21.805,1.63,-3.171
EME,Colombia,LAC,-0.008,,,,,,,0.362,,,78.253,216253.119,26.733,22.318,,21.801
EME,Comoros,SSA,-0.42,,,,,,,2.372,8.766,,6440.839,2715310.764,12.689,29.079,1.27,3.051
EME,Democratic Republic of the Congo,SSA,-1.411,,,,,,,8.175,,,6912.121,845501.902,17.147,27.081,37.164,4.3
EME,Republic of Congo,SSA,,,,,,,,,,,,,,,,
EME,Costa Rica,LAC,-0.172,,,,,,0.239,0.524,,-0.779,4.432,8462.21,29.602,43.966,37.027,-1.636
EME,Côte d'Ivoire,SSA,,,,,,,,,,,,,,,,
EME,Croatia,EDE,-0.527,,,,,,,29.659,,,8451.52,284955.64,5.053,,,
ADV,Cyprus,EURO,-1.875,216.117,,246.168,,,2.456,5.124,7.133,-2.713,1042.1,203376.705,16.247,17.014,55.6,8.662
ADV,Czech Republic,OAE,,,,,,,,,,,,,,,,
ADV,Denmark,OAE,-0.023,,,,,,,0.074,,,0.527,7148.148,-1.119,23.945,48.446,75.36
EME,Djibouti,MENA,-0.637,,,,,,,5.781,,,488.899,84567.302,10.443,29.139,1.622,7.167
EME,Dominica,LAC,-1.002,,,,,,,8.261,,,25.493,3086.114,14.744,19.762,0.062,6.362
EME,Dominican Republic,LAC,-1.116,,,,,,,41.706,,,395.744,9488.889,13.379,33.368,9.389,-10.178
EME,Ecuador,LAC,-0.122,,,,,,,4.847,,,4.469,922.129,10.681,14.241,6.793,-19.841
EME,Egypt,MENA,,2.583,,16.678,17.814,,,0.235,,,45.787,194537.872,-66.028,29.747,10.703,58.137
EME,El Salvador,LAC,,,,,,,,,,,,,,,,
EME,Equatorial Guinea,SSA,,,,,,,,,,,,,,,,
EME,Eritrea,SSA,-0.25,1.826,,2.16,,,,35.148,,,113.258,3222.355,6.009,15.3,37.293,-10.151
ADV,Estonia,EURO,-0.181,,,,,,,0.649,,,2.922,4501.899,,32.107,,
EME,Ethiopia,SSA,-0.478,18.788,0.278,16.968,4.398,-19.837,2.343,4.788,5.743,-1.007,96.26,20105.36,26.244,27.334,38.782,5.804
EME,Fiji,EDA,-4.773,236.61,-7.547,248.791,110.1,,22.558,54.029,7.438,-1.342,1138.754,21076.862,22.673,23.441,42.792,4.803
ADV,Finland,EURO,,,,,,,,,,,,,,,,
ADV,France,EURO,0.641,,,,,,,0.765,,,2491.472,3258499.404,48.905,38.109,,-15.819
EME,Gabon,SSA,,,,,,,,,,,,,,,,
EME,The Gambia,SSA,-7.852,,,,,,34.491,77.278,4.831,0.847,1549.528,20051.412,20.231,27.259,,7.212
EME,Georgia,CIS,-0.508,,,0.001,,,,10.542,,,6.442,611.042,1.584,5.759,0.153,-60.4
ADV,Germany,EURO,-2.392,1.983,,2.651,2.142,,3.825,9.701,4,0.753,137.205,14143.682,19.171,23.749,8.319,8.404
EME,Ghana,SSA,-0.013,,,,,,,0.091,,,0.721,7963.54,20.954,31.935,41.356,-10.865
ADV,Greece,EURO,-0.573,,,,,,,7.112,,,92.423,12995.38,10.956,17.031,5.277,-11.402
EME,Grenada,LAC,-0.073,,,,,,,,,,3164.316,,6.433,14.447,,
EME,Guatemala,LAC,-0.039,,,,,,,0.847,,,181.895,214839.079,9.746,19.25,0.082,1.7
EME,Guinea,SSA,-0.238,,,,,,,0.764,,,212.199,277738.911,-9.337,47.811,1.304,-3.973
EME,Guinea-Bissau,SSA,-0.105,,,,,,,6.042,,,13.286,2198.949,16.434,,4.548,19.183
EME,Guyana,LAC,-0.303,,,,,,,3.751,7.018,,61.396,16368.659,7.551,22.828,10.581,-13.006
EME,Haiti,LAC,-0.774,,,,,,2.393,5.217,3.9,,504.998,96807.007,32.835,34.94,30.4,13.849
EME,Honduras,LAC,-1.369,,,,,,,10.706,0.232,,16075.418,1501561.906,27.761,31.224,,5.349
ADV,Hong Kong SAR,OAE,-0.145,9.289,0.24,8.979,,,0.111,0.229,0.365,,529.909,2310713.827,24.412,28.76,7.986,3.164
EME,Hungary,EDE,-3.166,,,,,,,699.938,,,14242.646,20348.453,17.329,18.943,10.112,9.051
ADV,Iceland,OAE,-0.6,12829.6,,,,,,150.406,,,1550458.931,10308512.75,22.214,38.668,5.791,-24.8
EME,India,EDA,,,,,,,,,,,,,,,,
EME,Indonesia,EDA,-2.58,5.988,,7.759,,,,3.443,,5.027,49.068,14249.982,13.441,29.153,,1.705
EME,Islamic Republic of Iran,MENA,-4.328,,,,,,,39.246,,,696715.113,17752379.23,40.076,30.035,,-10.111
EME,Iraq,MENA,-1.364,,,,,,1.28,3.948,5.115,,258.889,65580.973,12.845,19.12,0.136,4.609
ADV,Ireland,EURO,-15.431,,,,,,20.262,56.479,7.649,-1.619,1057.054,18715.782,20.239,23.825,28.913,6.268
ADV,Israel,OAE,-0.434,,,,,,,2.15,25.941,,475.401,221129.387,8.591,14.688,3.098,-10.233
ADV,Italy,EURO,4.761,75538.2,,86731.6,146511.4,53103.1,55.818,117.623,2.208,-5.684,281104.415,2389874.565,31.259,31.064,82.032,13.32
EME,Jamaica,LAC,-0.042,,,,,,,2.319,,,3.302,1423.933,43.507,46.031,33.56,18.925
ADV,Japan,OAE,,,,,,,,,,,,,,,,
EME,Jordan,MENA,-0.562,,,,,,,16.327,,,1178.166,72160.113,10.097,26.988,9.401,-4.2
EME,Kazakhstan,CIS,0.009,,,,,,,0.06,,,0.117,1943.152,,,,-37.117
EME,Kenya,SSA,-6.422,,,,,,13.856,38.723,4.5,-10.353,174773.9,4513410.135,23.578,32.445,30.63,15.97
EME,Kiribati,EDA,,,,,,,,,,,,,,,,
ADV,Korea,OAE,13.778,,,,,,,1.432,0.5,,12.7,8868.879,72.311,16.508,63.579,-26.392
EME,Kosovo,EDE,,,,,,,,,,,,,,,,
EME,Kuwait,MENA,-0.055,,,,,,,3.3,,,5881.089,1782148.326,,,,60.183
EME,Kyrgyz Republic,CIS,,,,,,,,,,,,,,,,
EME,Lao P.D.R.,EDA,-0.746,,,,,,,2.531,,,29093.507,11495752.07,-1.269,,0.113,-16.754
ADV,Latvia,EURO,-0.052,,,,,,,1.301,,,3.31,2544.948,43.711,35.109,6.55,0
EME,Lebanon,MENA,,,,,,,,,,,,,,,,
EME,Lesotho,SSA,-3.963,,,,,,,3.126,,,37.009,11839.959,,34.861,38.858,
EME,Liberia,MENA,,,,,,,,,,,,,,,,
EME,Libya,SSA,,,,,,,0.176,0.365,1.015,,11.336,31031.17,14.45,19.203,41.045,
ADV,Lithuania,EURO,,,,,,,,,,,,,,,,
ADV,Luxembourg,EURO,-0.363,21.22,,46.996,,,,8.983,,,3798.934,422879.324,1.381,11.478,5.659,0
ADV,Macao SAR,OAE,-0.146,,,,,,,6.748,,,356.093,52766.674,6.124,8.774,0.403,-17.836
EME,FYR Macedonia,EDE,-2.469,,,,,,,14.229,,,157.938,11100.115,29.424,40.148,44.887,-9.582
EME,Madagascar,SSA,-0.005,,,,,,,0.158,,,2.335,14799.259,11.469,,,5.42
EME,Malawi,SSA,-0.14,,,,,,,6.866,,,1168.838,170247.645,-3.085,8.851,,-6.128
EME,Malaysia,EDA,,,,,,,,0.318,,22.67,,,56.406,27.333,49.231,-11.931
EME,Maldives,EDA,,,,,,,,,,,,,,,,
EME,Mali,SSA,,,,,,,,,,,,,,,,
ADV,Malta,EURO,-0.147,,,,,,,0.981,,,60.707,61913.925,7.819,24.903,25.671,-1.58
EME,Marshall Islands,EDA,-16.241,,,,,,,70.951,0.9,,6644.998,93656.492,21.95,26.903,0.109,11.34
EME,Mauritania,MENA,,,,,,,,,,,,,,,,
EME,Mauritius,SSA,,,,,,,,,,,,,,,,
EME,Mexico,LAC,,3.72,,4.146,,,,,,,3448.646,,30.652,71.428,,
EME,Micronesia,EDA,,,,,,,,,,,,,,,,
EME,Moldova,CIS,-1.136,,,,,,,19.836,,,229.129,11551.177,16.372,29.297,36.126,13.385
EME,Mongolia,EDA,-0.407,0.021,,0.03,,,,12.439,,,73.02,5870.407,19.775,29.801,0.173,8.638
EME,Montenegro,EDE,,,,,,,,,,,,,,,,
EME,Morocco,MENA,,,,,,,,,,,,,,,,
EME,Mozambique,SSA,-0.104,,,,,,,14.729,,,175.023,11883.056,17.748,-0.655,6.435,
EME,Myanmar,EDA,3.826,88.815,-1.904,97.235,85.935,,5.707,14.247,4.583,-3.133,316.922,22244.823,27.06,21.484,51.381,2.361
EME,Namibia,SSA,-1.156,,,,,,1.548,3.143,3.911,-2.504,93.077,29616.313,13.25,21.312,,3
EME,Nepal,EDA,-0.592,,,,,,,,11.8,,83.436,,0.683,,,
ADV,Netherlands,EURO,-0.181,,,,,,,5.621,,,1075.533,191331.343,11.415,20.292,53.662,20.576
ADV,New Zealand,OAE,-6.474,,,,,,,70.388,,,,,,,,
EME,Nicaragua,LAC,2.171,176.315,-9.849,159.497,155.165,-7.497,1.935,4.107,2.001,0.12,1378.456,335630.595,31.181,27.769,36.196,1.741
EME,Niger,SSA,1.377,,,,,,,1.47,,,5.101,3470.294,34.971,21.826,,20.786
EME,Nigeria,SSA,-0.85,50.31,,,,,,80.695,,,2157.096,26731.32,15.046,18.484,13.545,-0.798
ADV,Norway,OAE,,,,,,,,,,,,,,,,
EME,Oman,MENA,-0.535,,,,,,,2.03,9.184,,7.772,3828.884,16.307,31.805,53.221,-2.398
EME,Pakistan,MENA,-0.41,,,,,,,3.04,,,4.333,1425.343,6.024,25.028,,
EME,Palau,EDA,-0.374,200.459,,285.582,,,,3.282,,,10371.093,3160465.248,21.676,28.831,1.639,-24.3
EME,Panama,LAC,-2.36,,,,,,,17.76,6.8,,175.958,9907.581,29.017,32.177,,-39.433
EME,Papua New Guinea,EDA,-2.061,,,,,,,49.089,,,2362.706,48131.167,19.504,33.185,11.698,6.754
EME,Paraguay,LAC,-3.986,,,,,,,35.887,,,625.51,17430.179,23.428,,,
EME,Peru,LAC,-4.686,,,,,,4.255,9.828,8.29,4.02,88.82,9037.851,20.981,38.178,12.65,-0.592
EME,Philippines,EDA,,,,,,,0.742,3.229,19.8,,4.712,1459.194,,14.338,61.37,
EME,Poland,EDE,8.223,,,,,,,0.265,,,103.391,390072.589,45.89,,,-14.287
ADV,Portugal,EURO,-0.461,,,,,,,1.647,,,443.461,269296.784,37.074,24.928,65.025,3.313
ADV,Puerto Rico,OAE,-0.826,,,,,,,22.576,,,386.429,17116.729,16.636,26.236,,6.002
EME,Qatar,MENA,,,,,,,,,,,,,,,,
EME,Romania,EDE,-0.072,,,,,,,4.825,,,1293.631,268095.803,8.192,11.978,7.392,21.299
EME,Russia,CIS,-0.017,,,,,,,,,,0.812,,,,,
EME,Rwanda,SSA,,,,,,,,,,,,,,,,
EME,Samoa,EDA,-0.02,,,,,,,0.09,13.623,,519.566,5750946.692,,,0.932,0
ADV,San Marino,OAE,39.627,,,,,,,9.786,,,1359.821,138955.101,42.578,20.172,84.256,17.241
EME,São Tomé and Príncipe,SSA,-0.452,,,,,,,5.803,,,2001.586,344912.383,10.676,24.89,33.549,1.864
EME,Saudi Arabia,MENA,,,,,,,,,,,,,,,,
EME,Senegal,SSA,-0.019,,,,,,,0.064,,,2.264,35186.122,9.584,-8.629,,8.052
EME,Serbia,EDE,-0.132,,,,,,,3.411,,,2604.242,763502.678,-3.513,9.876,0.234,-28.96
EME,Seychelles,SSA,-1.48,,,,,,1.258,2.533,5.925,,48.486,19142.779,34.324,44.789,56.975,11.944
EME,Sierra Leone,SSA,,,,,,,,,,,,,,,,
ADV,Singapore,OAE,,,,,,,,,,,,,,,,
ADV,Slovak Republic,EURO,-0.021,0.037,,0.036,,,,0.238,,,1.774,7440.324,-0.334,2.667,,5.557
ADV,Slovenia,EURO,-5.143,,,,,,,29.83,9.824,,1480.213,49621.623,28.097,34.115,6.6,-5.353
EME,Solomon Islands,EDA,,,,,,,,,,,,,,,,
EME,South Africa,SSA,-5.113,32.655,-3.011,35.556,22.017,,11.981,37.742,13.755,-3.402,485.399,12861.004,19.234,22.511,25.025,11.283
EME,South Sudan,SSA,-0.672,,,,,,,14.8,,,624.233,42177.434,15.13,29.842,7.999,4.054
ADV,Spain,EURO,-0.005,0.054,,0.062,,,,0.043,,,0.449,10447.355,17.859,24.653,,9.679
EME,Sri Lanka,EDA,-0.038,,,,,,,0.117,,,0.953,8121.452,8.421,35.341,47.58,-8.261
EME,St. Kitts and Nevis,LAC,0.001,0.058,,0.065,,,,0.098,,,0.519,5271.22,23.596,23.363,44.831,17.836
EME,St. Lucia,LAC,-1.371,,,,,,,19.24,22.328,,13.409,696.945,13.598,-2.266,,0.747
EME,St. Vincent and the Grenadines,LAC,-0.027,,,,,,,,,,6.011,,,,,-12.305
EME,Sudan,MENA,-0.081,0.136,,0.166,,,,0.649,,,9.876,15207.822,8.916,25.307,13.532,-3.514
EME,Suriname,LAC,-2.778,372.14,,399.64,,,4.266,8.323,3.417,-0.523,1948.849,234151.3,22.081,22.081,36.557,-14.939
EME,Swaziland,SSA,2.652,,,,,,3.24,6.335,0.19,,365.084,57629.661,31.77,29.33,60.666,14.953
ADV,Sweden,OAE,-0.466,,,,,,,9.444,,,503.53,53319.417,20.44,23.501,,-2.8
ADV,Switzerland,OAE,,411.712,-59.21,458.116,,,6.672,18.194,1.36,,2331.586,128151.686,31.632,30.402,60.008,8.964
EME,Syria,MENA,,,,,,,,,,,,,,,,
ADV,Taiwan Province of China,OAE,-0.407,,,,,,,19.172,,,8706.339,454117.397,12.581,35.33,1.531,-15.6
EME,Tajikistan,CIS,-2.571,,,,,,,47.88,,,1671.192,34903.765,18.292,26.352,,4.104
EME,Tanzania,SSA,-0.082,,,,,,,0.215,,,4.134,19249.834,13.964,19.499,39.435,-5.893
EME,Thailand,EDA,-0.035,,,,,,,0.633,,,7.129,11258.058,10.109,7.091,21.538,
EME,Timor-Leste,EDA,,,,,,,,,,,,,,,,
EME,Togo,SSA,-0.044,,,,,,,2.45,,,690.853,281931.271,14.48,33.516,36.013,
EME,Tonga,EDA,0.002,,,,,,,0.092,,,0.29,3143.904,,,,
EME,Trinidad and Tobago,LAC,0.415,,,,,,,1.103,10.408,,44.077,39977.164,32.987,26.86,15.185,-17.154
EME,Tunisia,MENA,-0.817,,,,,,,6.57,,,15.068,2293.507,22.123,31.073,,3.437
EME,Turkey,EDE,-1.901,,,,,,,43.119,7.2,,31.818,737.892,23.486,25.477,,
EME,Turkmenistan,CIS,,,,,,,,,,,,,,,,
EME,Tuvalu,SSA,,,,,,,,,,,,,,,,
EME,Uganda,SSA,0.025,,,,,,,12.927,,,8014.974,620034.955,22.151,,0.029,0.181
EME,Ukraine,CIS,,,,,,,,,,,,,,,,
EME,United Arab Emirates,MENA,10.763,,,,,,,1.1,,,373.687,339715.697,43.159,26.788,,2.284
ADV,United Kingdom,OAE,9.233,109.403,-5.8,120.339,129.784,125.109,24.43,56.357,9.65,-3.513,804.618,14277.162,20.813,19.106,35.546,-0.495
ADV,United States,OAE,5.031,,,,,,100.4,229.916,7.617,-1.541,6617.75,28783.38,23.21,24.247,94.183,1.237
EME,Uruguay,LAC,-0.47,,,,,,,2.932,,,291.157,99303.054,10.13,17.059,0.027,3.483
EME,Uzbekistan,CIS,,,,,,,,,,,,,,,,
EME,Vanuatu,EDA,0.014,,,,,,,0.119,,,25.153,211365.651,,,47.172,
EME,Venezuela,LAC,4.436,,,,,,,15.41,,,31.295,2030.844,28.778,22.503,,
EME,Vietnam,EDA,-0.739,,,,,,,55.31,,,321540.896,5813431.344,8.971,14.3,,0.225
EME,Yemen,MENA,,,,,,,,,,,,,,,,
EME,Zambia,SSA,-0.869,,,,,,,6.101,,,42.581,6978.981,0.052,20.747,0.009,
EME,Zimbabwe,SSA,-0.674,,,,,,,,,,,,,,,
