Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.08,177.821,,183.22,59.713,59.713,,29.105,,,386.368,13274.739,32.618,26.582,108.267,-4.797
Albania,-1.703,330.449,,376.183,772.735,772.735,,2.905,14,,715.048,246162.657,20.594,33.802,111.4,1.716
Algeria,19.802,5790.129,,5853.482,1378.436,-4003.267,,36.717,9.971,,6157.823,167710.404,48.24,38.309,145.348,-4.822
Angola,13.085,4776.149,,3927.547,3305.758,,,22.314,,,1391.947,62379.484,25.473,12.906,111.376,-5.404
Antigua and Barbuda,-0.117,0.624,,0.733,2.82,,,0.086,,,2.308,26967.337,10.49,,128.89,3.535
Argentina,-3.713,666.574,-77.783,722.171,829.399,,,41.261,7.15,,837.791,20304.43,19.074,19.737,74.404,3.445
Armenia,-1.059,834.479,,943.14,1348.391,,,2.96,18.4,,2837.273,958538.277,16.56,27.001,246.51,8.029
Australia,-44.353,467.331,-59.913,532.414,352.523,117.445,11.214,22.52,5.058,-1.132,1478.804,65665.383,24.8,27.491,99.9,0.063
Austria,6.794,148.938,-7.634,156.831,253.293,,3.422,8.375,4.567,0.237,302.901,36166.372,25.503,24.175,114.7,5.973
Azerbaijan,17.146,23.278,,17.368,5.171,,,9.122,6.048,,21.293,2334.38,47.641,21.189,224.171,-3.219
Bahrain,2.523,2.843,,3.003,3.55,3.55,,1.195,4,,9.871,8260.322,31.771,16.338,112.4,9.226
Bangladesh,-1.337,949.019,,1277.725,3233.06,,,152.862,,,6515.325,42622.15,29.402,27.871,175.969,10.603
Barbados,-0.558,3.267,,3.581,6.628,4.361,,0.277,11.15,,1.106,3989.832,2.053,14.864,163.215,-6.396
Belarus,-5.052,115181.9,,102584.515,136544.345,,,9.481,0.672,,156290.5,16484600.78,31.026,39.484,354.509,30.4
Belgium,-5.659,190.709,-15.906,206.265,387.62,230.241,4.614,11.001,7.217,0.599,392.041,35638.006,22.917,23.99,96.53,4.21
Belize,-0.016,0.836,,0.867,2.398,2.398,,0.332,13.972,,2.5,7526.895,12.584,13.651,130.42,5.738
Benin,-0.57,692.714,,742.164,1101.593,,,9.779,,,3228.4,330122.806,16.848,24.135,106.875,-0.922
Bhutan,-0.41,28.172,,29.842,54.301,,,0.729,3.1,,47.375,64986.635,27.428,53.374,763.008,13.198
Bolivia,0.077,60.155,,58.773,57.626,23.986,,10.712,3.837,,34.281,3200.265,25.579,19.816,133.08,-25.99
Bosnia and Herzegovina,-1.767,11.786,-0.675,12.518,11.178,9.621,,3.89,27.6,,25.577,6574.8,9.301,18.145,136.734,3.994
Botswana,0.475,38.512,-1.16,38.668,21.619,,,2.031,,,72.293,35599.373,41.534,38.725,247.343,27.547
Brazil,-77.032,1536.433,-170.466,1644.397,2678.502,1508.547,,197.397,5.967,,1196.006,6058.886,18.865,21.814,2.24E+13,2.332
Brunei Darussalam,6.075,12.819,,6.922,0.496,,,0.393,2.7,,19.39,49290.759,,34.319,100.3,-4.575
Bulgaria,0.522,24.435,-1.364,25.923,11.629,-8.776,,7.327,11.35,,74.949,10228.81,22.563,21.647,142.15,11.509
Burkina Faso,-0.16,1047.287,,1116.824,1508.156,,,16,,,3585.71,224106.869,13.925,15.412,105.378,84.47
Burundi,-0.323,1072.016,,1189.465,1102.623,,,8.569,,,1568.666,183061.693,0.993,14.723,82.017,14.054
Cabo Verde,-0.304,37.915,,49.235,116.585,107.171,,0.491,12.2,,135.519,276255.836,20.941,37.228,133.42,6.248
Cambodia,-1.303,8113.685,,10236.115,15775.878,,,14.605,,,32552.704,2228873.949,11.834,22,145.03,15.848
Cameroon,-0.801,2250.155,,2576.093,1661.634,1661.634,,20.934,,,9535.82,455512.423,17.456,20.467,225.6,9.118
Canada,-49.6,678.872,-48.188,737.571,1442.724,480.408,17.224,34.303,7.5,-1.096,1639.9,47806.427,21.414,24.187,120.9,4.759
Central African Republic,-0.166,138.075,,162.66,341.069,,,4.435,,,854.236,192602.235,4.62,12.182,145.275,5.119
Chad,-0.686,1421.762,,1284.476,1692.897,,,10.478,,,4447.692,424468.4,22.837,28.472,125.4,-2.826
Chile,-3.089,29571.164,-1269.9,27837.792,13520.452,-10445.078,,17.256,7.119,,103857.107,6018773.405,22.537,23.756,97.367,5.516
China,136.097,13081.104,-33.226,13128.594,16973.96,,,1347.35,4.09,,44503.154,33030.136,49.159,47.33,104.1,14.593
Colombia,-9.71,165690.182,-16394.205,178027.123,221507.778,168250.357,,46.045,10.833,,452578,9829036.812,20.924,23.81,109.16,11.755
Comoros,-0.086,50.907,,47.793,99.663,99.663,,0.71,,,134.893,189914.638,10.026,14.899,162.655,-1.837
Costa Rica,-2.228,2869.474,,3762.442,6381.773,,,4.592,7.922,,22223.013,4839349.359,16.768,22.036,87.69,5.568
Côte d'Ivoire,2.665,1725.86,,2209.595,8376.343,,,21.397,,,11181.711,522577.135,20.955,10.465,139.641,-3.388
Croatia,-0.501,136.36,-23.824,162.229,211.898,,,4.28,13.25,,327.118,76429.439,19.823,20.628,102.58,2.248
Cyprus,-1.075,7.212,,8.334,12.869,,0.398,0.862,7.908,-2.413,16.698,19370.998,14.991,18.942,100.37,4.147
Czech Republic,-4.797,1616.474,-113.81,1726.619,1604.009,,4.873,10.487,6.711,,4031.404,384429.047,24.921,27.031,118.3,9.329
Democratic Republic of the Congo,-1.281,3438.899,,3543.566,5932.069,,,72.571,,,7936.345,109359.005,9.81,12.229,1214.273,15.602
Denmark,19.608,1004.2,-44.386,1042.167,850.862,20.699,2.705,5.561,7.567,-0.662,1819.4,327193.259,25.2,19.459,127.1,7.269
Djibouti,-0.17,75.166,,78.18,99.488,96.69,,0.865,,,102.842,118944.915,11.43,25.168,155.96,-5.103
Dominica,-0.068,0.411,,0.469,0.928,,,0.071,,,1.194,16873.415,3.029,16.573,101.2,0.193
Dominican Republic,-4.359,285.047,-56.853,352.462,571.235,571.235,,9.58,5.783,,1687.116,176105.573,17.588,25.064,107.76,7.444
Ecuador,-0.403,31.19,-1.966,31.29,15.404,,,15.266,4.205,,60.925,3990.786,27.634,28.142,90.75,5.668
Egypt,-6.088,302.009,-136.724,436.148,1050.718,884.191,,80.4,10.379,,1620.524,20155.77,14.627,16.763,224.207,-5.262
El Salvador,-1.112,4.034,,4.982,11.561,,,6.26,5.429,,9.277,1481.981,9.557,14.362,107.29,9.896
Equatorial Guinea,-0.018,2851.012,,2767.018,599.908,,,0.716,,,5523.434,7714336.079,34.376,56.664,183.576,6.98
Eritrea,0.014,6.987,,13.474,53.332,,,5.898,,,17.647,2991.966,1.219,9.996,561.672,262.16
Estonia,0.309,6.407,0.219,6.235,0.986,-1.009,0.603,1.33,12.325,-5.235,15.835,11908.753,26.443,25.106,93.72,24.17
