Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.037,,,,,,,2.935,3.335,,354.885,120894.372,42.932,49.17,,0
Algeria,-0.085,,,,,,,20.516,14.286,,2999.064,146181.708,26.789,31.329,8.313,10.2
Angola,-0.359,,,,,,,9.074,,,337.075,37146.511,12.825,18.213,,4.6
AntiguaandBarbuda,-0.009,,,,,,,0.066,,,0.918,13868.716,5.818,,66.856,
Argentina,-2.436,,,,,,,29.34,5,,373.791,12739.983,15.838,18.114,,2.582
Armenia,,,,,,,,,,,,,,,,
Australia,-5.648,,,,,,6.301,15.484,9.967,-4.622,572.118,36950.166,16.959,23.093,,-4.36
Austria,0.276,,3.416,,,,2.735,7.543,3.7,0.885,167.654,22226.941,22.027,25.474,63.158,3.638
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,0.103,,,,,,,0.393,,,3.243,8254.36,30.519,22.563,86.979,
Bangladesh,-0.401,27,,59.225,,,,89.4,,,1668.911,18667.977,17.097,17.269,26.417,5.298
Barbados,-0.052,,,,,,,0.25,14.945,,0.756,3025.806,12.771,16.099,57.846,7.196
Belarus,,,,,,,,,,,,,,,,
Belgium,-0.497,53.359,-15.77,69.464,118.437,,3.646,9.858,10.742,-2.413,217.105,22023.144,16.219,19.528,51.226,3.859
Belize,-0.012,,,,,,,0.157,,,0.454,2884.021,13.652,18.917,,0
Benin,-0.159,,,,,,,4.023,,,1193.755,296765.362,0.912,18.791,32.638,-2
Bhutan,-0.079,0.676,,0.699,,,,0.445,,,6.074,13650.15,8.43,39.803,128.491,-3.527
Bolivia,-0.101,,,,,,,5.637,,,14.106,2502.57,5.075,13.238,0.006,1.904
BosniaandHerzegovina,,,,,,,,,,,,,,,,
Botswana,-0.079,,,0.46,,,,1.073,,,15.047,14017.806,26.715,27.372,19.411,2.209
Brazil,-6.837,,,,,,,126.573,6.7,,496.125,3919.672,12.98,17.075,1057.872,11.313
BruneiDarussalam,2.525,7.753,,5.631,0,,,,,,,,,,,
Bulgaria,0.036,,,,,,,8.948,,,64.762,7237.328,38.511,37.721,,-7.643
BurkinaFaso,-0.056,,,,,,,7.85,,,860.949,109673.125,7.216,10.758,44.472,-28.586
Burundi,-0.133,,,,,,,4.461,,,881.267,197569.84,10.325,62.576,4.427,-11.398
CaboVerde,-0.012,,,,,,,0.305,22.603,,29.201,95663.67,40.638,44.276,37.236,20.5
Cambodia,,,,,,,,,,,,,,,,
Cameroon,-0.412,,,,,,,9.59,,,5608.864,584840.797,21.912,23.879,65.88,28.116
Canada,-2.521,164.194,-21.52,197.891,242.736,105.97,11.024,25.336,12,-4.598,791.43,31237.411,19.557,20.297,59.133,5.76
CentralAfricanRepublic,-0.029,,,,,,,2.467,,,465.588,188756.447,-1.012,4.297,63.938,-10.235
Chad,0.038,,,,,,,4.751,,,941.486,198147.767,3.158,5.519,38.901,19.674
Chile,-1.117,,,,,,,11.731,20.999,,23774.312,2026627.654,4.129,12.036,7.849,0.066
China,,148.955,,149.013,,,,1030.08,2.3,,2903.018,2818.245,35.152,31.724,,
Colombia,-2.826,479,,640.4,,,,30.36,8.694,,163321.234,5379476.679,10.703,21.055,2.36,-11.945
Comoros,-0.011,,,,,,,0.379,,,83.947,221276.123,24.024,22.318,,-13.094
CostaRica,-0.283,,,,,,,2.514,9.231,,6142.361,2442797.815,13.169,22.526,2.56,3.281
Côted'Ivoire,-0.929,,,,,,,8.924,,,6752.796,756734.566,16.025,21.777,42.585,4.3
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.205,,,,,,0.242,0.537,3.3,-1.538,4.96,9244.67,23.966,40.609,40.319,-3.337
CzechRepublic,,,,,,,,,,,,,,,,
DemocraticRepublicoftheCongo,-0.289,,,,,,,31.649,,,8531.731,269574.582,4.679,,,
Denmark,-1.382,274.818,,317.771,,,2.414,5.116,8.375,-1.163,1108.5,216653.533,17.421,18.364,63.9,4.596
Djibouti,,,,,,,,,,,,,,,,
Dominica,-0.01,,,,,,,0.073,,,0.563,7688.687,12.207,19.893,51.765,4.548
DominicanRepublic,-0.347,,,,,,,6.056,,,520.219,85897.338,11.008,25.285,1.842,7.508
Ecuador,-0.134,,,,,,,8.733,,,25.077,2871.622,14.092,14.413,0.118,10.062
Egypt,-1.48,,,,,,,44.015,,,462.309,10503.437,12.967,28.791,12.67,1.987
ElSalvador,0.06,,,,,,,4.914,,,4.252,865.256,13.567,11.696,8.842,20.93
EquatorialGuinea,,6.784,,30.207,39.277,,,0.272,,,49.137,180444.01,24.979,55.066,23.684,43.063
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.17,2.434,,3.786,,,,37.294,,,123.318,3306.677,5.427,13.74,39.173,5.579
Fiji,-0.106,,,,,,,0.683,,,2.769,4053.373,,25.316,,
Finland,-1.124,23.205,-1.127,23.033,7.35,-21.671,2.38,4.842,6.147,-1.565,102.096,21086.743,24.446,27.013,45.822,4.327
France,-4.715,312.397,-11.092,328.801,173.5,85.44,22.485,54.65,7.383,-1.633,1181.985,21628.277,20.838,21.673,51.301,4.733
FYRMacedonia,,,,,,,,,,,,,,,,
Gabon,0.451,,,,,,,0.799,,,2645.495,3312613.838,44.527,40.717,,-0.899
Georgia,,,,,,,,,,,,,,,,
Germany,2.008,,,,,,33.595,76.953,8.099,-2.365,1561.215,20287.834,21.169,26.446,,-0.508
Ghana,-0.227,0.001,,0.002,,,,11.681,,,5.906,505.578,4.687,6.737,0.432,0
Greece,-1.878,3.41,,4.284,4.046,,3.705,9.821,7.9,-3.295,134.192,13663.56,22.682,26.466,11.869,-5.846
Grenada,-0.016,,,,,,,0.096,,,0.776,8081.47,21.817,33.802,49.709,1.896
Guatemala,-0.224,,,,,,,7.479,,,86.896,11618.549,9.441,11.547,5.538,-13.353
Guinea,-0.003,,,,,,,,,,3263.151,,8.277,14.447,,
Guinea-Bissau,-0.072,,,,,,,0.883,,,183.091,207446.749,4.733,17.847,0.145,-23.6
Guyana,-0.181,,,,,,,0.735,,,171.12,232815.79,-16.316,30.592,1.73,-0.945
Haiti,-0.071,,,,,,,6.261,,,12.72,2031.755,18.057,,5.305,-8.555
Honduras,-0.22,,,,,,,3.987,6.504,,59.982,15044.422,4.901,15.614,12.412,-3.362
HongKongSAR,0.168,,,,,,2.427,5.388,4.35,,550.826,102236.869,27.615,26.669,37.2,12.076
Hungary,-0.181,,,,,,,10.672,0.173,,16651.657,1560344.269,27.465,27.799,,6.669
Iceland,-0.053,24.632,-0.243,26.056,21.336,3.98,0.115,0.236,1.022,,529.681,2248823.362,22.454,22.907,22.552,11.003
India,-3.207,,,,,,,731,,,15811.896,21630.501,16.784,18.232,12.326,6.555
Indonesia,-6.7,15887.9,,,,,,156.41,,,1651759.8,10560416.2,16.122,39.096,7.134,12
Iraq,,,,,,,,,,,,,,,,
Ireland,-1.155,8.64,,10.789,,,,3.504,,3.922,49.438,14109.15,15.85,24.052,,10.52
IslamicRepublicofIran,-0.44,,,,,,,42.446,,,953293.641,22459204.08,36.268,30.869,,2.765
Israel,-2.369,,,,,,1.339,4.104,4.562,,269.366,65637.789,13.791,22.582,0.915,2.113
Italy,1.366,,,,,,20.351,56.563,7.367,-3.751,1073.836,18984.768,19.801,21.675,38.627,3.8
Jamaica,-0.299,,,,,,,2.23,26.378,,510.392,228854.923,14.191,15.923,3.868,-4.863
Japan,20.804,83513.7,,95749,187571,73286.6,57.327,119.271,2.658,-4.824,299490.599,2511012.881,29.453,27.799,85.418,4.972
Jordan,-0.39,,,,,,,2.502,,,3.456,1381.255,13.708,33.012,34.675,-0.434
Kazakhstan,,,,,,,,,,,,,,,,
Kenya,-0.047,18.709,,22.131,,,,17.498,,,1257.408,71861.445,16.852,23.974,11.718,1.2
Kiribati,0.004,,,,,,,0.062,,,0.124,1990.521,,,,3.392
Korea,-3.506,,,,,,14.505,39.91,4.117,-7.954,214275.5,5368913.463,28.754,32.782,32.741,14.288
Kosovo,,,,,,,,,,,,,,,,
Kuwait,5.654,,,,,,,1.566,0.5,,12.097,7724.8,51.568,24.786,70.314,18.463
KyrgyzRepublic,,,,,,,,,,,,,,,,
LaoP.D.R.,-0.071,,,,,,,3.463,,,6343.132,1831686.878,,,,-7.413
Latvia,,,,,,,,,,,,,,,,
Lebanon,-1.177,,,,,,,2.521,,,22566.759,8950606.374,-10.871,,0.129,-35.057
Lesotho,-0.046,0.143,,0.133,,,,1.368,,,3.598,2629.108,42.596,33.214,8.613,0
Liberia,,,,,,,,,,,,,,,,
Libya,-1.643,,,,,,,3.411,,,35.801,10496.39,,29.409,48.545,
Lithuania,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,0.174,0.366,1.615,,11.67,31919.014,14.835,19.657,48.96,
MacaoSAR,,,,,,,,,,,,,,,,
Madagascar,-0.247,29.84,,54.195,,,,9.462,,,3760.295,397395.752,1.332,8.365,8.919,0
Malawi,-0.131,,,,,,,7.116,,,378.537,53191.492,8.246,11.886,0.538,3.312
Malaysia,-3.482,,,,,,,14.955,,,177.779,11887.544,29.308,41.158,48.837,17.309
Maldives,-0.01,,,,,,,0.169,,,2.62,15531.689,14.596,,,-3.43
Mali,-0.103,,,,,,,7.146,,,1061.313,148520.95,-2.12,10.845,,27.321
Malta,,,,,,,0.106,0.332,12.5,17.017,,,47.415,30.502,49.782,1.331
MarshallIslands,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,
Mauritius,-0.019,,,,,,,1.002,19.721,,64.289,64180.381,11.771,18.592,30.392,5.243
Mexico,5.86,,,,,,,74.133,6.1,,6379.923,86060.065,24.772,21.289,0.391,14.187
Micronesia,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,
Mongolia,,4.478,,4.992,,,,,,,3952.349,,21.066,61.143,,
Montenegro,,,,,,,,,,,,,,,,
Morocco,-0.991,,,,,,,20.837,,,249.769,11986.804,20.148,26.91,43.383,8.633
