Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,0.007,0.007,,,,,,3.182,5.164,,373.507,117393.843,40.959,44.964,,0
Algeria,0.141,0.141,,,,,,23.4,20.056,,3314.312,141637.26,24.526,25.041,11.942,6
Angola,0.447,0.447,,,,,,11.071,,,396.065,35773.845,15.831,13.84,,54.3
Antigua and Barbuda,-0.079,-0.079,,,,,,0.062,,,1.263,20430.468,-6.79,,73.925,
Argentina,-4.235,-4.235,,,,,,31.09,6,,389.727,12535.452,13.571,16.969,0.003,-3.519
Armenia,,,,,,,,,,,,,,,,
Australia,-7.223,-7.223,,,,,7.128,16.395,8.108,-0.868,689.491,42055.99,20.193,26.428,,12.119
Austria,-0.263,-0.263,-4.467,,,,2.785,7.567,3.8,1.599,178.966,23651.887,23.358,27.045,70.092,3.101
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,-0.201,-0.201,,,,,,0.45,,,3.323,7375.766,14.901,19.567,83.358,
Bangladesh,-0.494,-0.494,,94.45,,,,99.477,,,1930.58,19407.302,16.831,16.83,40.097,19.798
Barbados,-0.054,-0.054,,,,,,0.25,17.934,,0.854,3417.45,10.469,12.933,65.835,-14.016
Belarus,,,,,,,,,,,,,,,,
Belgium,2.801,2.801,-10.42,77.949,173.636,,3.713,9.865,9.808,-1.98,235.567,23879.651,19.572,20.4,57.284,4.561
Belize,0.009,0.009,,,,,,0.176,,,0.652,3715.249,29.623,22.287,,0
Benin,-0.096,-0.096,,,,,,4.561,,,1258.099,275837.922,6.377,13.222,36.064,7.669
Bhutan,-0.083,-0.083,,1.48,,,,0.501,,,8.853,17671.474,16.964,30.154,178.491,23.854
Bolivia,-0.401,-0.401,,2.169,,,,6.122,,,13.818,2256.973,2.306,13.021,20.902,1.105
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.628,0.628,,1.266,,,,1.241,,,21.54,17363.054,42.063,8.142,27.336,-1.831
Brazil,-1.435,-1.435,,,,,,137.268,3.7,,628.094,4575.675,21.35,22.535,95034.5,7.204
Brunei Darussalam,2.265,2.265,,2.473,0,,,0.234,,,12.715,54382.923,,,,-6.953
Bulgaria,-0.72,-0.72,,,,,,8.903,,,76.028,8539.637,34.921,37.748,,34.76
Burkina Faso,-0.088,-0.088,,133.263,,,,8.14,,,1048.535,128812.708,13.343,17.074,47.964,40.982
Burundi,-0.095,-0.095,,,,,,5.007,,,1074.766,214660.536,5.332,51.887,5.73,8.917
Cabo Verde,0.014,0.014,,,,,,0.332,24.161,,35.329,106438.855,26.268,37.44,49.849,8.7
Cambodia,,,,,,,,7.234,,,6260.579,865416.624,0.449,13.537,1.003,5.365
Cameroon,-0.893,-0.893,,,,,,10.686,,,6809.128,637228.7,14.064,22.628,102.75,-4.168
Canada,-13.71,-13.71,-38.847,260.907,403.48,220.98,12.332,26.398,8.8,2.051,933.738,35371.708,19.09,22.269,69.433,3.178
Central African Republic,-0.073,-0.073,,,,,,2.741,,,569.022,207618.767,6.667,5.653,69.025,649.151
Chad,-0.026,-0.026,,,,,,5.245,,,1174.339,223909.981,0.66,14.288,39.373,8.431
Chile,-0.735,-0.735,,,,,,12.533,10.984,,28889.307,2305093.229,17.688,24.234,17.491,6.74
China,,,,249.266,,,,1093,2,,4617.204,4224.34,36.6,37.327,28.002,
Colombia,-0.021,-0.021,,1807.748,,,,32.092,7.361,,194062.521,6047121.045,18.625,21.186,5.12,12.583
Comoros,-0.021,-0.021,,21.11,121.398,121.398,,0.421,,,92.468,219573.809,15.432,9.868,,-51.694
Costa Rica,-0.229,-0.229,,,,,,2.824,5.577,,7389.45,2616678.537,21.512,27.086,4.49,20.949
Côte d'Ivoire,-0.968,-0.968,,,,,,10.286,,,7149.141,695027.406,2.707,15.273,53.873,-3.39
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.008,-0.008,,,,,0.253,0.563,3.4,-2.253,6.275,11148.715,24.674,34.881,46.699,10.512
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-1.088,-1.088,,,,,,36.038,,,9662.132,268110.282,5.344,,,
Denmark,-3.002,-3.002,-3.507,397.093,,,2.643,5.125,5,1.866,1263,246448.93,20.992,22.022,72.9,4.857
Djibouti,,,,,,,,,,,,,,,,
Dominica,-0.007,-0.007,,,,,,0.072,,,0.678,9382.94,14.726,16.927,57.99,2.463
Dominican Republic,-0.362,-0.362,,,,,,6.669,,,587.712,88127.822,12.611,27.82,4.28,6.67
Ecuador,-1.124,-1.124,,,,,,9.691,,,26.444,2728.695,10.483,18.408,0.308,-15.791
Egypt,-1.005,-1.005,,,,,,48.8,,,586.017,12008.538,19.021,24.746,27.02,15.447
El Salvador,0.136,0.136,,,,,,5.095,,,4.452,873.802,16.911,11.012,19.972,13.253
Equatorial Guinea,-0.024,-0.024,,61,47.106,,,0.341,,,57.162,167658.866,21.017,39.111,54.365,35.182
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.217,-0.217,,4.024,,,,42.424,,,133.308,3142.293,5.564,16.785,43.265,-15.943
Fiji,0.02,0.02,,,,,,0.718,11.908,,2.902,4041.162,,15.637,,
Finland,-1.731,-1.731,-1.907,34.537,11.958,-32.9,2.414,4.926,4.9,0.781,115.475,23443.635,23.68,25.063,54.664,2.757
France,-4.452,-4.452,-5.532,437.197,287.7,211.106,22.479,55.682,9.15,-2.468,1280.325,22993.608,21.689,22.163,60.346,2.835
FYR Macedonia,,,,,,,,,,,,,,,,
Gabon,-0.266,-0.266,,,,,,0.871,,,2431.762,2791139.137,20.822,33.219,,-5.975
Georgia,,,,,,,,,,,,,,,,
Germany,40.994,40.994,,,,,34.617,76.52,7.843,-3.232,1704.875,22280.183,22.971,24.667,,0.746
Ghana,-0.205,-0.205,,0.014,,,,13.263,,,7.476,563.709,7.173,9.693,0.979,11.897
Greece,-1.223,-1.223,,9.847,12.896,,3.744,9.985,7.4,-3.768,137.864,13806.67,19.801,21.664,23.737,5.94
Grenada,-0.023,-0.023,,,,,,0.099,,,1.001,10070.67,20.924,31.575,55.728,18.155
Guatemala,-0.443,-0.443,,,,,,8.275,,,90.012,10877.387,5.99,13.911,10.084,-2.164
Guinea,-0.038,-0.038,,,,,,,,,3700.684,,9.518,17.497,43.962,
Guinea-Bissau,-0.045,-0.045,,,,,,0.958,,,210.621,219926.908,12.394,18.192,1.526,39.5
Guyana,-0.127,-0.127,,,,,,0.735,,,174.771,237783.852,-3.347,31.244,3.423,0.112
Haiti,-0.025,-0.025,,,,,,6.725,,,12.822,1906.592,37.245,,5.581,-2.679
Honduras,-0.242,-0.242,,,,,,4.496,7.092,,69.643,15489.223,8.47,18.513,14.243,-10.252
Hong Kong SAR,3.879,3.879,14.97,48.375,,,2.681,5.637,1.736,,768.838,136396.497,36.452,26.068,45.2,28.409
Hungary,-0.676,-0.676,,,,,,10.509,0.315,,18014.108,1714114.396,22.146,28.273,,4.749
Iceland,-0.184,-0.184,-6.584,78.021,58.775,17.048,0.132,0.244,0.441,,657.179,2691625.604,19.115,22.446,51.448,3.266
