Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.025,,,,,,,3.246,6.033,,368.278,113463.43,38.634,43.778,,
Algeria,-1.9,,,,,,,24.1,21.801,,3251.34,134910.371,20.168,23.504,12.974,0.4
Angola,-0.469,,,,,,,11.371,,,420.339,36965.161,2.999,10.784,,7
Antigua and Barbuda,-0.09,,,,,,,0.061,,,1.331,21863.315,17.771,,78.004,
Argentina,-1.572,,,,,,,31.47,6.5,,382.102,12141.773,14.537,16.14,0.014,18.728
Armenia,,,,,,,,,,,,,,,,
Australia,-10.299,107.705,,104.26,,,7.39,16.687,7.208,-0.669,718.817,43076.255,25.384,28.875,51.2,7.3
Austria,-0.242,52.372,-3.004,56.401,68.622,,2.81,7.576,2.676,0.011,180.686,23848.834,23.887,25.784,71.4,10.2
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,0.192,,,,,,,0.467,,,3.52,7543.478,12.67,11.989,82.726,
Bangladesh,-1.172,56.65,,101.95,,,,102.133,,,1976.686,19353.997,17.341,17.103,43.098,2.085
Barbados,0.002,,,,,,,0.25,17.137,,0.884,3537.061,15.03,14.155,68.744,4.412
Belarus,,,,,,,,,,,,,,,,
Belgium,3.599,69.806,-10.38,80.545,186.441,,3.785,9.876,8.833,0.23,246.693,24979.771,22.067,22.697,58.386,10.295
Belize,-0.003,,,,,,,0.179,,,0.723,4038.226,26.866,25.659,78.295,0
Benin,-0.128,,,,,,,4.709,,,1301.221,276337.093,7.255,16.76,37.306,11.077
Bhutan,-0.057,1.772,,1.74,,,,0.517,,,10.188,19706.817,17.476,38.602,194.198,46.446
Bolivia,-0.133,1.888,,2.591,,,,6.25,,,14.22,2275.147,6.006,13.981,25.397,6.709
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.194,,,1.71,,,,1.286,,,26.584,20674.031,53.215,33.511,30.178,12.375
Brazil,4.173,,,,,,,139.819,3.85,,629.754,4504.064,23.513,22.983,1026582.743,22.602
Brunei Darussalam,2.246,2.486,,2.713,0,,,0.241,,,12.669,52481.133,,,,4.078
Bulgaria,-0.402,,,,,,,8.852,,,77.853,8795.286,37.604,39.312,0.003,7.995
Burkina Faso,-0.108,104.16,,122.656,,,,8.36,,,1109.304,132691.905,12.112,16.244,48.995,25.104
Burundi,-0.07,,,,,,,5.154,,,1128.842,219042.201,5.305,53.677,6.037,1.766
Cabo Verde,-0.006,,,,,,,0.339,24.567,,37.448,110485.608,19.322,35.76,51.651,-11.5
Cambodia,,,,,,,,7.46,,,6862.597,919967.537,0.6,7.874,1.314,84.893
Cameroon,-0.426,,,,,,,10.999,,,6273.608,570387.232,14.062,19.146,100.82,-3.508
Canada,-15.359,252.33,-41.015,280.609,440.301,235.53,12.711,26.751,7.775,3.725,975.097,36450.216,20.57,23.597,72.271,9.1
Central African Republic,-0.035,67.33,,81.48,,,,2.795,,,578.796,207069.83,7.257,10.579,66.31,-15.904
Chad,0.026,,,,,,,5.376,,,1262.937,234929.622,4.3,15.306,45.24,1.932
Chile,-0.231,,,,,,,12.748,9.875,,30994.714,2431313.601,20.986,24.877,19.642,11.556
China,,261.933,,276.599,,,,1110.26,2,,5138.948,4628.599,36.444,39.142,35.814,
Colombia,-0.215,2228.99,,2375.642,,,,32.764,6.451,,201949.559,6163799.774,20.09,23.347,6.56,-0.074
Comoros,-0.007,17.545,,20.24,120.219,120.219,,0.435,,,94.953,218483.429,14.044,11.614,,99.134
Costa Rica,-0.16,,,,,,,2.901,5.461,,7643.067,2634721.868,20.458,24.469,5.62,7.37
Côte d'Ivoire,-1.239,,,,,,,10.382,,,7230.641,696453.947,-1.033,15.627,56.109,-7.814
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.108,,,,,,0.261,0.569,2.8,-0.503,6.797,11950.682,24.683,36.425,48.656,17.036
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.585,,,,,,,37.227,,,9707.02,260751.073,7.223,,,
Denmark,-1.34,430.606,0.792,428.873,,,2.672,5.129,5.658,-0.308,1262.8,246195.646,21.057,21.057,76.7,9.142
Djibouti,,,,,,,,,,,,,,,,
Dominica,-0.014,,,,,,,0.072,,,0.731,10152.889,17.754,22.834,60.998,12.106
Dominican Republic,-0.097,,,,,,,6.828,,,600.383,87931.159,15.779,28.264,6.668,1.235
Ecuador,-0.564,,,,,,,9.944,7,,29.217,2938.244,13.77,17.631,0.573,22.953
Egypt,-1.986,,,,,,,49.8,,,609.421,12237.366,18.99,33.271,29.72,-10.517
El Salvador,0.026,,,,,,,5.167,10.154,,4.536,877.869,13.321,11.396,23.616,-10.638
Equatorial Guinea,-0.017,6.921,,81.102,54.971,,,0.352,,,58.68,166809.983,30.667,37.3,54.182,11.847
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.228,4.103,,4.893,,,,43.815,,,134.074,3060.017,10.196,22.784,46.237,-7.02
Fiji,0.067,,,,,,,0.719,12.003,,3.002,4176.249,,12.566,,
Finland,-2.694,41.768,-0.291,38.029,12.691,-38.974,2.42,4.939,4.208,3.755,121.366,24574.971,25.934,27.434,57.887,3.167
France,-4.665,442.764,-21.16,466.294,310.3,229.442,22.622,55.966,8.842,-0.451,1340.935,23959.754,22.782,23.236,62.205,8.481
FYR Macedonia,,,,,,,,,,,,,,,,
Gabon,-0.602,,,,,,,0.89,,,2516.874,2826643.138,18.929,37.037,,5.162
Georgia,,,,,,,,,,,,,,,,
Germany,50.827,,,,,,34.887,76.986,7.735,-2.345,1768.563,22972.574,24.13,25.516,,5.665
Ghana,-0.179,0.017,,0.02,,,,13.602,,,8.178,601.205,8.281,10.215,1.239,9.106
Greece,-0.958,8.519,-3.081,11.908,17.086,,3.806,10.016,7.7,-0.676,143.776,14354.789,22.35,23.603,27.065,-2.125
Grenada,-0.023,,,,,,,0.098,,,1.03,10503.681,21.579,31.31,56.036,4.785
Guatemala,-0.414,,,,,,,8.485,,,93.515,11021.776,7.525,13.699,11.324,6.53
Guinea,-0.222,,,,,,,,,,3934.128,,5.226,18.389,55.506,
Guinea-Bissau,-0.056,,,,,,,0.977,,,214.746,219846.095,11.451,23.496,2.294,21.2
Guyana,-0.1,,,,,,,0.735,,,164.319,223562.775,-2.021,19.413,4.666,-2.668
Haiti,-0.018,,,,,,,6.805,,,12.894,1894.749,53.831,,6.063,-4.556
Honduras,-0.132,,,,,,,4.631,6.944,,72.854,15731.209,13.271,22.171,15.201,18.94
Hong Kong SAR,3.843,72.658,17.414,56.592,,,2.725,5.712,1.366,,834.279,146067.192,37.226,28.352,49,21.531
Hungary,-0.572,,,,,,,10.464,0.463,,18002.352,1720377.522,21.647,26.653,6.572,6.452
Iceland,-0.208,103.479,-9.569,108.844,80.845,25.371,0.128,0.248,0.636,,656.589,2652232.332,19.401,22.514,62.05,-3.605
India,-8.024,767.522,,1008.261,,,,813.5,,,20633.9,25364.352,20.183,22.842,17.487,5.852
Indonesia,-2.1,24057.6,,,,,,172.492,2.8,,2256236.9,13080213.5,20.915,39.706,10.226,26.3
Iraq,,,,,,,,,,,,,,,,
Ireland,0.094,13.581,,14.837,,,1.111,3.531,18.4,-2.19,55.762,15793.408,15.549,16.667,,8.151
Islamic Republic of Iran,-2.123,,,,,,,49.872,,,762732.624,15293774.25,17.134,16.905,,11.072
Israel,-0.832,,,,,,1.453,4.439,6.428,,331.498,74674.342,15.272,17.693,22.983,-1.472
Italy,-8.053,227.148,-62.945,290.933,522.732,494.789,21.002,56.609,9.683,-0.444,1260.225,22261.772,20.589,22.912,54.418,5.189
Jamaica,-0.061,,,,,,,2.32,19.089,,564.92,243522.996,22.878,20.692,8.134,6.358
Japan,79.173,119978.4,,118379.4,271858.9,67200.9,60.104,122.548,2.517,0.665,381596.006,3113847.201,33.117,30.66,90.286,6.696
Jordan,-0.315,0.738,,1.046,4.171,4.264,,3.027,8.805,,3.841,1268.88,16.269,22.663,35.864,-39.385
Kazakhstan,,,,,,,,,,,,,,,,
Kenya,-0.471,38.976,,44.819,,,,20.694,,,1596.713,77158.752,16.222,27.229,18.586,3.9
Kiribati,0.001,0.024,,,0.001,,,0.068,,,0.119,1742.313,,,61.699,-16.914
Korea,13.055,,,,,,16.869,42.031,2.525,-2.859,356943.6,8492339.045,41.332,34.704,39.823,11.662
Kosovo,,,,,,,,,,,,,,,,
Kuwait,5.093,,,,,,,2,0.5,,12.872,6436.089,50.532,15.696,74.586,-16.727
Kyrgyz Republic,,,,,,,,,,,,,,,,
Lao P.D.R.,-0.079,,,,,,,3.976,,,7488.394,1883398.933,,,2.484,13.806
Latvia,,,,,,,,,,,,,,,,
Lebanon,-0.709,,,,,,,2.645,,,31661.795,11968589.73,-5.521,,7.236,-17.082
Lesotho,-0.07,0.409,,0.431,0.282,,,1.515,,,4.441,2930.516,23.089,42.932,16.336,
Liberia,,,,,,,,,,,,,,,,
Libya,-1.826,,,,,,,4.325,,,26.866,6211.83,,19.597,63.687,20.805
Lithuania,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,0.184,0.374,1.536,2.674,16.003,42801.155,30.339,23.949,53.264,11.073
Macao SAR,,,,,,,,,,,,,,,,
Madagascar,-0.15,97.46,,102.59,,,,10.878,,,4129.012,379583.059,7.453,13.294,18.34,-10.06
Malawi,-0.087,,,,,,,9.185,,,436.415,47513.381,10.025,9.399,1.305,2.005
Malaysia,1.867,,,,,,,17.094,8.079,,222.558,13019.361,28.984,27.646,52.906,11.803
Maldives,0.022,,,,,,,0.198,,,4.498,22666.185,37.057,,,-10.147
Mali,-0.241,,,,,,,7.713,,,1226.179,158973.555,7.642,17.808,,-2.289
Malta,,,,,,,0.12,0.346,6.2,13.197,,,51,28.751,52.138,26.189
Marshall Islands,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,
Mauritius,-0.056,,-1.104,,,,,1.043,3.888,,92.945,89095.712,23.472,30.373,39.224,10.916
Mexico,-2.376,,,,,,,82.223,3.542,,6732.131,81876.345,18.792,19.971,8.249,5.674
Micronesia,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,
Mongolia,,4.681,,6.691,,,,,,,5270.208,,14.775,53.619,,
Montenegro,,,,,,,,,,,,,,,,
Morocco,0.104,,,,,,,23.407,,,322.903,13795.156,24.231,23.556,55.427,19.896
Mozambique,-0.359,0.229,,0.301,,,,13.349,,,65.62,4915.734,21.262,36.253,2.934,-11.018
Myanmar,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,
Nepal,-0.226,,,,,,,17.274,,,234.976,13603.179,14.734,20.765,12.881,
Netherlands,7.132,113.466,-1.828,122.676,174.524,,6.096,14.76,6.247,-4.085,370.204,25081.572,26.574,24.573,57.873,7.751
New Zealand,-0.115,27.704,-0.818,29.309,33.765,44.815,1.572,3.351,5.8,-3.743,108.472,32372.779,20.104,20.849,74.713,35.863
Nicaragua,-0.715,,,,,,,,14.2,,70.375,,-3.234,,,
Niger,-0.23,,,,,,,7.069,,,1076.843,152334.484,15.399,19.052,49.807,-5.888
Nigeria,-0.296,,,,,,,85.488,,,,,,,,
Norway,-4.022,340.319,-17.95,324.398,210.963,-221.307,2.114,4.221,3.149,0.435,1698.143,402338.151,26.435,30.381,59.816,6.255
Oman,-0.307,,,,,,,1.922,,,8.879,4619.089,11.41,15.71,,12.306
Pakistan,-1.374,124.1,,,,,,97.658,3.142,,3354.621,34350.732,14.156,17.849,20.168,-4.674
Palau,,,,,,,,,,,,,,,,
Panama,0.722,,,,,,,2.374,18.78,,7.425,3127.746,10.672,6.682,58.973,1.533
Papua New Guinea,-0.337,0.905,,0.936,,,,3.45,,,5.179,1501.061,18.341,27.225,90.203,
Paraguay,-0.21,889.009,,978.765,,,,4.055,4.7,,11698.96,2884797.762,20.601,24.366,9.455,38.3
Peru,-1.793,,,,,,,20.867,4.156,,184.36,8834.934,23.14,24.044,0.004,-8.363
Philippines,-0.39,,,,,,,58.165,9.402,,2467.38,42419.994,16.008,22.377,26.644,10.037
Poland,-0.107,,,,,,,37.786,,,711.254,18823.262,21.39,27.42,5.73,
Portugal,-1.066,15.039,-1.368,16.768,,,4.611,10.034,7.069,-1.844,107.95,10758.603,27.486,31.708,38.351,8.632
Puerto Rico,,,,,,,0.938,3.454,15,,6.092,1763.853,,15.354,67.301,
Qatar,1.642,,,,,,,0.392,,,99.293,252984.396,14.864,,,12.442
Republic of Congo,-0.445,,,,,,,2.037,,,622.111,305363.508,29.408,43.625,69.515,4.246
Romania,3.927,,,,,,,23.346,3.7,,462.856,19825.827,27.926,29.248,,-4.351
Russia,,,,,,,,,,,,,,,,
Rwanda,-0.119,,,,,,,6.097,,,1664.526,273009.27,7.612,14.975,9.977,-14.82
Samoa,0.013,,,,,,,,,,0.945,,,,35.157,
San Marino,,,,,,,,,,,,,,,,
São Tomé and Príncipe,-0.019,,,,,,,0.108,13.623,,493.059,4563032.114,,,2.079,0
Saudi Arabia,-7.331,,,,,,,13.774,,,961.687,69818.301,12.476,19.689,78.197,23.353
Senegal,-0.414,,,,,,,7.131,,,2381.35,333932.714,2.606,10.92,51.763,7.429
Serbia,,,,,,,,,,,,,,,,
Seychelles,-0.028,0.895,,0.714,,,,0.069,,,2.821,41030.185,20.252,30.262,31.617,110.192
Sierra Leone,-0.003,,,,,,,3.901,,,2588.839,663616.842,-0.953,5.101,10.683,-41.031
Singapore,1.932,,,,,,1.452,2.846,2.575,,75.997,26702.044,40.735,33.448,59.941,29.834
Slovak Republic,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,
Solomon Islands,-0.021,0.094,,0.144,,,,0.295,,,1.927,6532.942,15.716,6.545,,-2.96
South Africa,2.567,,,,,,,35.19,17.238,,1598.975,45438.335,23.924,21.228,17,8.17
South Sudan,,,,,,,,,,,,,,,,
Spain,-3.685,92.138,-13.889,101.591,100.796,76.28,12.617,38.692,19.238,0.859,598.61,15471.193,22.438,24.199,45.258,3.815
