Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.03,,,,,,,2.996,4.41,,361.982,120817.663,45.216,51.388,,0
Algeria,0.074,,,,,,,21.175,16.536,,3167.012,149563.715,31.868,29.229,9.199,6.2
Angola,-0.171,,,,,,,9.314,,,357.299,38361.129,16.153,18.163,,12.5
Antigua and Barbuda,-0.001,,,,,,,0.065,,,1.013,15560.006,12.833,,69.008,
Argentina,-2.495,,,,,,,29.84,5,,381.268,12777.082,15.226,17.355,,-2.591
Armenia,,,,,,,,,,,,,,,,
Australia,-8.175,,,,,,6.494,15.677,8.967,-2.464,608.425,38809.283,20.155,26.768,,16.092
Austria,-0.178,,-1.221,,,,2.745,7.544,3.8,-0.959,168.21,22298.284,23.067,27.373,66.346,6.334
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,0.218,,,,,,,0.406,,,3.379,8319.575,38.117,30.689,88.348,
Bangladesh,-0.622,32.265,,63.27,,,,91.804,,,1738.626,18938.387,17.025,17.008,29.174,-8.739
Barbados,0.011,,,,,,,0.25,17.037,,0.784,3134.736,14.632,13.089,60.796,16.277
Belarus,,,,,,,,,,,,,,,,
Belgium,-0.055,58.346,-12.598,71.313,132.976,,3.643,9.853,10.825,-1.778,222.459,22577.757,17.424,20.515,53.966,5.595
Belize,-0.005,,,,,,,0.162,,,0.505,3125.461,20.27,20.318,,0
Benin,-0.053,,,,,,,4.149,,,1198.53,288854.631,7.991,15.011,35.989,0.4
Bhutan,-0.094,0.79,,0.758,,,,0.456,,,6.537,14335.405,7.433,36.348,146.132,-8.189
Bolivia,-0.075,0.001,,0.006,,,,5.754,,,14.078,2446.479,16.778,19.672,0.139,-6.066
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,-0.059,,,0.59,,,,1.113,,,16.028,14399.326,27.182,31.033,20.673,32.654
Brazil,0.04,,,,,,,129.273,7.1,,522.456,4041.492,13.828,16.053,3335.25,26.432
Brunei Darussalam,2.922,7.345,,4.137,0,,,,,,,,,,,
Bulgaria,0.535,,,,,,,8.963,,,67.741,7558.017,40.94,37.902,,31.382
Burkina Faso,0.007,,,,,,,8.048,,,874.725,108688.851,13.082,12.564,47.805,50.793
Burundi,-0.118,,,,,,,4.591,,,882.635,192243.053,6.314,57.814,5.532,9.921
