Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.087,,,,,,,3.137,18.4,,291.561,92932.142,21.073,24.851,42.113,0
Algeria,-1.839,434.161,,461.895,1463.245,1463.245,,27.496,24.362,,3344.877,121649.584,25.151,29.485,54.563,-6.118
Angola,-0.34,,,,,,,13.5,,,297.425,22030.772,18.051,23.513,,8.236
Antigua and Barbuda,-0.006,0.284,,0.357,1.427,,,0.065,,,1.688,26051.03,20.717,,93.281,2.742
Argentina,-10.981,62.425,-16.864,66.022,81.82,,,34.353,13.348,,480.481,13986.559,13.059,17.594,25.946,17.375
Armenia,0.025,48.921,,,,,,3.29,,,910.484,276742.896,,27.942,86.061,
Australia,-15.765,144.647,-15.45,160.206,153.146,112.206,7.897,17.893,9.717,-0.579,844.829,47214.472,21.628,25.545,62.9,7.942
Austria,-2.992,81.968,-7.7,90.442,107.64,,3.071,7.929,3.85,0.599,212.934,26856.075,22.906,26.319,84.89,5.688
Azerbaijan,-0.123,0.127,,0.172,,,,7.597,,,4.612,607.112,-3.724,1.737,54.173,-8
Bahrain,-0.255,0.527,,0.657,0.141,-0.276,,0.544,,,4.479,8227.987,20.764,24.749,90.265,
Bangladesh,-0.322,186.73,,186.136,,,,117.369,,,2567.797,21877.891,19.553,19.547,62.082,16.391
Barbados,0.14,1.295,,1.26,1.927,1.848,,0.264,21.75,,0.825,3122.966,17.551,11.077,84.449,9.339
Belarus,-0.444,,,0.034,,,,10.228,2.1,,60217.958,5887557.319,44.319,53.462,0.212,-21.216
Belgium,12.6,97.606,-9.236,107.967,270.571,,3.851,10.101,9.75,-1.197,278.27,27549.729,25.492,22.82,68.712,8.998
Belize,-0.04,,,,,,,0.211,9,,1.234,5850.4,15.04,18.913,91.785,-3.297
Benin,-0.04,145.43,,164.422,,,,5.787,,,1596.191,275833.372,15.292,17.769,62.432,-12.721
Bhutan,-0.034,3.123,,3.168,4.377,,,0.512,,,13.501,26369.163,42.249,52.351,358.962,-17.883
Bolivia,-0.238,6.568,,7.397,,,,7.182,,,18.034,2510.9,10.716,14.371,52.843,15.097
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.222,,,4.434,,,,1.546,,,33.12,21417.551,29.629,25.982,61.066,14.737
Brazil,-1.681,,,,,,,156.431,4.641,,690.488,4414.01,21.372,24.173,6.70E+12,10.409
Brunei Darussalam,1.588,2.246,,4.314,0,,,0.281,4.7,,14.633,52166.95,,,85.936,2.849
Bulgaria,-0.032,,,21.541,,,,8.377,14.05,,48.992,5848.665,8.155,11.548,1.88,-0.6
Burkina Faso,-0.019,188.68,,211.013,,,,9.82,,,1290.716,131437.435,19.006,19.984,64.427,-46.866
Burundi,-0.017,47.88,,52.668,,,,5.87,,,1140.403,194276.469,7.225,23.176,10.978,-20.668
Cabo Verde,-0.046,12.992,,17.699,,,,0.39,26,,47.787,122686.82,29.001,39.901,82.1,48.4
Cambodia,-0.095,,,,,,,10.43,,,9296.873,891335.975,11.226,11.733,60.505,94.3
Cameroon,-0.056,,,,,,,13.168,,,5094.721,386907.396,18.998,12.571,129.13,-7.62
Canada,-13.868,333.233,-44.767,388.164,772.018,523.815,13.061,28.96,10.392,-1.919,1058.405,36547.054,17.176,19.575,86.1,12.839
Central African Republic,0.007,69.993,,105.864,,,,3.201,,,652.859,203977.963,9.435,12.192,90.328,3.082
Chad,-0.038,,,,,,,6.21,,,1551.8,249887.274,9.725,20.986,64.203,-23.938
Chile,-1.585,5343.354,,4996.611,5454.233,1937.898,,14.152,7.808,,48637.432,3436859.519,20.303,26.689,49.884,11.6
China,,521.81,,603.633,,,,1198.5,2.8,,8945.666,7464.052,43.172,40.508,67.5,
Colombia,-3.672,16488.602,,16599.933,,,,36.863,4.914,,258603.209,7015322.479,19.648,27.207,26.15,15.551
Comoros,-0.007,23.699,,28.549,115.178,115.178,,0.476,,,96.788,203252.402,19.508,19.521,101.138,-16.94
Costa Rica,-0.513,197,,286.959,,,,3.373,4.2,,10506.117,3115135.074,15.457,20.195,15.07,4.148
Côte d'Ivoire,-0.014,,,,,,,13.758,,,8315.68,604407.584,7.708,10.272,80.249,8.564
Croatia,0.684,39.967,,38.598,,,,4.524,14.48,,204.284,45152.946,20.776,12.775,59.57,-15.953
Cyprus,0.074,,,,,,0.283,0.65,2.7,-1.616,9.271,14267.134,24.656,32.985,65.159,7.042
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.278,,,,,,,45.234,,,5962.095,131806.581,0.609,10.995,0.012,9.915
Denmark,3.189,553.159,-36.156,588.947,747.318,,2.545,5.197,7.733,-1.018,1404.5,270270.686,18.734,18.734,89,8.236
Djibouti,0.004,31.858,,41.567,,,,0.541,,,71.043,131396.359,16.169,15.382,88.464,-5.968
Dominica,-0.026,0.173,,0.198,0.407,,,0.071,,,0.812,11408.747,10.81,18.195,74.454,1.805
Dominican Republic,-0.283,,,,,,,7.642,7.387,,692.739,90653.166,27.371,29.201,21.53,4.728
Ecuador,-0.811,,,,,,,11.38,5.696,,34.956,3071.77,15.055,18.325,5.217,11.684
Egypt,0.191,,,,,,,55.746,11.143,,705.289,12651.752,21.547,19.021,68.177,3.473
El Salvador,-0.018,1.248,,1.28,2.346,,,5.68,7.7,,6.089,1072.042,19.216,19.692,55.95,11.382
Equatorial Guinea,,14.984,,339.054,143.625,,,0.428,,,100.714,235587.571,53.472,53.542,76.443,13.437
Eritrea,0.124,1.577,,1.345,,,,3.426,,,11.696,3413.843,-26.843,25.217,52.2,
Estonia,-0.165,,,,,,0.696,1.477,7.546,,7.752,5248.362,20.061,27.516,31.496,25.9
Ethiopia,0.125,4.926,,7.094,63.959,57.17,,53.531,,,135.772,2536.306,9.228,17.47,88.8,1.17
Fiji,-0.037,0.697,,0.736,1.379,1.323,,0.766,7.278,,4.027,5259.696,,14.983,61.319,
Finland,1.142,50.581,-2.532,56.388,50.937,-25.724,2.045,5.078,16.583,-5.442,118.418,23320.215,20.455,19.754,70.983,13.29
France,8.171,577.047,-51.64,640.746,585.2,490.198,22.608,57.565,10.667,-1.793,1503.728,26122.258,20.788,20.206,72.61,8.086
FYR Macedonia,-0.305,,,,,,,1.952,,,244.587,125307.825,3.025,,,1.361
Gabon,0.336,554.536,,592.424,1765.843,,,1.039,,,3386.994,3258762.096,27.769,20.998,93.337,4.489
Georgia,,0.106,,,,,,4.93,,,4.442,901.109,-1.711,,52.136,
Germany,-33.146,831.166,-41.599,877.028,856.889,,35.905,81.539,8.425,-0.457,2102.63,25786.927,22.334,23.833,74.384,7.843
Ghana,-0.41,0.099,,0.163,0.649,,,15.825,,,10.593,669.346,10.085,13.861,4.702,6.745
Greece,-0.146,26.192,-6.755,33.996,76.957,,3.944,10.49,9.6,-2.691,155.511,14824.882,19.974,20.099,64.002,7.387
Grenada,-0.028,0.192,,0.217,0.401,,,0.099,,,1.119,11257.218,21.488,30.136,70.864,26.643
Guatemala,-0.625,,,,,,,9.779,,,115.551,11816.223,11.583,17.557,34.03,-6.883
Guinea,-0.24,460.77,,580.529,3276.793,,,7.514,,,4886.12,650264.269,13.893,20.996,125,-6.887
Guinea-Bissau,-0.046,25.849,,36.948,,,,1.103,,,269.282,244135.752,10.37,21.273,23.568,134.584
Guyana,-0.07,,,,,,,0.723,,,203.162,280998.258,8.844,16.876,41.723,6.798
Haiti,-0.016,,,,,,,7.673,,,10.558,1376.023,12.196,,20.135,-25.918
Honduras,-0.309,7.208,,8.002,34.721,,,5.457,3.2,,86.991,15940.711,20.936,39.806,43.5,-20.257
Hong Kong SAR,-1.12,175,9.428,164.2,,,2.873,6.162,1.919,,1120.332,181799.196,33.532,31.379,86.4,9.435
Hungary,-4.054,,,,,,,10.35,10.118,,15298.986,1478118.586,13.322,24.369,24.429,13.72
Iceland,0.122,178.991,-13.625,199.907,245.071,165.494,0.138,0.265,5.315,,673.983,2542718.94,17.523,17.436,95.74,9.278
India,-3.369,1871.31,,2583.139,7681.368,,,919,,,27476.486,29898.244,23.717,24.729,30.95,12.769
Indonesia,-3,62478.1,,62455.7,,,,191.578,4.47,,3613950,18864152.37,24.434,31.497,16.639,11.4
Iraq,,,,,,,,,,,,,,,,
Ireland,1.496,19.626,,20.499,41.673,,1.221,3.586,15.1,-7.149,72.355,20177.617,19.106,17.124,,15.101
Islamic Republic of Iran,5,33482,,39208,,,,59.462,10,,1037005.765,17439943.14,23.295,19.31,7.427,1.348
Israel,-3.409,,,,,,1.871,5.395,7.828,,446.287,82728.528,19.358,24.384,53.626,13.239
Italy,12.647,416.821,-70.809,496.543,1069.415,1005.062,20.915,56.842,10.633,-2.62,1377.431,24232.46,19.709,19.01,75.966,9.626
Jamaica,-0.02,44.596,,39.802,,,,2.44,15.4,,669.384,274355.832,24.521,23.362,52.972,41.945
Japan,130.543,144529.8,-17639.245,163728.5,427418.2,93329.9,64.537,125.116,2.892,-1.589,446779.9,3570915.868,30.739,28.048,101.536,2.167
Jordan,-0.4,1.422,,1.524,5.504,5.371,,4.139,15.8,,4.358,1052.785,26.87,33.297,58.491,7.066
Kazakhstan,-0.91,94,,,,,,15.8,10.1,,6270.665,396877.561,20.903,26.824,34.468,-30.209
Kenya,-0.449,103.055,,133.214,,,,24.783,,,1785.11,72030.621,13.781,17.439,65.579,19.112
Kiribati,,0.049,,0.05,0.011,,,0.077,,,0.118,1546.699,,,82.634,-0.627
Korea,-4.464,,,,37079.17,,19.848,44.642,2.475,-1.892,573550,12847899.06,37.559,38.539,58.313,16.563
Kosovo,,,,,,,,,,,,,,,,
Kuwait,3.219,3.645,,4.319,8.438,,,1.5,7.183,,18.923,12615.395,35.479,19.869,95.012,0.256
Kyrgyz Republic,-0.084,2.503,,,,,,4.525,5.7,,17.131,3785.834,-2.212,9.329,28.756,-18.97
Lao P.D.R.,-0.106,,,,,,,4.751,,,11186.739,2354536.78,,,7.698,12.7
Latvia,0.201,,,,,,1.079,2.627,6.951,,9.822,3738.344,16.616,16.68,34.768,-1.791
Lebanon,-0.562,2748.28,,7144.555,,,,2.975,,,26450.772,8892070.968,26.24,,55.067,-1.709
Lesotho,-0.191,1.503,,1.314,2.2,,,1.767,,,5.952,3368.988,32.592,63.873,34.006,4.602
Liberia,,,,,,,,,,,,,,,,
Libya,0.151,2.818,,3.109,6.691,5.442,,4.65,,,32.972,7090.752,,20.877,109.463,-6.589
Lithuania,-0.094,1.551,,1.791,,,,,,,,,,,,
Luxembourg,,,,,,,0.208,0.404,2.732,4.138,22.147,54846.085,33.522,21.601,64.33,7.69
Macao SAR,,,,,,,,,,,,,,,,
Madagascar,-0.277,204.48,,360.767,2083.392,,,13.04,,,4287.693,328816.999,1.494,10.903,52.262,12.926
Malawi,-0.181,,,,,,,10.533,,,463.364,43993.732,2.718,14.107,4.568,10.287
Malaysia,-4.52,61.136,7.951,53.591,93.079,,,20.142,2.947,,378.78,18805.765,31.33,43.803,67.721,21.518
Maldives,-0.011,1.142,,1.356,,0,,0.24,,,6.084,25321.797,25.164,28.07,113.808,28.764
Mali,-0.163,,,,,,,8.759,,,1711.335,195370.335,28.382,34.542,87.24,-6.383
Malta,,,,,,,0.139,0.366,5.4,16.531,,,40.038,30.129,60.328,7.123
Marshall Islands,,,,,,,,,,,,,,,,
Mauritania,-0.023,31.613,,,,311.851,,2.228,,,343.482,154134.881,44.703,49.099,52.069,-19
Mauritius,-0.232,,-1.537,14.719,,,,1.111,4.492,,126.682,114050.191,17.724,32.168,69.732,7.554
Mexico,-29.662,313.16,,324.101,,,,92.664,3.7,,8517.387,91917.224,13.983,19.608,19.726,13.408
Micronesia,,,,,,,,,,,,,,,,
Moldova,-0.098,,,,,,,4.35,15,,6.574,1510.998,28.26,36.701,2024.857,-14.802
Mongolia,0.038,85.745,,114.823,,,,2.202,,,4363.03,1981844.311,19.162,32.984,12.496,
Montenegro,,,,,,,,,,,,,,,,
Morocco,-1.194,68.184,,77.088,245.705,245.705,,25.926,,,396.222,15282.798,20.835,23.86,79.227,-0.035
Mozambique,-0.648,3.383,,4.098,,,,15.453,,,82.297,5325.494,13.659,26.87,26.032,4.096
Myanmar,,,,,,,,,,,,,,,,
Namibia,0.085,3.509,,3.604,2.016,2.016,,1.549,,,21.924,14151.802,23.358,21.708,27.02,-3.386
Nepal,-0.256,,,,,,,20.065,,,319.217,15908.84,14.984,20.869,23.774,
