Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,0.909,21.618,,26.242,601.671,601.671,,23.116,,,198.736,8597.264,50.5,30.36,55.313,58.173
Albania,-0.432,167.224,,201.152,408.3,408.3,,3.04,15,,484.734,159472.129,31.094,38.653,90.765,9.51
Algeria,8.808,1947.437,,1691.354,2224.648,1656.202,,31.885,23.716,,4785.099,150073.679,43.316,30.337,107.78,6.754
Angola,-0.72,394.898,,457.154,727.168,,,17.615,,,572.559,32504.057,7.768,12.843,34.514,-1.931
Antigua and Barbuda,-0.098,0.433,,0.884,2.892,,,0.079,,,2.122,27008.781,12.032,,105.23,14.348
Argentina,8.075,97.3,9.88,92.521,523.79,,,37.87,17.25,,491.452,12977.447,19.401,14.109,37.352,5.009
Armenia,-0.174,247.215,,,534.176,,,3.04,31.2,,1779.159,585249.778,18.211,24.392,168.28,18.328
Australia,-28.952,298.528,8.528,290.655,109.471,6.249,9.393,19.827,5.917,-0.233,1170.015,59010.736,21.393,26.754,79.6,-1.341
Austria,4.186,113.758,-1.521,117.837,151.286,,3.185,8.1,4.792,-1.604,263.374,32514.043,26.12,24.472,96.71,0.402
Azerbaijan,-2.021,2.006,,2.038,1.56,,,8.423,9.665,,7.147,848.461,23.419,53.17,109.18,-0.792
Bahrain,0.197,1.146,,1.219,1.351,0.838,,0.765,,,6.459,8448.06,25.521,23.736,94.45,5.012
Bangladesh,0.176,341.915,,423.61,1545.674,,,139.186,,,4044.667,29059.444,25.539,25.093,95.404,3.63
Barbados,-0.119,2.38,,2.513,3.146,2.008,,0.272,11,,1.002,3690.353,14.263,17.9,100.941,5.6
Belarus,-0.426,16795.744,,15899.698,,,,9.831,3.135,,85382.666,8685043.856,22.951,25.342,83.92,8.452
Belgium,10.79,138.361,-2.719,143.338,285.708,203.735,4.224,10.356,8.175,-1.27,339.716,32804.27,24.237,20.861,79.6,0.087
Belize,-0.184,0.452,,0.624,2.022,2.022,,0.274,12.9,,2.008,7338.143,3.116,21.724,106.61,14.443
Benin,-0.301,391.285,,424.54,725.279,,,7.666,,,2444.9,318941.005,14.484,22.174,83.214,40.028
Bhutan,-0.138,7.054,,9.945,20.55,,,0.616,,,24.552,39857.003,38.001,55.068,484.289,1.644
Bolivia,0.084,14.928,,19.803,45.85,41.132,,9.141,8.708,,23.929,2617.736,14.59,13.232,82.008,6.454
Bosnia and Herzegovina,-1.627,6.897,0.085,6.962,4.059,3.257,,3.858,31.096,,19.359,5017.6,9.228,28.421,107.747,18.32
Botswana,0.683,16.191,1.42,16.276,4.489,,,1.83,,,50.793,27753.866,39.237,30.144,124.41,-7
Brazil,3.76,615.335,-70.362,704.277,1268.243,932.138,,180.619,12.317,,847.301,4691.096,17.53,16.857,1.47E+13,14.237
Brunei Darussalam,2.904,4.93,,3.91,0,,,0.346,4.468,,17.937,51781.719,,38.581,94.384,2.264
Bulgaria,-0.715,13.104,0.383,13.103,16.644,-3.248,,7.801,13.857,,55.482,7112.027,18.763,22.149,92.63,6.965
Burkina Faso,-0.406,434.602,,483.81,1090.266,,,12.7,,,2266.7,178480.315,8.074,17.719,84.069,28.417
Burundi,-0.025,184.571,,224.761,1460.676,,,7.2,,,1115.637,154949.517,16.82,16.703,36.846,38.275
Cabo Verde,-0.091,21.372,,25.29,70.856,68.737,,0.467,20,,92.185,197423.997,18.148,28.329,105.591,13.104
Cambodia,-0.166,1775.755,,2919.1,7988.548,,,12.934,,,17612.816,1361706.622,18.51,22.069,83.464,8.264
Cameroon,-0.242,1271,,1219.119,4771.401,4771.401,,16.883,,,7477.693,442910.747,15.501,17.277,181.9,8.72
Canada,10.191,503.765,-5.199,505.358,952.501,461.702,15.655,31.602,7.575,0.717,1412.137,44685.618,21.678,20.536,103.2,-1.736
Central African Republic,-0.025,63.756,,84.802,662.253,,,3.83,,,670.773,175153.123,4.311,6.59,110.433,-28.031
Chad,-1.359,247.36,,348.1,737.926,,,8.6,,,2430.726,282642.506,11.791,55.587,94.81,112.44
Chile,-0.829,11554.822,288.863,11774.611,6650.792,3432.874,,15.838,9.533,,71915.187,4540720.525,20.851,21.886,73.095,6.542
China,43.052,2171.525,-192.105,2499.895,5076.736,,,1292.27,4.3,,19474.315,15069.85,42.496,39.904,81.391,26.785
Colombia,-0.946,68490.104,-3198.206,75813.234,121870.521,102076.023,,41.849,14.108,,308418,7369781.835,17.682,18.682,76.03,7.36
Comoros,-0.014,25.482,,30.347,105.829,105.829,,0.576,,,118.894,206534.559,8.899,10.305,115.109,-17.267
Costa Rica,-0.88,973.273,,1209.582,2793.181,,,4.086,6.668,,15370.054,3761265.504,15.891,20.788,42.66,11.33
Côte d'Ivoire,0.294,1403.528,,1558.621,6933.186,,,17.425,,,10177.82,584084.659,14.788,12.869,109.706,-5.157
Croatia,-2.048,98.539,-9.986,108.982,87.151,,,4.306,14.25,,295.57,68641.431,22.088,27.985,81.89,10.791
Cyprus,-0.297,4.429,,5.188,8.093,,0.337,0.723,4.125,-1.561,13.556,18752.11,18.475,20.56,81.7,-1.394
Czech Republic,-5.674,1179.53,-148.422,1358.878,788.455,,4.701,10.193,7.812,,3138.623,307930.058,23.454,29.167,95.8,8.831
Democratic Republic of the Congo,0.181,179.136,,361.756,4147.315,,,57.289,,,5005.048,87365.507,9.979,9.425,284.21,-3.151
Denmark,8.576,768.751,16.003,770.664,663.062,264.236,2.706,5.384,5.433,-0.934,1707,317079.554,24.853,20.922,107.6,-0.45
Djibouti,0.021,37.966,,40.491,73.971,73.167,,0.693,,,73.375,105844.77,22.838,19.442,105.826,10.407
Dominica,-0.053,0.297,,0.289,0.91,,,0.071,,,0.971,13643.278,0.41,15.9,84.289,-9.057
Dominican Republic,1.036,80.632,-30.703,119.521,224.365,224.365,,8.745,6.764,,1095.647,125287.135,28.968,24.366,53.851,16.435
Ecuador,-0.387,6.91,1.275,6.587,14.553,,,13.32,10.163,,41.961,3150.345,18.397,19.59,65.68,7.21
Egypt,1.943,109.348,0,147.025,426.238,305.659,,67.908,11.275,,1085.176,15980.087,21.601,19.32,100.993,6.279
El Salvador,-0.702,2.339,,2.951,5.89,,,6.03,6.9,,8.019,1329.9,12.315,16.981,78.41,4.502
Equatorial Guinea,-0.158,471.162,,254.804,144.916,,,0.569,,,3314.103,5829023.476,38.971,44.328,128.359,14.435
Eritrea,0.084,6.017,,8.093,14.3,,,4.549,,,17.093,3757.447,-34.579,26.544,161.225,13.145
Estonia,-1.27,3.181,0.166,3.036,0.49,-0.594,0.603,1.375,10.342,-0.702,12.893,9375.786,22.388,35.277,64.6,10.089
Ethiopia,-0.136,15.702,,19.84,83.405,75.235,,71.342,,,201.137,2819.336,18.022,21.006,115.9,20.682
Fiji,-0.139,1.067,,1.324,2.133,2.057,,0.817,6.822,,4.989,6105.282,,16.886,79.744,
Finland,7.945,76.805,3.412,73.255,64.778,-55.798,2.365,5.206,9.008,0.058,168.183,32303.778,27.102,22.207,81.59,-1.211
France,29.016,801.114,-58.543,864.309,1047.1,901.1,23.55,60.102,8.483,-0.723,1841.5,30639.66,22.666,21.099,83.8,-1.07
FYR Macedonia,-0.192,96.535,,96.729,97.969,87.694,,2.026,36.687,,281.381,138855.524,14.058,,88.518,0.336
Gabon,0.766,1095.188,,802.44,2652.467,,,1.298,,,3748.591,2887961.747,34.945,26.105,105.751,5.998
Georgia,-0.386,1.368,,1.416,5.413,,,4.318,11.501,,7.39,1711.445,22.836,32.511,149.683,13.444
Germany,35.448,966.869,-65.962,1057.157,1397.938,1036.92,35.506,82.532,9.708,-1.601,2379.69,28833.658,21.099,19.687,83.2,1.917
Ghana,0.014,1.65,,1.975,8.029,7.93,,19.861,,,15.75,793.052,18.207,18.091,39.533,-1.54
Greece,-12.738,69.346,-10.466,83.355,168.025,,4.353,10.916,9.775,1.117,217.413,19917.321,21.079,27.375,93.683,-0.736
Grenada,-0.146,0.413,-0.069,0.471,1.27,,,0.102,,,1.746,17055.971,9.614,34.307,81.85,5.411
Guatemala,-1.02,21.809,,26.333,36.361,,,12.091,,,156.524,12945.53,15.648,20.301,63.75,2.804
Guinea,-0.002,952.672,,1395.299,7705.619,,,9.205,,,6840.95,743211.451,21.549,21.617,202.217,9.795
Guinea-Bissau,0.008,36.614,,51.759,588.635,,,1.361,,,288.875,212320.579,10.409,10.021,80.114,12.434
Guyana,-0.057,57.692,-22.722,72.539,280.192,280.192,,0.743,,,251.08,337927.045,7.729,12.496,66.872,-8.827
Haiti,-0.044,10.915,,13.299,74.214,,,8.977,,,13.015,1449.854,29.192,30.694,76.474,-0.45
Honduras,-0.553,30.842,,40.241,99.586,,,6.628,5.2,,118.841,17929.622,18.49,25.281,138.3,11.648
Hong Kong SAR,17.404,207.337,-41.37,247.466,20,,3.197,6.764,7.923,,1375.237,203311.108,33.166,22.38,89.4,12.785
Hungary,-6.702,8004.805,-1333.979,9366.769,10982.255,,,10.142,5.5,,20509.307,2022215.244,16.402,24.789,71.002,6.167
Iceland,-0.559,360.765,-14.158,387.887,333.206,309.902,0.157,0.288,3.358,,919.938,3189013.8,16.244,21.191,128.86,0.945
India,14.083,5170.001,-2888.142,8104.151,23937.681,,,1080.5,,,46622.558,43149.059,29.109,26.831,53.603,16.21
Indonesia,8.107,374485.402,,398078.948,1218649.897,,,215.216,9.5,,4605462.3,21399289.77,26.71,28.089,54.8,-2.099
Iraq,,,,,,,,25.96,,,66398.213,2557758.574,,,40.577,
Ireland,-0.368,48.611,-1.559,48,43.556,31.763,1.81,3.98,4.58,2.022,149.134,37471.796,25.486,25.709,87.933,0.844
Islamic Republic of Iran,0.816,266641.105,,251732.394,246594.672,94096.572,,67.315,11.3,,1516595.912,22529836.02,42.642,42.105,32.5,18.125
Israel,0.763,244.648,-30.099,285.473,536.4,478.524,2.505,6.687,13.4,,645.672,96555.942,19.834,19.232,80.004,8.118
Italy,-10.097,609.566,-63.554,657.039,1397.454,1189.737,22.244,57.131,8.45,-1.08,1589.455,27821.476,20.423,21.065,96.8,-1.299
Jamaica,-0.7,149.902,,181.575,700.487,,,2.647,11.8,,718.99,271612.724,17.747,26.248,136.339,21.346
Japan,139.414,141792.6,-37781.826,180640.3,845917,386904.8,63.167,127.634,5.242,-1.217,485968.3,3807502.026,25.638,22.399,100.494,9.48
Jordan,1.172,2.511,0.182,2.658,7.203,7.599,,5.23,14.439,,6.286,1201.977,32.336,20.841,71.33,7.443
Kazakhstan,-0.273,1169.189,159.759,984.892,690.066,165.106,,14.951,8.777,,8865.505,592962.778,28.003,28.887,126.698,12.852
Kenya,0.132,248.287,,269.174,766.953,718.088,,32.009,,,2211.544,69092.356,17.749,16.878,115.34,4.028
Kiribati,-0.008,0.108,,0.125,0.016,,,0.089,,,0.142,1589.895,,,101.307,-10.12
Korea,11.877,168216.315,12987.484,155120.506,165825,164222.098,22.139,47.859,3.567,0.064,948796.1,19824692,33.76,32.015,81.875,13.892
Kosovo,-0.271,0.59,,0.543,,,,,,,3.715,,,,80.184,-3.056
Kuwait,9.423,7.749,,5.281,3.509,,,2.547,1.221,,25.607,10055.032,36.267,16.644,108.404,31.408
Kyrgyz Republic,0.033,19.641,,23.977,89.655,,,5.073,9.9,,23.885,4708.063,22.288,20.548,116.038,21.156
Lao P.D.R.,-0.292,2797.959,,4016.598,21331.286,,,5.619,,,18779.998,3342190.297,,,84.611,-8.266
Latvia,-0.915,2.996,-0.086,3.148,1.329,1.095,0.966,2.299,11.642,,15.285,6647.389,22.457,30.256,60.13,3.98
Lebanon,-2.665,6596.7,-5407.462,10699.55,50321.886,49503.186,,3.69,,,36764.498,9962981.484,6.581,,74.684,2.12
Lesotho,0.029,3.602,,3.519,4.693,1.877,,1.875,,,7.839,4181.309,30.955,28.22,67.648,35.083
Liberia,-0.1,0.049,,0.045,4.035,4.617,,3.222,,,0.445,138.171,,,140.716,-51.507
Libya,2.46,16.614,,14.475,9.125,-4.517,,5.42,,,33.62,6202.928,,43.091,100,28.347
Lithuania,-1.278,5.134,-0.131,5.345,3.487,2.382,1.433,3.415,12.441,,22.842,6688.309,14.668,21.876,95.77,8.426
Luxembourg,1.92,11.048,0.33,10.907,1.652,,0.292,0.448,3.317,-1.689,32.465,72418.47,28.528,21.966,76.44,2.814
Macao SAR,2.599,18.371,,15.713,0,,0.205,0.447,6,,119.549,267636.629,,13.72,77.5,
Madagascar,-0.328,1044.957,,1307.076,6758.873,,,17.245,,,5348.849,310163.156,13.878,16.846,124.806,-30.341
Malawi,-0.331,57.417,,67.55,457.138,,,13.098,,,672.742,51360.325,4.158,12.922,39.053,6.049
Malaysia,13.381,107.055,-19.498,128.022,188.792,,,25.32,3.6,,588.115,23227.291,35.223,24.299,84.389,7.407
Maldives,-0.031,3.06,,3.524,5.064,4.106,,0.285,,,13.356,46850.634,24.141,27.14,111.21,9.738
Mali,-0.271,536.528,,568.99,1113.404,906.457,,11.22,,,2747.243,244858.046,16.487,22.236,107.149,-11.849
Malta,-0.067,1.731,-0.436,2.166,3.27,,0.148,0.397,7.717,0.063,5.723,14405.38,17.836,19.068,77.564,-0.342
Marshall Islands,-0.016,0.083,,0.069,0.062,,,0.05,,,0.131,2626.193,,,101.97,5.483
Mauritania,-0.175,119.684,,,731.586,731.586,,2.882,,,459.457,159422.804,13.076,26.223,82.319,-11.134
Mauritius,0.1,31.987,-2.371,40.258,95.919,95.919,,1.213,7.698,,193.004,159064.198,25.968,23.679,114.455,3.154
Mexico,-8.139,1600.286,-118.607,1778.517,3443.573,2738.362,,106.888,3.4,,10385.857,97165.408,20.773,21.914,73.784,0.887
Micronesia,-0.01,0.17,,0.164,0.061,,,0.106,,,0.247,2331.153,,,83.599,
Moldova,-0.13,9.383,,9.202,16.005,,,3.618,7.9,,6.975,1927.661,18.032,24.596,8301.054,18
Mongolia,-0.102,553.888,,615.753,,,,2.49,,,6280.613,2522638.408,17.288,27.359,48.264,
Montenegro,-0.115,0.582,,0.643,0.608,,,0.615,,,1.819,2957.027,8.68,15.414,186.7,-20.614
Morocco,0.263,109.807,-18.568,130.01,307.112,293.373,,29.52,11.432,,537.108,18194.446,26.68,26.176,95.833,-4.321
Mozambique,-0.817,25.007,,29.134,98.885,,,19.873,,,189.474,9534.007,16.757,31.421,91.687,7.828
Myanmar,0.066,833.805,,1244.829,11030.884,,,47.455,4,,21223.438,447233.739,11.133,11.022,67.195,-6.671
Namibia,0.266,9.933,,11.697,9.641,9.641,,1.891,,,30.661,16214.293,24.752,19.37,58.595,6.325
Nepal,0.153,65.238,,67.17,297.433,,,24.526,,,459.488,18735.105,24.185,21.761,40.375,
Netherlands,29.867,211.373,-6.035,226.641,249.821,118.16,7.787,16.225,4.833,-3.186,568.743,35053.498,27.452,20.811,82.87,4.329
New Zealand,-2.013,51.571,2.957,47.559,31.13,25.856,1.953,4.062,4.75,-2.264,168.279,41431.702,21.281,23.649,106.207,2.352
Nicaragua,-0.706,17.857,,19.144,94.395,,,5.313,6.998,,104.243,19621.293,8.817,22.074,75.497,9.091
Niger,-0.219,232.7,,275.365,1341.006,30.814,,11.834,,,1445.314,122129.379,8.852,16.333,81.798,6.542
Nigeria,3.391,2794.767,,3086.757,,,,129.05,,,30679.948,237737.018,16.854,18.928,54.895,31.028
Norway,27.436,878.984,-44.867,762.748,691.079,-1600.281,2.269,4.573,4.494,-1.632,2623.717,573750.406,31.638,19.584,86.35,-0.113
Oman,0.513,3.792,,3.229,1.38,-0.885,,2.526,,,15.892,6292.093,26.476,24.021,99.799,-7.651
Pakistan,4.07,838.22,,845.978,3583.143,3363.82,,142.86,8.27,,6226.156,43582.218,21.296,16.758,66.671,13.596
Palau,-0.03,0.071,,0.074,,,,0.02,,,0.179,9147.51,,44.22,75.894,-22.376
Panama,-0.58,2.884,0.027,3.493,8.145,6.615,,3.227,13.042,,14.947,4632.531,13.639,22.764,67.321,-1.789
Papua New Guinea,0.097,3.664,,3.811,7.98,,,5.515,,,8.252,1496.463,35.699,21.351,339.718,10.555
