Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,0.872,301.356,,318.255,80.117,80.117,,32.007,,,470.313,14694.074,23.943,19.405,124.851,-20.415
Albania,-1.311,378.606,,436.673,1045.016,1045.016,,2.889,17.1,,767.819,265757.867,16.843,28.199,119.27,2.019
Algeria,-27.041,5051.493,,7712.111,1514.031,-559.815,,39.896,11.265,,7041.221,176488.147,34.618,50.314,176.08,6.244
Angola,-8.748,3061.088,,3564.686,7680.542,,,25.115,,,1687.673,67198.353,0.762,9.257,160.637,7.85
Antigua and Barbuda,-0.129,0.748,,1.04,3.548,,,0.089,,,2.584,28933.835,12.797,,135.62,6.651
Argentina,-16.105,1985.146,-361.814,2385.3,3066.981,,,43.096,6.471,,883.304,20496.242,15.638,18.388,,-3.718
Armenia,-0.335,1082.744,,1331.729,2352.324,,,2.99,17.695,,3348.61,1119772.155,16.371,19.541,280.536,16.529
Australia,-56.198,561.674,-35.309,606.817,599.956,291.634,11.743,24.016,6.075,-1.423,1642.994,68413.213,22.178,26.1,108.3,6.104
Austria,13.461,169.722,-0.817,175.118,290.549,161.26,3.535,8.556,5.73,-1.272,309.949,36223.81,25.82,22.222,122.831,1.685
Azerbaijan,0.125,19.096,,20.949,19.627,,,9.417,6.048,,23.921,2540.202,26.597,26.367,248.79,7.434
Bahrain,-0.987,2.246,,3.973,7.24,7.24,,1.294,,,11.617,8981.008,12.918,16.165,123.8,-0.301
Bangladesh,-2.176,1503.6,,2091.36,5138.722,,,159.857,,,8302.617,51937.853,28.378,28.972,228.613,9.273
Barbados,-0.231,3.244,,3.922,9.134,6.687,,0.28,12.163,,1.116,3990.812,8.369,13.602,171.651,5.27
Belarus,-1.064,368551.431,,370820.56,521018.666,,,9.499,1,,156820.481,16509678.29,33.941,35.89,654.298,-8.37
Belgium,2.359,209.718,-9.624,221.045,435.633,261.51,4.665,11.337,8.333,-0.84,403.449,35587.107,23.317,22.798,100.74,3.36
Belize,-0.181,0.98,,1.165,2.705,2.705,,0.364,11.957,,2.77,7608.15,5.6,15.847,132.419,0.049
Benin,-0.937,848.24,,1244.512,1875.402,,,10.859,,,4047.229,372692.419,16.746,27.808,113.719,7.934
Bhutan,-0.591,32.085,,35.406,163.301,,,0.779,3.2,,60.589,77819.829,21.6,56.035,1075.051,1.375
Bolivia,-2.286,80.44,,95.536,90.372,58.505,,11.506,4,,42.536,3696.806,12.973,21.077,160.44,-14.105
Bosnia and Herzegovina,-1.078,12.645,-0.047,13.042,12.671,10.886,,3.863,27.7,,26.96,6978.603,10.417,17.241,134.874,2.085
Botswana,1.202,53.774,-5.972,55.961,25.031,,,2.129,,,85.33,40084.057,37.145,27.801,295.879,-24.493
Brazil,-58.905,1865.781,-550.148,2474,4351.321,2136.888,,204.451,6.833,,1208.605,5911.467,16.358,19.681,2.96E+13,8.071
Brunei Darussalam,0.921,4.953,,6.549,0.5,,,0.417,2.7,,18.663,44713.665,,33.608,100.7,2.926
Bulgaria,1.043,31.02,-1.863,33.493,23.232,-0.098,,7.166,9.235,,79.562,11102.357,23.467,21.342,140.73,7.605
Burkina Faso,-0.622,1285.983,,1384.28,2016.661,,,17.915,,,4399.512,245576.992,8.548,14.198,108.476,-9.662
Burundi,-0.444,1042.795,,1355.885,1738.101,,,9.422,,,1719.075,182457.56,-4.423,10.647,111.144,1.905
Cabo Verde,-0.147,39.829,,47.435,189.1,179.885,,0.525,10,,143.406,273245.773,31.506,40.735,137.749,8.326
Cambodia,-2.042,13677.259,,13605.889,25159.774,,,15.543,,,42963.628,2764185.093,11.253,22.5,161.766,12.287
Cameroon,-1.647,2991.114,,3959.074,5641.066,5641.066,,23.108,,,11806.934,510956.444,16.034,21.817,247.833,14.936
Canada,-51.375,766.649,-25.672,800.152,1816.205,529.657,17.949,35.825,6.892,-0.741,1768.242,49357.178,20.461,23.771,127.267,2.965
Central African Republic,-0.205,107.789,,137.479,613.58,,,4.794,,,599.281,125017.89,1.748,14.475,188.119,0.136
Chad,-1.392,784.606,,1101.425,2531.869,,,11.566,,,5568.132,481420.579,14.361,27.142,132.626,27.761
Chile,-4.765,36906.523,-3223.73,40583.608,26798.179,-7138.533,,18.006,6.214,,118526.54,6582464.786,20.388,22.473,110.97,-1.885
China,293.2,19943.699,-1682.364,21820.303,30024.042,,,1374.62,4.05,,59210.623,43074.175,46.004,43.334,112.787,-2.095
Colombia,-19.035,214971.121,-26383.087,237814.289,396970.742,323669.422,,48.203,8.933,,531376,11023712.22,17.975,26.581,126.15,-3.758
Comoros,-0.06,78.494,,66.557,69.787,69.787,,0.799,,,148.093,185249.323,14.585,18.413,175.664,3.302
Costa Rica,-2.135,3993.816,,5643.25,11983.679,,,4.837,8.311,,25386.833,5248495.502,15.064,19.1,99.12,1.861
Côte d'Ivoire,-0.542,3601.5,,4183.063,6393.234,,,23.711,,,15765.937,664924.735,16.435,18.174,148.178,12.134
Croatia,2.143,145.525,-10.752,159.01,293.059,,,4.221,16.9,,320.605,75953.886,22.666,18.278,107,8
Cyprus,-0.992,6.894,,7.186,18.93,,0.365,0.856,15.322,-2.8,15.176,17733.051,10.247,15.381,99.67,1.908
Czech Republic,1.648,1835.462,-80.48,1920.074,1831.817,,5.077,10.538,5.045,,4223.446,400772.043,27.45,26.544,123,7.017
Democratic Republic of the Congo,-4.726,5799.755,,5113.298,6775.519,,,81.68,,,10844.727,132771.154,5.479,15.626,1286.289,-0.862
Denmark,20.276,1029.383,-25.491,1068.135,905.595,133.005,2.755,5.66,6.175,-1.029,1857.8,328249.744,26.306,19.432,131.6,-0.882
Djibouti,-0.504,114.668,,165.558,170.329,161.754,,0.966,,,127.807,132360.058,31.216,60.413,169.31,14.1
Dominica,-0.07,0.436,,0.455,1.133,,,0.071,,,1.178,16659.602,1.709,15.83,102.289,0.469
Dominican Republic,-1.299,547.928,-81.104,545.854,1041.157,1041.157,,9.99,5.94,,2083.7,208570.802,20.425,22.35,120.92,5.791
Ecuador,-2.819,33.586,-4.836,38.812,34.128,,,16.279,4.77,,69.78,4286.531,21.234,24.087,104.05,2.496
Egypt,-12.182,527.562,-281.438,811.909,2130.976,1895.893,,88.434,12.881,,1801.2,20367.732,10.866,14.044,318.111,14.04
El Salvador,-0.826,4.764,,5.595,15.18,,,6.377,5.337,,10.05,1575.897,10.648,13.854,110.61,7.916
Equatorial Guinea,-0.617,1955.446,,2124,1115.847,,,0.799,,,4781.271,5981284.35,23.862,54.445,210.052,5.059
Eritrea,-0.102,10.243,,20.444,91.202,,,6.716,,,21.409,3187.595,1.329,7.614,758.638,-16.905
Estonia,0.437,8.078,0.299,7.969,2.072,-0.262,0.635,1.313,6.762,-1.303,17.594,13397.018,25.884,24.576,99.01,-1.192
Ethiopia,-7.893,199.639,,230.521,601.224,538.528,,89.76,,,691.025,7698.564,26.988,39.795,667.903,4.634
Fiji,-0.257,2.592,,2.888,4.248,4.003,,0.89,8.75,,6.694,7521.95,,18.594,127.061,
Finland,0.272,114.08,-2.053,121.013,129.18,-95.803,2.438,5.472,9.325,-3.104,187.231,34217.736,18.972,19.527,99.98,0.377
France,-3.041,1161.65,-47.133,1241.24,2112.189,1943.914,24.946,64.275,10.35,-2.223,2084.3,32427.867,21.353,21.479,100.15,6.055
FYR Macedonia,-0.141,161.967,,182.24,212.604,200.384,,2.073,27.255,,422.112,203649.612,30.009,,109.71,4.606
Gabon,-0.409,1811.457,,2009.859,3726.101,,,1.855,,,5353.929,2886225.178,34.81,37.753,124.26,21.065
Georgia,-1.627,8.894,-0.08,9.263,13.094,,,3.697,,,14.026,3793.595,21.709,33.323,274.692,2.001
Germany,285.196,1349.955,21.104,1330.566,2148.236,1475.72,40.019,81.9,4.633,-0.111,2773.91,33869.475,27.322,18.828,100,5.385
