Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.215,12.235,,12.411,502.268,502.268,,22.203,,,182.842,8235.103,55.055,27.243,51.923,
Albania,-0.442,154.595,,192.517,391.308,391.308,,3.051,15.751,,458.421,150252.192,28.726,38.733,87.867,3.878
Algeria,4.359,1603.284,,1550.646,2326.098,2050.567,,31.414,25.664,,4463.712,142093.08,38.484,30.804,102.1,5.798
Angola,-0.15,190.836,,207.753,385.967,,,17.102,,,544.012,31809.931,10.619,11.821,19.548,23.562
Antigua and Barbuda,-0.082,0.424,,0.843,2.777,,,0.078,,,2.007,25825.762,12.192,,103.36,2.264
Argentina,8.702,69.195,1.049,76.368,513.993,,,37.516,22.45,,451.549,12036.279,18.842,11.596,36.035,0.249
Armenia,-0.148,228.132,,,519.17,,,3.05,35.3,,1559.952,511459.825,11.938,18.159,156.627,29.715
Australia,-15.721,274.664,2.335,273.547,117.437,21.576,9.187,19.605,6.367,0.156,1136.283,57957.533,21.509,25.243,77.7,0.448
Austria,5.464,111.678,-2.416,114.721,150.019,,3.155,8.064,4.392,-0.627,261.397,32416.898,26.286,23.667,95.49,4.098
Azerbaijan,-0.768,1.347,,1.678,1.395,,,8.328,,,6.469,776.72,19.644,34.576,105.436,9.906
Bahrain,-0.056,1.027,,1.15,1.024,0.583,,0.711,,,6.076,8551.269,22.824,23.348,92.629,
Bangladesh,0.167,303.1,,389.872,,,,137.006,,,3823.796,27909.641,24.605,24.585,89.583,1.246
Barbados,-0.162,2.233,,2.477,3.025,2.063,,0.271,10.3,,0.981,3622.6,11.952,17.055,100.635,-3.648
Belarus,-0.334,11636.281,,11834.035,,,,9.9,2.652,,79816.528,8062275.565,20.657,22.944,66.936,7.754
Belgium,11.611,136.3,0.117,136.175,287.956,201.406,4.224,10.31,7.608,0.006,337.105,32697.797,25.134,20.665,78.32,7.974
Belize,-0.165,0.431,,0.601,1.66,1.66,,0.265,10,,1.837,6927.27,4.538,22.266,104.165,10.605
Benin,-0.206,347.825,,444.714,895.249,,,7.415,,,2363.4,318743.304,15.083,21.793,82.588,14.538
Bhutan,-0.081,8.849,,10.052,14.523,,,0.598,,,22.5,37625.939,38.414,57.279,470.315,-2.979
Bolivia,-0.35,13.89,,18.871,39.192,35.209,,8.547,8.69,,23.298,2725.809,12.319,16.295,78.9,5.248
Bosnia and Herzegovina,-1.183,6.215,-0.191,6.632,4.351,3.691,,3.828,31.096,,18.64,4869.354,10.453,28.082,107.211,-2.666
