Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.165,,,,,,,3.248,8.9,,262.031,80662.519,-7.747,9.23,8.25,0
Algeria,2.39,272.4,,239.63,671.029,671.029,,25.643,20.263,,3393.448,132334.263,34.533,29.412,26.652,0.575
Angola,-0.58,,,,,,,12.355,,,410.031,33187.955,12.726,13.737,,0.186
Antigua and Barbuda,-0.031,0.229,,0.283,1.289,,,0.061,,,1.49,24519.191,23.539,,91.071,0.936
Argentina,-0.429,,,,,,,32.97,6.48,,387.379,11749.448,12.036,12.65,18.881,-5.105
Armenia,,,,,,,,,,,,,,,,
Australia,-10.637,126.061,-8.532,135.342,89.98,52.453,7.667,17.379,9.608,-2.768,754.885,43436.666,18.549,22.75,59.9,12.936
Austria,0.061,65.183,-5.659,69.551,82.763,,2.997,7.711,3.151,3.609,202.607,26275.465,25.32,27.105,77.52,2.937
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,-0.602,0.512,,0.583,0.137,-0.264,,0.508,,,3.765,7410.5,15.361,24.122,83.415,
Bangladesh,-0.346,140.666,,133.98,,,,109.935,,,2247.188,20441.14,20.018,17.68,53.323,12.817
Barbados,-0.024,,,,,,,0.25,17.236,,0.851,3405.275,12.019,13.592,81.894,16.467
Belarus,,,,,,,,,0.1,,,,,,,
Belgium,4.763,83.174,-15.189,96.399,228.235,,3.897,9.987,6.45,1.551,268.085,26843.496,22.615,23.744,64.346,2.789
Belize,-0.026,,,,,,,0.194,14,,1.035,5333.405,43.411,54.655,86.351,0
Benin,-0.052,79.288,,96.534,,,,5.183,,,1435.836,277053.346,13.379,16.017,38.435,58.373
Bhutan,-0.025,1.749,,1.796,,,,0.535,,,12.382,23143.403,23.689,33.144,257.123,-6.37
Bolivia,-0.255,3.823,,4.626,,,,6.65,,,16.256,2444.661,10.796,15.578,40.328,7.294
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,0.303,,,3.342,,,,1.424,,,32.158,22589.364,45.642,31.841,42.359,-5.248
Brazil,-1.405,,,,,,,149.094,4.83,,629.239,4220.418,19.011,19.731,2097313107,0.298
Brunei Darussalam,2.466,2.686,,2.782,0,,,0.26,4.7,,13.501,51830.5,,,79.433,8.769
Bulgaria,-0.077,,,,,,,8.639,6.78,,62.841,7273.899,18.715,25.868,0.288,-2.119
Burkina Faso,-0.16,141.217,,139.694,,,,9.05,,,1228.483,135743.94,13.195,18.314,48.678,0.307
Burundi,-0.033,57.588,,47.377,,,,5.62,,,1252.065,222787.359,4.076,30.2,8.111,22.903
Cabo Verde,-0.017,,,,,,,0.363,25.827,,40.415,111456.559,14.145,35.1,66.433,-12.3
Cambodia,,,,,,,,8.179,,,7714.552,943223.803,7.745,8.998,15.582,139.68
Cameroon,-0.336,,,,,,,12.045,,,5565.229,462024.715,14.256,15.257,99.85,-3.931
Canada,-22.9,302.311,-43.825,360.975,570.144,348.934,12.855,27.987,10.317,-3.284,978.056,34946.64,15.656,19.409,83.049,1.581
Central African Republic,-0.062,57.987,,89.665,,,,2.98,,,601.082,201733.358,7.808,12.506,65.528,-3.134
Chad,-0.066,,,,,,,5.784,,,1467.047,253660.139,1.526,11.809,45.472,5.261
Chile,-0.099,3057.441,,2852.364,4937.066,,,13.422,8.217,,38363.845,2858278.66,22.86,24.929,35.976,12.4
China,,343.139,,366.095,,,,1158.23,2.3,,6075.473,5245.481,38.95,35.286,41.611,
Colombia,2.347,6554.5,,6427.5,,,,34.834,6.377,,222952.758,6400518.193,19.318,17,13.9,9.983
Comoros,-0.01,19.977,,22.527,117.5,117.5,,0.447,,,91.401,204567.006,11.433,11.219,,47.968
Costa Rica,-0.224,102.15,,123.388,,,,3.122,5.5,,8556.21,2740911.343,15.025,18.07,9.86,10.059
Côte d'Ivoire,-1.074,,,,,,,11.697,,,7365.751,629732.627,-0.805,9.512,57.171,-4.109
Croatia,,,,,,,,,13.159,,,,,,,
Cyprus,-0.42,,,,,,0.267,0.605,3,-1.954,7.949,13139.94,17.566,34.348,56.377,-7.558
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.944,,,,,,,41.036,,,8198.841,199798.237,1.335,25.347,,
Denmark,1.983,467.064,-26.767,493.162,,,2.636,5.146,7.867,-2.498,1307.7,254096.547,19.612,19.612,84.6,6.169
Djibouti,0.009,30.961,,33.387,,,,0.498,,,76.806,154323.409,20.515,18.516,76.415,0.763
Dominica,-0.033,0.159,,0.177,0.348,,,0.071,,,0.779,10944.116,10.168,21.944,70.421,-0.2
Dominican Republic,-0.082,,,,,,,7.242,9.237,,598.215,82604.431,15.67,27.716,17.423,1.549
Ecuador,-0.717,,,,,,,10.671,8.5,,31.725,2972.875,13.872,18.416,1.967,10.5
Egypt,1.664,,,,,,,52.423,8.791,,655.896,12511.615,33.037,22.793,50.796,12.085
El Salvador,-0.168,0.767,,0.929,2.276,,,5.43,7.5,,4.973,915.764,12.44,15.408,38.22,-1.099
Equatorial Guinea,-0.041,18.023,,105.77,62.999,,,0.386,,,58.689,151878.516,30.108,46.192,53.179,-3.297
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,0.103,3.17,,4.849,,,,48.42,,,127.049,2623.921,4.951,11.516,78.176,2.347
Fiji,-0.074,,,,,,,0.735,7.534,,3.52,4787.605,,16.959,,
Finland,-5.663,48.726,-0.343,48.465,19.025,-51.371,2.365,4.998,6.608,-3.309,118.719,23751.03,18.629,24.073,66.174,-7.893
France,-6.188,525.621,-35.71,556.634,396.5,307.792,22.846,56.841,8.617,0.702,1455.049,25598.735,23.003,23.486,68.65,6.248
FYR Macedonia,,,,,,,,,,,,,,,,
Gabon,0.091,374.178,,407.14,1450.238,,,0.96,,,3241.822,3376897.902,27.174,26.566,65.666,-1.114
Georgia,,,,,,,,,,,,,,,,
Germany,-26.669,682.281,-50.029,732.31,606.597,,37.078,80.275,5.47,2.804,2040.32,25416.768,24.161,25.587,67.42,14.2
Ghana,-0.377,0.037,,0.046,0.113,,,14.672,,,9.285,632.832,12.48,15.405,2.422,20.542
Greece,-1.573,15.947,-5.9,21.952,39.61,,3.78,10.273,7.7,2.096,153.867,14978.256,23.516,25.006,45.034,4.124
Grenada,-0.035,0.183,,0.218,0.341,,,0.096,,,1.13,11714.395,20.039,31.511,64.551,1.85
Guatemala,-0.184,,,,,,,9.119,,,103.224,11319.659,12.825,15.427,23.926,10.933
Guinea,-0.22,412.483,,515.209,2240.786,,,6.352,,,4330.654,681803.801,15.094,22.388,100,232.426
Guinea-Bissau,-0.075,23.465,,19.972,,,,1.037,,,248.036,239086.925,3.799,12.29,8.098,5.903
Guyana,-0.138,,,,,,,0.718,,,160.621,223706.783,24.381,24.381,29.911,31.949
Haiti,-0.104,,,,,,,7.218,,,12.852,1780.609,63.37,,9.643,-21.027
Honduras,-0.15,4.202,,4.938,31.084,,,5.042,4.7,,78.553,15580.405,14.447,26.165,28,-2.016
Hong Kong SAR,3.836,114.7,23.535,92.191,,,2.754,5.856,1.798,,936.478,159908.82,33.646,26.921,66,14.423
Hungary,0.403,,,,,,,10.373,8.415,,15419.605,1486448.516,21.042,22.373,13.687,-13.877
Iceland,-0.272,171.483,-3.653,174.651,154.183,79.252,0.125,0.256,2.457,,664.494,2597039.238,15.595,21.692,89.57,-5.91
India,-1.178,1282.886,,1704.223,5076.448,,,864.25,,,23314.614,26976.701,21.372,21.8,24.32,3.51
Indonesia,-4.4,42709.6,,,,,,182.354,2.6,,2922294.6,16025411.26,23.943,43.875,13.113,14.7
Iraq,,,,,,,,,,,,,,,,
Ireland,0.34,16.247,,17.323,36.004,,1.156,3.526,19,0.394,64.475,18287.025,18.811,20.131,,5.61
Islamic Republic of Iran,-11.2,8380,,9490,,,,53.648,10,,1036487.86,19320225.4,42.175,43.863,3.59,10.682
Israel,-1.273,,,,,,1.583,4.946,10.585,,375.057,75824.655,21.853,24.799,38.509,-2.56
