Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.191,260.571,,258.692,68.516,68.516,,29.825,,,440.336,14764.22,31.207,25.337,114.628,-2.643
Albania,-1.251,330.384,,376.241,828.268,828.268,,2.9,13.4,,725.182,250041.551,20.011,30.161,114.1,-2.298
Algeria,12.29,6339.339,,7058.173,1538.383,-4095.369,,37.495,11,,6360.983,169648.844,46.603,40.723,158.48,-3.652
Angola,13.853,5053.803,,4548.766,3246.903,,,22.984,,,1463.708,63684.908,26.942,14.932,121.447,3.838
Antigua and Barbuda,-0.176,0.644,,0.683,2.835,,,0.086,,,2.391,27643.262,7.459,,131.26,-0.175
Argentina,-1.274,845.656,-83.215,919.573,1040.232,,,41.733,7.2,,844.508,20235.848,16.799,17.009,82.471,-6.908
Armenia,-1.058,892.556,,956.318,1556.27,,,2.97,17.3,,3039.694,1023466.156,12.798,22.759,254.464,8.796
Australia,-66.383,501.455,-47.593,553.755,418.453,168.713,11.346,22.921,5.225,-0.467,1531.225,66805.048,24.494,29.072,102,5.781
Austria,6.144,155.196,-5.297,162.075,258.85,157.05,3.465,8.408,4.925,-0.146,305.195,36297.677,25.357,24.006,118.05,1.655
Azerbaijan,14.772,22.376,,19.782,6.26,,,9.195,6.048,,21.754,2365.952,44.232,22.73,223.434,-2.08
Bahrain,2.577,3.053,,3.418,4.187,4.187,,1.219,3.9,,10.226,8388.981,36.545,20.12,115.3,10.703
Bangladesh,0.971,1186.643,,1500.924,3568.912,,,154.695,,,6923.153,44753.457,30.213,28.33,188.526,7.95
Barbados,-0.402,3.185,,3.906,7.312,5.101,,0.278,11.5,,1.109,3991.794,3.954,13.232,167.145,-5.578
Belarus,-1.862,214951.3,,206057.3,207292.974,,,9.465,0.619,,158996.5,16798362.39,31.61,34.537,431.714,10.783
Belgium,-0.266,200.054,-14.161,216.131,403.147,241.766,4.631,11.095,7.65,-0.265,392.634,35388.816,23.138,23.191,98.54,-0.872
Belize,-0.019,0.837,,0.854,2.379,2.379,,0.341,14.431,,2.596,7617.64,12.489,13.698,131.472,7.563
Benin,-0.772,797.519,,809.781,1111.504,,,10.05,,,3378.5,336176.112,13.152,22.654,114.111,46.48
Bhutan,-0.35,32.646,,33.806,66.932,,,0.742,3.2,,50.411,67939.068,26.917,55.339,831.821,-15.187
Bolivia,1.97,70.735,,67.447,62.39,20.66,,10.875,3.229,,36.037,3313.926,25.724,17.673,139.13,25.81
Bosnia and Herzegovina,-1.524,11.869,-0.337,12.583,11.591,10.084,,3.884,28,,25.338,6524.049,9.289,18.143,139.2,-1.35
Botswana,0.046,41.649,-0.365,40.736,21.764,,,2.055,,,75.515,36750.107,39.561,38.137,265.713,-18.414
Brazil,-74.218,1670.932,-180.034,1792.247,2994.571,1550.083,,199.242,5.483,,1218.915,6117.761,18.395,21.412,2.37E+13,1.095
Brunei Darussalam,5.674,10.948,,7.377,0.5,,,0.4,2.7,,19.567,48941.115,,35.398,100.3,-2.798
Bulgaria,-0.139,26.516,0.238,26.874,13.674,-8.041,,7.282,12.379,,75.126,10316.678,21.816,22.076,146.08,0.671
Burkina Faso,-0.803,1276.51,,1453.721,1616.01,,,16.5,,,3817.084,231338.426,7.685,14.875,107.142,-21.313
Burundi,-0.434,1135.968,,1263.663,1343.971,,,8.775,,,1638.42,186720.617,-3.724,14.291,91.728,15.179
Cabo Verde,-0.221,36.688,,52.151,136.987,130.919,,0.506,16.8,,136.948,270730.186,27.676,40.269,138.955,4.676
Cambodia,-1.547,9589.82,,11740.132,18167.023,,,14.864,,,34933.396,2350201.544,12.497,23.5,148.714,25.981
Cameroon,-0.95,2425.814,,2640.734,2085.14,2085.14,,21.458,,,9974.291,464836.637,17.099,20.708,231.3,-5.166
Canada,-65.733,701.676,-34.23,747.804,1546.469,514.409,17.444,34.699,7.325,-1.236,1668.524,48085.831,21.269,24.873,122.1,2.642
Central African Republic,-0.1,181.263,,181.28,381.873,,,4.522,,,889.369,196666.275,10.36,14.973,153.884,7.411
Chad,-1.076,1542.084,,1512.111,1779.177,,,10.74,,,4842.736,450897.185,22.804,31.495,128,-2.866
Chile,-9.377,30935.031,-165.27,30050.204,15517.619,-8800.294,,17.445,6.432,,109616.506,6283621.038,21.93,25.468,98.762,0.114
China,215.392,15016.042,-250.974,15378.677,19748.654,,,1354.04,4.09,,47929.897,35397.697,48.993,46.45,106.703,5.882
Colombia,-11.305,188311.73,-9753.23,187773.255,226389.618,165254.052,,46.582,10.367,,470880,10108625.65,20.785,23.844,111.82,5.989
Comoros,-0.105,65.336,,57.803,97.074,97.074,,0.732,,,138.886,189842.339,12.247,16.82,164.256,-10.382
Costa Rica,-2.408,3118.254,,4177.715,8014.506,,,4.652,7.834,,23371.406,5023452.389,15.299,20.48,91.68,8.15
Côte d'Ivoire,-0.321,2621.36,,3051.751,6194.524,,,21.954,,,12375.256,563701.233,15.268,16.451,144.402,8.14
Croatia,-0.078,137.836,-14.189,155.494,228.79,,,4.268,15.225,,319.962,74967.666,19.13,19.269,107.38,-0.144
Cyprus,-1.409,7.039,,8.169,15.431,,0.385,0.866,11.875,-3.3,16.289,18811.757,10.356,15.985,102.03,-1.07
Czech Republic,-3.239,1637.11,-55.496,1797.123,1803.585,,4.89,10.505,6.978,,3995.109,380289.364,24.689,26.258,121.1,4.281
Democratic Republic of the Congo,-1.26,4369.083,,3910.334,5871.828,,,74.749,,,8498.839,113698.935,6.4,12.686,1246.791,-8.574
Denmark,18.492,1032.103,-43.735,1098.247,850.553,124.569,2.683,5.581,7.542,-1.005,1818,325776.326,25.35,19.66,129.6,0.571
Djibouti,-0.275,82.904,,89.473,104.171,103.588,,0.889,,,107.822,121307.835,7.8,28.123,157.618,4.59
Dominica,-0.091,0.409,,0.481,0.971,,,0.071,,,1.179,16661.689,-3.534,15.238,102.379,-15.95
Dominican Republic,-3.971,323.479,-162.238,480.01,724.273,724.273,,9.681,6.445,,1731.479,178853.972,16.494,23.054,111.97,6.126
Ecuador,-0.166,34.57,-3.17,35.394,19,,,15.521,4.121,,64.362,4146.804,27.607,27.796,94.53,5.467
Egypt,-10.146,348.864,-166.243,514.554,1243.068,1069.776,,82.4,12.372,,1656.6,20104.369,12.522,15.58,240.478,-10.516
El Salvador,-1.288,4.258,,5.196,13.146,,,6.3,5.597,,9.452,1500.27,8.732,14.142,108.13,2.662
Equatorial Guinea,-0.387,3196.075,,4023.498,833.632,,,0.736,,,5840.879,7932785.93,36.313,49.165,188.283,7.462
Eritrea,0.072,7.291,,14.583,60.667,,,6.093,,,18.886,3099.711,5.869,9.542,577.835,54.293
Estonia,-0.563,6.962,0.215,7.036,1.713,-0.462,0.615,1.325,10.023,-2.086,16.655,12567.927,27.661,28.07,97.13,6.197
