Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,3.146,81.163,,91.817,86.525,86.525,,26.349,,,267.177,10139.832,92.626,55.856,83.861,22.61
Albania,-1.138,252.291,,282.987,517.043,517.043,,2.97,13.4,,604.961,203689.561,25.686,36.287,100,17.311
Algeria,30.6,3687.85,,3114.242,1276.057,-1939.44,,33.858,13.793,,5555.62,164085.885,56.964,34.294,121.33,-1.882
Angola,10.581,2124.712,,1908.842,744.928,,,19.826,,,1111.257,56050.909,31.009,13.505,67.221,17.501
Antigua and Barbuda,-0.386,0.757,,0.932,2.757,,,0.082,,,2.834,34566.514,8.12,,116.69,3.414
Argentina,7.2,253.718,-6.141,252.063,456.04,,,39.356,8.475,,684.807,17400.158,24.433,22.249,53.038,5.958
Armenia,-0.677,632.547,,706.059,448.757,,,2.99,28.7,,2887.974,965877.525,30.804,38.161,193.211,7.59
Australia,-63.485,405.376,13.278,388.671,109.502,-82.23,10.433,21.016,4.35,1.077,1348.119,64146.899,21.718,28.686,89.3,3.091
Austria,14.751,134.982,-9.55,138.699,182.984,,3.344,8.283,4.867,3.718,295.889,35722.492,27.998,24.62,105.89,7.386
Azerbaijan,9.019,8.079,,7.356,2.441,,,8.802,6.545,,16.736,1901.376,48.781,21.525,169.451,45.786
Bahrain,2.907,2.038,,1.908,1.336,1.336,,1.039,5.6,,8.506,8184.215,48.093,34.713,104.07,2.408
Bangladesh,0.617,511.274,,634.03,2304.399,,,146.457,,,5192.503,35454.094,27.835,26.191,127.634,10.497
Barbados,-0.245,3.153,,3.427,4.687,2.864,,0.275,7.425,,1.136,4136.513,12.943,18.339,124.922,0.237
Belarus,-3.04,48048.995,,46573.517,17826.582,,,9.579,1.064,,124438.152,12990724.74,29.22,35.934,123.869,5.419
Belgium,7.041,166.492,-2.679,166.287,299.643,187.003,4.451,10.585,7.5,2.236,380.938,35990.059,25.938,24.447,87.82,4.921
Belize,-0.052,0.731,,0.749,2.253,2.253,,0.312,8.5,,2.28,7318.447,13.604,17.64,122.62,-6.768
Benin,-0.561,626.828,,618.147,558.576,,,8.708,,,2860.8,328539.189,14.702,24.085,93.534,24.765
Bhutan,0.145,16.083,,15.795,34.24,,,0.679,3.7,,33.623,49518.599,39.191,39.128,577.966,67.02
Bolivia,1.506,35.428,,33.635,41.725,28.078,,9.903,7.668,,28.524,2880.449,28.593,15.187,103.57,-15.911
Bosnia and Herzegovina,-1.434,10.231,-0.188,10.193,4.097,0.96,,3.916,29.013,,24.017,6132.32,15.565,24.519,124.039,-14.131
Botswana,1.652,28.645,2.064,24.823,5.694,,,1.928,,,64.001,33203.461,45.835,30.793,175.3,8.481
Brazil,0.408,949.233,-88.445,1023.693,1733.983,1200.799,,189.463,9.275,,1019.815,5382.66,19.849,19.819,1.80E+13,6.261
Brunei Darussalam,5.857,6.632,,5.998,0.14,,,0.39,3.4,,18.919,48509.58,,34.929,97.538,-9.194
Bulgaria,-10.616,22.985,0.274,21.026,11.167,-6.152,,7.64,6.935,,72.873,9538.111,9.683,33.362,122.42,19.225
Burkina Faso,-0.561,650.547,,833.588,822.041,,,14.2,,,2846.631,200466.991,10.54,18.809,91.823,8.5
Burundi,-0.073,534.876,,571.71,1901.726,,,7.794,,,1317.622,169066.536,9.473,13.195,52.178,13.519
Cabo Verde,-0.196,34.838,,35.986,79.26,72.193,,0.484,15.2,,121.974,252161.354,28.365,41.308,117.184,18.901
Cambodia,-0.16,4812.319,,5000.697,10695.372,,,13.747,,,26869.523,1954532.604,19.342,21.197,113.096,-3.062
Cameroon,0.282,1985.483,,1528.323,1170.81,1170.81,,18.855,,,8454.888,448418.986,16.419,15.039,201.4,11.464
Canada,11.109,636.408,11.414,607.7,1051.813,347.294,16.775,32.848,6.033,1.997,1573.532,47903.908,24.728,23.97,112.233,1.141
Central African Republic,-0.106,117.04,,108.263,529.311,,,4.107,,,773.125,188250.448,4.458,10.687,120.279,5.285
Chad,0.708,814.26,,709.295,917.068,,,9.493,,,3644.07,383877.578,30.499,22.315,100.756,-3.712
Chile,7.079,24600.873,473.991,17428.797,3517.356,-11725.726,,16.505,7.008,,90899.462,5507433.11,24.718,20.558,85.921,7.013
China,353.183,4925.778,-36.953,4909.835,9288.937,,,1321.29,4,,30713.88,23245.374,50.649,40.679,92.707,20.933
Colombia,-6.009,117164.066,-8511.678,120816.16,139963.991,96887.82,,43.927,11.192,,387983,8832449.291,20.131,23.027,92.87,6.905
Comoros,-0.047,33.945,,37.314,103.274,103.274,,0.631,,,125.776,199304.979,6.22,11.171,132.499,5.742
Costa Rica,-1.646,2104.701,,2061.752,3746.608,,,4.34,4.597,,19922.426,4590008.205,18.732,24.829,66.76,10.515
Côte d'Ivoire,-0.139,1871.18,,1916.14,7214.742,,,19.309,,,10827.189,560721.608,11.988,12.67,121.619,-8.832
Croatia,-4.298,136.967,-12.52,144.7,119.449,,,4.436,9.6,,353.073,79592.651,22.561,29.703,94.16,3.447
Cyprus,-2.565,7.19,,6.625,9.307,,0.378,0.776,3.908,1.611,16.156,20809.377,13.755,24.491,90.71,5.28
Czech Republic,-8.17,1504.282,-113.008,1530.885,1065.509,,4.922,10.254,5.32,,3954.399,385635.766,27.798,32.129,107.9,11.027
Democratic Republic of the Congo,0.527,881.183,,898.018,7347.081,,,64.479,,,6345.369,98410.131,13.23,13.923,489.266,63.031
Denmark,4.422,949.616,34.612,862.318,475.504,-80.252,2.802,5.447,3.767,3.81,1878.2,344808.341,26.75,25.366,116,3.567
Djibouti,-0.182,53.002,,56.885,85.4,84.005,,0.774,,,85.601,110567.484,23.81,45.228,126.303,-2.051
Dominica,-0.087,0.426,,0.404,0.852,,,0.071,,,1.121,15796.8,-1.194,19.441,94.182,-2.528
Dominican Republic,-2.179,238.86,-1.895,237.327,254.944,254.944,,9.174,5.008,,1455.253,158626.996,23.457,28.413,85.151,-2.126
Ecuador,1.886,13.631,2.47,12.305,13.873,,,14.215,6.923,,51.008,3588.311,26.402,22.705,73.4,0.017
Egypt,2.696,206.451,-56.326,262.665,597.281,480.317,,73.644,9.205,,1350.225,18334.489,29.477,27.51,137.597,12.086
El Salvador,-1.217,3.365,,3.736,7.646,,,6.12,6.3,,9.127,1491.356,10.261,16.311,94.73,12.6
Equatorial Guinea,2.869,2308.526,,1233.481,46.028,,,0.64,,,5367.528,8391771.642,59.443,43.356,149.863,8.042
Eritrea,-0.081,4.921,,8.093,31.744,,,5.18,,,16.955,3273.297,-10.342,12.674,275.324,-10.86
Estonia,-3.336,5.844,-0.312,5.46,0.595,-1.705,0.658,1.343,4.592,15.093,17.81,13262.328,24.503,39.292,80.94,12.592
Ethiopia,-0.828,29.381,,35.563,109.285,95.636,,79.056,,,315.659,3992.857,21.926,20.781,197.058,17.246
Fiji,-0.343,1.389,,1.497,2.735,2.605,,0.835,8.6,,5.446,6519.065,,15.818,92.821,
Finland,9.814,96.889,3.642,87.32,63.425,-130.12,2.492,5.277,6.867,6.09,196.623,37260.693,29.318,25.465,85.18,9.065
France,2.477,966.674,-69.032,1016.166,1248.9,1123.6,24.426,61.795,8,1.86,2015.415,32614.406,24.204,24.111,91.07,2.831
FYR Macedonia,-0.577,119.422,,117.269,87.722,73.882,,2.045,34.925,,345.285,168828.908,16.802,,95.829,13.79
Gabon,1.748,1636.499,,1155.853,2366.31,,,1.44,,,3922.615,2724521.397,39.789,25.738,105.488,6.214
Georgia,-2.009,4.972,-0.242,4.831,4.333,,,4.104,13.279,,10.555,2571.75,14.418,34.17,206.213,4.539
Germany,232.509,1079.761,-20.154,1071.979,1598.062,1209.525,37.17,82.218,8.575,2.25,2596.21,31577.211,27.5,20.75,90.8,9.307
Ghana,-2.158,4.052,,5.299,7.188,5.385,,21.97,,,19.518,888.395,14.211,20.108,63.464,6.363
Greece,-44.686,93.921,-21.994,109.528,239.3,,4.564,11.036,8.4,10.34,250.719,22718.293,13.12,27.131,107.178,10.618
Grenada,-0.232,0.446,-0.168,0.576,1.824,,,0.104,,,2.002,19327.034,4.835,35.412,97.26,15.583
Guatemala,-1.786,33.611,,37.382,55.858,,,13.354,,,186.767,13985.839,15.596,20.831,86.97,8.505
