Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.604,280.187,,300.521,74.516,74.516,,31.279,,,463.52,14819.119,29.171,21.326,124.755,-17.518
Albania,-1.71,366.569,,442.717,1004.128,1004.128,,2.894,17.5,,748.075,258522.514,15.53,28.395,116.982,10.109
Algeria,-9.436,5738.068,,6995.769,1368.784,-3039.375,,39.114,10.6,,6787.576,173533.17,43.405,47.824,168.72,0.311
Angola,-3.722,4402.641,,5222.016,5067.352,,,24.383,,,1638.554,67199.846,12.404,15.341,140.571,-2.115
Antigua and Barbuda,-0.181,0.68,,0.776,3.311,,,0.088,,,2.53,28629.442,10.584,,134.41,0.734
Argentina,-7.441,1485.101,-192.784,1668.167,1995.871,,,42.643,7.25,,872.816,20468.197,18.2,19.566,113.38,-7.875
Armenia,-0.849,1064.617,,1158.422,2001.332,,,2.985,17.6,,3250.929,1089009.994,13.774,20.494,280.899,8.517
Australia,-43.831,543.62,-37.924,589.84,546.127,251.491,11.526,23.614,6.058,-1.3,1603.253,67893.316,23.678,26.84,106.5,6.729
Austria,8.437,164.733,-0.911,173.595,277.383,156.971,3.503,8.508,5.633,-1.589,307.257,36114.765,23.463,22.758,121.374,2.111
Azerbaijan,10.432,23.084,,21.431,9.457,,,9.342,6.048,,23.661,2532.665,37.113,23.49,231.238,-2.286
Bahrain,1.523,3.168,,3.901,5.574,5.574,,1.268,4.136,,11.262,8880.581,31.536,16.306,122.9,-1.582
Bangladesh,-0.12,1467.34,,1880.76,4550.961,,,158.217,,,7803.09,49318.767,29.168,28.784,214.735,7.705
Barbados,-0.388,3.197,,3.894,8.592,6.269,,0.279,12.275,,1.111,3981.265,4.094,13.014,172.824,-0.215
Belarus,-5.197,316238.428,,307419.408,314761.863,,,9.468,0.515,,163175,17234368.4,28.622,35.448,584.352,4.453
Belgium,-1.147,208.309,-11.743,220.772,427.307,253.184,4.627,11.204,8.483,-1.023,397.994,35522.517,22.796,23.012,99.3,2.003
Belize,-0.13,1.001,,1.134,2.584,2.584,,0.357,11.056,,2.73,7647.727,8.497,16.135,133.353,-0.362
Benin,-0.896,824.771,,933.036,1461.555,,,10.59,,,3846.9,363255.452,15.623,24.968,111.161,14.36
Bhutan,-0.459,33.141,,37.773,131.044,,,0.766,3.2,,56.275,73446.81,22.307,55.37,1000.785,-2.154
Bolivia,0.061,90.958,,98.627,75.276,30.16,,11.292,4,,40.588,3594.509,20.482,21.034,155.84,10.956
Bosnia and Herzegovina,-1.45,12.27,-0.383,13.06,12.021,10.236,,3.871,27.5,,26.225,6774.883,10.003,17.834,136.576,4.554
Botswana,2.496,54.032,2.918,50.564,25.31,,,2.104,,,85.62,40697.105,46.257,30.625,286.983,4.186
Brazil,-104.181,1880.457,-413.013,2224.373,3600.867,1883.147,,202.769,4.842,,1256.965,6199.004,16.736,21.046,2.68E+13,-0.271
Brunei Darussalam,4.747,7.975,,7.343,0.5,,,0.412,2.7,,18.702,45404.467,,27.432,101.7,-0.098
Bulgaria,0.658,28.145,-2.35,31.193,22.102,-1.949,,7.202,11.524,,77.268,10728.394,22.6,21.441,141.99,0.082
Burkina Faso,-1.004,1321.15,,1440.762,1759.958,,,17.42,,,4230.259,242839.191,11.741,19.783,107.111,14.501
Burundi,-0.544,1277.201,,1442.135,1461.431,,,9.201,,,1792.736,194842.343,-2.925,15.476,103.745,-14.052
Cabo Verde,-0.15,35.408,,46.784,172.519,163.509,,0.518,12,,140.887,271762.626,29.372,37.411,138.494,2.809
Cambodia,-2.032,13259.954,,14160.043,22638.068,,,15.313,,,40182.031,2624001.621,11.088,23.2,157.287,13.853
