Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,0.279,88.162,,108.251,95.064,95.064,,27.032,,,277.498,10265.448,32.94,30.226,99.639,-11.869
Albania,-2.034,290.078,,342.86,595.883,595.883,,2.947,13.1,,650.553,220727.567,17.996,33.698,102.18,14.878
Algeria,34.449,5190.617,,4190.663,926.252,-3353.786,,34.591,11.333,,5686.74,164399.41,57.494,37.349,127.23,-3.568
Angola,7.194,3217.433,,3498.789,1051.421,,,20.421,,,1264.801,61937.397,24.765,16.219,76.074,10.105
Antigua and Barbuda,-0.359,0.778,,0.986,2.811,,,0.083,,,2.878,34726.054,11.397,,117.54,0.985
Argentina,6.638,339.478,3.367,333.97,504.154,,,39.746,7.875,,705.865,17759.564,22.658,21.023,56.876,-0.855
Armenia,-1.659,730.753,,793.43,522.066,,,2.98,16.4,,3088.621,1036449.933,26.646,43.809,203.466,-15.885
Australia,-51.445,419.753,-16.21,433.35,145.041,-65.384,10.728,21.476,4.242,0.775,1383.528,64423.177,24.289,28.883,92.6,3.502
Austria,19.333,141.145,-9.079,145.373,200.024,,3.389,8.308,4.15,3.285,300.468,36166.057,28.974,24.535,107.44,2.259
Azerbaijan,16.454,19.657,,11.829,2.773,,,8.897,6.072,,18.544,2084.277,55.302,19.825,195.546,5.626
Bahrain,2.256,2.698,,2.286,1.215,1.215,,1.107,3.7,,9.037,8166.901,43.726,34.948,109.4,5.247
Bangladesh,1.182,615.66,,869.06,2550.767,,,147.97,,,5478.886,37027.012,28.219,26.204,136.17,6.429
Barbados,-0.487,3.208,,3.537,4.954,3.211,,0.275,8.125,,1.141,4143.843,7.616,18.204,134.068,-4.599
Belarus,-4.988,65770.926,,63309.379,27957.873,,,9.542,0.939,,137246.557,14383416.18,31.031,39.242,140.343,2.83
Belgium,-5.207,174.067,-6.229,177.957,327.255,194.916,4.531,10.667,7.083,1.682,383.784,35979.096,24.731,25.73,90.19,-1.76
Belize,-0.145,0.778,,0.767,2.172,2.172,,0.322,8.2,,2.353,7306.147,15.045,25.623,128.012,1.126
Benin,-0.539,633.344,,635.13,799.146,,,8.974,,,3001,334428.221,12.859,20.376,101.369,48.571
Bhutan,-0.028,18.197,,18.065,30.52,,,0.692,4,,37.238,53812.738,38.707,48.149,618.179,-1.182
Bolivia,1.991,46.953,,42.645,44.843,24.872,,10.028,4.43,,30.278,3019.337,28.952,17.553,115.84,29.124
Bosnia and Herzegovina,-2.645,11.371,-1.513,12.347,7.717,5.397,,3.911,23.408,,25.36,6484.453,12.376,26.058,128.764,6.537
Botswana,-0.12,29.556,-5.756,35.15,5.694,,,1.955,,,67.996,34783.832,34.862,34.916,199.277,-2.479
Brazil,-30.64,1115.878,-78.903,1163.562,1923.972,1153.631,,191.532,7.892,,1071.762,5595.733,19.813,21.619,1.91E+13,-1.919
Brunei Darussalam,7.056,14.306,,6.146,0.213,,,0.375,3.7,,18.544,49451.532,,36.71,99.383,-7.054
Bulgaria,-12.036,26.359,-0.4,24.369,10.71,-9.433,,7.607,5.664,,76.989,10121.355,14.92,36.802,131.22,2.378
Burkina Faso,-0.964,630.752,,783.656,943.113,,,14.7,,,3011.736,204879.976,8.584,20.049,102.455,5.807
Burundi,-0.016,734.994,,786.676,1959.209,,,7.981,,,1381.681,173130.923,11.447,11.219,65.574,54.581
Cabo Verde,-0.245,39.116,,39.911,77.347,70.894,,0.485,13,,130.086,268410.903,26.64,40.353,125.002,1.691
Cambodia,-0.685,6667.106,,6455.918,11650.414,,,13.941,,,28667.518,2056416.952,11.996,18.617,127.256,2.175
Cameroon,-0.28,2214.088,,1980.992,1014.619,1014.619,,19.383,,,8698.794,448788.858,14.864,16.061,212.1,-3.689
Canada,1.529,645.58,-6.214,642.524,1121.249,304.956,17.004,33.199,6.158,0.894,1589.273,47871.76,24.218,24.119,114.3,-4.555
Central African Republic,-0.197,134.71,,145.916,450.526,,,4.185,,,789.006,188527.165,2.785,12.728,137.749,-12.586
Chad,0.387,1042.561,,874.409,925,,,9.73,,,3755.312,385947.489,25.603,21.879,110.5,-9.477
