Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.319,31.209,,37.101,599.369,599.369,,24.019,,,200.069,8329.717,60.987,35.354,62.651,0.752
Albania,-0.42,184.355,,222.439,423.962,423.962,,3.027,14.4,,512.234,169225.06,27.687,33.422,92.765,20.63
Algeria,11.116,2215.165,,1891.769,2166.588,1444.898,,32.366,17.656,,4990.859,154200.659,46.333,33.305,110.14,2.729
Angola,0.681,609.686,,586.399,852.47,,,18.143,,,634.851,34990.606,12.635,9.167,45.217,13.537
Antigua and Barbuda,-0.095,0.5,,0.798,2.983,,,0.079,,,2.19,27586.101,13.482,,108.13,1.124
Argentina,3.074,128.776,19.141,111.558,568.149,,,38.226,13.625,,535.828,14017.36,19.687,17.999,39.631,-0.018
Armenia,-0.079,294.907,,,504.307,,,3.03,31.6,,1965.485,648674.886,20.714,22.919,171.173,0.286
Australia,-41.063,323.386,10.813,311.553,106.49,-10.971,9.556,20.046,5.392,0.453,1217.544,60737.495,21.05,27.177,81.7,3.599
Austria,6.074,117.515,-3.505,129.049,156.501,,3.199,8.143,5.492,-1.748,270.5,33220.31,26.264,24.111,99.15,8.781
Azerbaijan,-2.589,2.333,,2.207,1.72,,,8.518,8.387,,7.875,924.597,28.165,57.991,120.58,6.805
Bahrain,0.474,1.301,,1.288,1.454,1.454,,0.824,,,6.91,8388.031,24.108,20.52,96.75,13.377
Bangladesh,-0.19,352.491,,453.857,1679.803,,,141.235,,,4291.725,30387.111,26.04,25.709,100.656,8.399
Barbados,-0.266,2.526,,2.537,3.44,2.053,,0.273,9.575,,1.016,3727.173,11.273,18.854,105.274,-1.984
Belarus,-1.193,23004.212,,22229.223,4767.449,,,9.763,2.522,,95148.668,9745843.26,26.878,32.034,96.037,13.681
Belgium,11.426,145.695,-2.914,146.168,288.259,197.277,4.266,10.396,8.317,0.064,352.064,33863.961,25.571,22.495,81.2,6.981
Belize,-0.155,0.469,,0.659,2.095,2.095,,0.283,11.6,,2.102,7437.383,4.11,18.755,109.853,7.274
Benin,-0.272,413.098,,436.105,702.15,,,7.923,,,2553.1,322247.348,16.13,22.134,85.435,3.65
Bhutan,-0.122,10.421,,9.865,23.907,,,0.634,2.5,,26.209,41338.509,36.368,62.354,501.902,34.421
Bolivia,0.325,18.661,,22.52,62.362,56.401,,9.275,8.427,,24.928,2687.767,17.045,11.022,85.797,6.469
Bosnia and Herzegovina,-1.639,7.267,0.07,7.297,4.077,3.157,,3.889,31.096,,20.57,5289.776,10.476,26.618,108.394,12.215
Botswana,0.351,17.958,2.437,17.383,3.939,,,1.852,,,52.168,28164.663,35.399,31.48,134.226,7.389
Brazil,11.347,692.311,-51.41,748.617,1371.93,982.509,,182.911,11.483,,896.113,4899.175,19.608,17.913,1.58E+13,17.802
Brunei Darussalam,3.325,6.151,,4.888,0,,,0.352,3.5,,18.028,51171.297,,34.576,95.977,-0.714
Bulgaria,-1.119,14.916,0.819,14.26,15.559,-5.231,,7.761,12.192,,59.12,7617.514,19.198,23.481,96.31,26.092
Burkina Faso,-0.532,461.796,,582.37,1171.241,,,13,,,2368.2,182169.231,5.226,16.205,84.651,112.082
Burundi,-0.058,255.338,,291.19,1740.324,,,7.344,,,1157.654,157632.615,13.676,17.32,41.292,-5.184
Cabo Verde,-0.132,26.11,,29.449,76.05,73.764,,0.474,19.5,,96.727,204246.912,22.723,35.674,105.276,4.596
Cambodia,-0.116,2208.825,,2972.355,9154.903,,,13.149,,,19434.074,1477945.374,15.656,17.826,87.858,21.837
Cameroon,-0.534,1285.921,,1331.171,5135.483,5135.483,,17.356,,,7754.506,446796.359,17.01,20.391,183.733,0.909
Canada,23.228,532.988,2.836,522.734,960.249,431.125,15.922,31.899,7.158,1.215,1455.715,45635.213,23.725,21.455,105.567,5.539
Central African Republic,-0.022,78.454,,90.348,690.055,,,3.894,,,688.427,176810.066,5.106,6.884,110.098,4.497
Chad,-0.758,273.778,,336.778,797.694,,,8.815,,,3248.163,368481.352,10.767,25.913,103.55,271.684
Chile,2.597,13843.659,311.432,12605.227,6228.846,2410.231,,16.002,10.017,,76803.272,4799703.831,22.863,20.28,74.883,14.031
China,68.941,2639.647,-83.518,2883.589,5659.494,,,1299.88,4.2,,21441.221,16494.769,45.702,42.171,83.345,27.561
Colombia,-0.782,77422.845,280.381,81313.885,126841.324,100053.524,,42.368,13.667,,324866,7667720.921,18.773,19.441,80.21,9.809
Comoros,-0.032,26.434,,28.847,104.534,104.534,,0.593,,,118.609,200038.826,5.178,9.358,118.886,21.807
Costa Rica,-0.791,1107.685,,1386.023,3341.689,,,4.152,6.495,,16024.734,3859686.302,19.121,23.27,48.26,8.353
Côte d'Ivoire,0.241,1507.49,,1632.955,6856.42,,,17.878,,,10303.188,576295.57,13.003,11.55,114.581,21.703
Croatia,-1.685,104.972,-12.858,117.557,99.862,,,4.439,13.95,,307.638,69303.447,23.485,27.534,84.12,5.966
Cyprus,-0.788,4.859,,5.373,8.963,,0.341,0.733,4.617,-0.955,14.18,19345.157,17.618,22.23,84.86,2.49
Czech Republic,-5.084,1205.78,-70.01,1288.676,870.034,,4.691,10.195,8.321,,3293.905,323079.244,25.114,29.388,98.4,29.722
Democratic Republic of the Congo,-0.055,288.669,,359.46,5831.575,,,59.007,,,5342.306,90536.429,10.263,12.142,310.406,-21.262
Denmark,8.743,829.363,8.948,798.141,664.989,213.501,2.733,5.398,5.517,0.174,1752.1,324604.827,25.317,21.837,108.9,2.637
Djibouti,-0.009,42.156,,44.399,77.374,77.144,,0.713,,,75.414,105822.641,21.047,22.358,109.079,-4.052
Dominica,-0.059,0.292,,0.299,0.851,,,0.071,,,1,14069.454,1.564,17.593,84.979,1.875
Dominican Republic,1.034,127.577,-26.846,159.845,218.641,218.641,,8.858,6.145,,1109.932,125307.74,29.306,24.879,69.328,-2.344
Ecuador,-0.479,8.177,1.463,7.47,14.547,,,13.552,7.219,,45.407,3350.585,18.889,20.199,66.96,17.178
Egypt,3.418,124.285,0,164.339,492.482,344.645,,69.313,10.526,,1129.582,16296.826,23.319,19.194,112.818,28.202
El Salvador,-0.642,2.46,,2.892,6.225,,,6.05,6.8,,8.168,1350.033,12.139,16.202,82.62,0.697
Equatorial Guinea,0.515,773.525,,484.924,140.911,,,0.586,,,4561.428,7784232.508,39.874,30.054,134.898,30.44
Eritrea,-0.007,5.846,,8.386,13.272,,,4.699,,,16.639,3540.82,-33.757,20.263,189.251,-24.064
Estonia,-1.448,3.451,0.16,3.291,0.491,-0.801,0.602,1.366,10.14,-0.012,13.705,10031.18,22.734,34.539,67.7,17.273
Ethiopia,-0.668,17.918,,20.236,90.13,84.34,,73.197,,,224.729,3070.201,25.468,25.05,125,57.956
Fiji,-0.369,1.178,,1.322,2.28,2.195,,0.819,7.255,,5.262,6424.48,,12.827,82.389,
Finland,11.734,79.923,2.09,76.498,67.587,-70.906,2.365,5.22,8.825,1.671,174.786,33485.627,28.918,22.867,81.71,8.656
France,23.94,838.869,-60.536,898.557,1120.8,971.2,23.535,60.505,8.858,0.153,1892.812,31283.346,22.929,21.803,85.67,5.116
FYR Macedonia,-0.45,96.845,,95.795,97.096,86.096,,2.033,37.15,,294.533,144908.548,13.142,,86.599,17.191
Gabon,0.924,1141.846,,855.32,2470.864,,,1.33,,,3790.567,2849073.906,33.526,23.205,105.237,5.469
Georgia,-0.356,2.267,0.484,1.904,4.961,,,4.265,12.624,,7.818,1833.356,22.404,29.355,160.884,0.946
Germany,125.828,964.661,-62.969,1047.778,1469.117,1111.662,35.428,82.501,10.333,-1.999,2396.43,29047.337,23.578,19.121,85,11.446
Ghana,-0.685,2.294,,2.69,7.519,7.076,,20.368,,,16.629,816.418,18.219,22.955,44.189,8.629
Greece,-13.325,75.136,-15.201,92.237,183.157,,4.39,10.94,10.6,3.678,228.416,20878.244,19.775,25.307,96.615,18.552
Grenada,-0.06,0.391,-0.013,0.407,1.532,,,0.103,,,1.735,16898.332,25.077,35.146,83.89,-9.566
Guatemala,-1.165,23.462,,25.542,40.801,,,12.397,,,161.458,13023.974,15.987,20.846,69.63,8.15
Guinea,-0.092,1027.373,,1464.15,9769.279,,,9.38,,,7001.036,746409.29,18.223,20.727,258.118,-2.667
Guinea-Bissau,0.022,52.403,,68.085,618.845,,,1.391,,,296.852,213440.947,11.422,7.287,82.427,-11.245
Guyana,-0.029,68.268,-20.754,77.728,294.404,294.404,,0.742,,,255.012,343682.559,11.388,13.726,70.521,-1.23
Haiti,-0.056,14.454,,17.766,70.049,,,9.119,,,12.557,1376.995,25.754,27.343,93.056,2.682
Honduras,-0.678,37.69,,43.962,101.231,,,6.762,6,,126.247,18668.892,21.933,29.666,151,10.632
Hong Kong SAR,16.822,263.591,12.835,242.235,20,,3.277,6.798,6.81,,1494.883,219910.117,32.306,22.357,89.7,15.41
Hungary,-8.589,8883.814,-1405.787,10218.731,12296.419,,,10.117,6.3,,21521.998,2127310.27,18.153,27.082,74.908,15.625
Iceland,-1.349,410.371,-9.857,413.504,317.861,286.636,0.156,0.291,3.05,,995.561,3426234.642,14.79,24.633,133.91,8.163
India,-2.47,6126.846,-2633.063,8810.521,27003.917,,,1097.438,,,50281.954,45817.602,32.476,32.818,55.872,27.255
Indonesia,5.258,438800.21,-6413.705,445297.685,1281670.37,,,218.285,9.86,,4837157.2,22159839.05,23.999,27.358,58.307,-3.868
Iraq,-6.41,29839.493,,48683.837,182419.275,,,26.674,,,101845.262,3818213.768,4.606,,53.431,
Ireland,-1.17,53.854,-3.883,51.699,44.056,30.196,1.871,4.045,4.489,2.919,155.703,38490.804,26.63,27.233,90.167,7.691
Islamic Republic of Iran,0.903,352606.235,,297493.48,264115.599,78492.999,,68.345,10.3,,1582365.611,23152617.03,44.235,43.738,37.8,2.882
Israel,2.017,250.599,-22.786,280.952,554,503.158,2.584,6.806,12.9,,678.692,99717.584,20.961,19.472,80.97,17.565
Italy,-6.926,626.725,-67.163,678.387,1449.654,1234.41,22.363,57.496,7.983,-0.319,1614.599,28081.985,20.786,21.171,99.1,6.162
Jamaica,-0.642,171.539,,201.443,767.22,,,2.666,12.2,,728.508,273291.56,20.715,26.463,157.902,1.817
