Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.062,125.387,,164.607,306.376,306.376,,3.109,18.4,,382.142,122923.478,21.893,23.728,80.102,88.951
Algeria,0.02,972.78,,1034.32,2664.142,2664.142,,29.965,29.293,,3953.645,131942.099,28.758,28.717,95.682,3.518
Angola,-1.71,8.638,,10.873,,,,15.651,,,445.676,28476.382,0.098,28.796,1.195,1.426
Antigua and Barbuda,-0.06,0.389,,0.455,2.164,,,0.074,,,1.98,26743.891,21.042,,99.427,2.931
Argentina,-11.909,68.998,-13.366,80.73,123.366,,,36.399,16.061,,534.346,14680.408,12.253,15.757,26.158,-2.142
Armenia,-0.313,190.917,,,386.987,,,3.09,,,1172.611,379485.688,3.833,20.769,147.481,5.464
Australia,-21.775,235.466,5.961,227.301,143.917,70.394,8.67,18.919,6.858,1.332,1032.808,54590.44,20.638,26.352,69.1,4.493
Austria,-3.491,99.902,-5.611,105.185,135.123,,3.108,7.983,3.933,0.218,245.445,30747.899,24.556,26.202,90.6,6.434
Azerbaijan,-0.6,0.697,,0.889,0.959,,,8.016,,,5.288,659.72,10.315,26.496,98.499,-6.124
Bahrain,-0.022,0.66,,0.805,0.733,0.301,,0.712,,,5.36,7528.459,14.827,15.314,93.756,16.121
Bangladesh,-0.337,215.802,,255.656,,,,129.967,,,3294.467,25348.525,23.261,23.718,82.901,12.597
Barbados,-0.136,2.063,,2.003,2.094,1.774,,0.267,10.35,,0.954,3569.185,14.628,19.123,95.169,6.12
Belarus,-0.194,325.767,,297.011,,,,10.019,2.1,,68632.703,6850254.806,24.732,26.328,16.378,17.938
Belgium,20.07,120.935,-1.761,122.28,279.354,207.87,4.091,10.214,8.433,0.37,317.022,31038.78,28.65,22.713,73.647,4.486
Belize,-0.073,0.342,,0.459,,,,0.243,12.8,,1.472,6058.051,8.962,18.902,99.014,20.945
Benin,-0.18,287.22,,243.218,891.957,,,6.74,,,2044.789,303359.08,20.196,26.907,72.58,2.892
Bhutan,0.009,7.86,,7.224,6.942,,,0.549,,,18.077,32927.44,21.52,43.439,541.84,-9.308
Bolivia,-0.489,12.293,,14.141,,,,8.001,,,21.809,2725.894,10.659,18.772,73.792,0.314
Bosnia and Herzegovina,-0.502,5.785,,6.079,5.924,5.641,,3.725,31.096,,16.597,4455.474,18.579,27.297,100,21.587
Botswana,0.583,,,10.335,2.425,,,1.728,,,44.766,25903.277,36.901,25.626,92.183,29.913
Brazil,-25.869,374.326,0,430.61,,,,168.754,7.6,,768.083,4551.495,13.074,17.39,1.05E+13,7.23
Brunei Darussalam,1.545,2.536,,4.324,0,,,0.317,4.523,,15.88,50110.415,,54.966,94.033,13.962
Bulgaria,-0.398,9.092,,9.055,19.702,,,8.067,13.79,,45.495,5639.627,16.391,19.331,72.42,-22.796
Burkina Faso,-0.337,377.754,,446.325,,,,11.3,,,1854.9,164150.442,12.756,23.954,75.821,-30.181
Burundi,-0.039,85.143,,115.123,,,,6.3,,,1027.989,163172.854,3.75,20,27.205,5.611
Cabo Verde,-0.082,17.144,,24.881,47.229,45.647,,0.434,22,,71.54,164775.806,28.364,31.441,101.395,5.856
Cambodia,-0.169,1338.103,,1846.72,4646.441,,,11.96,,,12947.472,1082522.304,12.163,16.984,82.478,21.981
Cameroon,-0.509,,,,4866.896,4866.896,,15.117,,,6347.469,419876.565,19.197,15.427,166.9,8.094
Canada,0.81,437.732,12.034,421.045,896.709,527.911,14.408,30.367,7.567,0.761,1257.976,41425.672,20.874,20.754,93.767,10.833
Central African Republic,-0.018,113.042,,116.21,537.514,,,3.57,,,727.36,203769.487,10.013,11.733,92.55,-2.279
Chad,-0.169,122.337,,178.781,619.84,,,7.29,,,1764.586,242055.703,4.974,17.756,83.952,2.125
Chile,0.1,8347.509,,9123.605,5106.574,626.051,,15.197,10.008,,63061.924,4149571.648,20.956,20.85,65.478,6.406
China,21.114,1144.408,-176.252,1353.667,3371.617,,,1257.86,3.1,,13822.513,10988.912,36.46,34.527,78.249,6.647
Colombia,0.671,41456.542,,51176.496,72104.112,48993.546,,39.7,13.1,,276668.82,6968987.915,12.752,13.938,57,1.172
Comoros,-0.013,18.885,,19.669,110.861,110.861,,0.529,,,106.305,200908.985,8.606,8.888,98.222,7.404
