Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.577,117.745,,128.548,101.866,101.866,,27.708,,,334.621,12076.603,49.735,36.67,89.839,47.317
Albania,-1.929,298.487,,373.832,682.547,682.547,,2.928,13.8,,672.375,229673.94,16.588,32.575,105.79,1.003
Algeria,0.411,3676.062,,4220.957,1013.146,-3303.31,,35.268,10.167,,5779.561,163875.509,47.259,46.959,134.55,-8.443
Angola,-7.572,2069.733,,2510.197,1360.008,,,21.033,,,1295.319,61584.361,5.199,15.229,86.714,-2.64
Antigua and Barbuda,-0.169,0.609,,1.203,3.337,,,0.084,,,2.571,30692.098,24.366,,120.36,-12.17
Argentina,10.87,379.733,-8.843,407.106,671.741,,,40.134,8.675,,706.218,17596.312,19.019,16.147,61.253,-10.686
Armenia,-1.426,655.569,,897.051,1072.427,,,2.97,18.7,,2651.584,892789.226,17.338,33.822,217.133,-7.138
Australia,-45.927,420.358,-55.803,477.739,210.925,-7.521,10.803,21.866,5.567,-0.498,1407.899,64388.698,22.922,27.668,94.5,2.326
Austria,10.317,139.659,-7.895,154.877,228.166,,3.339,8.335,5.308,-2.684,289.053,34679.376,25.439,22.845,108.57,-15.008
Azerbaijan,10.178,14.674,,12.028,4.198,,,8.977,6.048,,20.268,2257.687,41.357,18.376,196.869,9.503
Bahrain,0.56,1.729,,2.211,1.843,1.843,,1.178,4,,9.266,7863.384,28.587,26.145,111.1,-12.81
Bangladesh,2.663,666.9,,893.23,2788.046,,,149.503,,,5770.085,38595.089,29.048,26.228,146.588,14.752
Barbados,-0.31,2.893,,3.475,5.754,4.072,,0.276,9.975,,1.095,3968.086,8.273,15.013,139.896,-11.864
Belarus,-6.178,62922,,63442.5,47682.359,,,9.514,0.901,,137442.2,14446310.7,26.414,38.969,154.537,-8.72
Belgium,-5.226,170.036,-14.374,188.821,346.905,212.798,4.524,10.753,7.875,-1.592,375.015,34875.096,20.589,21.664,90.49,-11.356
Belize,-0.065,0.736,,0.768,2.265,2.265,,0.323,13.054,,2.37,7341.187,12.238,17.097,127.501,-6.629
Benin,-0.59,675.817,,778.455,858.646,,,9.241,,,3070.8,332302.346,13.616,21.903,100.904,-41.678
Bhutan,-0.026,19.027,,19.31,41.002,,,0.705,4,,39.369,55842.995,29.557,48.17,657.958,-16.779
Bolivia,0.746,43.619,,43.602,48.681,28.172,,10.302,4.913,,31.294,3037.801,22.878,16.971,116.15,6.47
Bosnia and Herzegovina,-1.131,10.82,-1.503,12.145,8.69,6.625,,3.904,24.068,,25.154,6442.682,12.744,18.583,128.732,-0.78
Botswana,-0.648,29.024,-7.498,39.49,13.776,,,1.982,,,62.793,31688.298,29.926,37.296,210.927,-37.67
Brazil,-26.261,1130.602,-113.475,1236.844,2164.607,1345.325,,193.544,8.075,,1070.41,5530.577,17.223,18.796,1.99E+13,-8.69
Brunei Darussalam,4.32,6.636,,6.038,0.192,,,0.38,3.5,,18.207,47900.581,,50.503,99.904,-6.66
Bulgaria,-4.324,24.088,-0.997,24.714,10.641,-9.463,,7.564,6.878,,73.74,9749.17,20.289,28.624,133.37,-11.678
Burkina Faso,-0.395,771.524,,956.439,1126.036,,,15.1,,,3100.942,205360.383,13.205,17.918,100.565,64.002
Burundi,0.03,717.349,,829.723,561.119,,,8.172,,,1434.361,175519.499,16.89,14.165,68.609,-18.659
Cabo Verde,-0.25,36.54,,44.615,88.559,80.738,,0.486,13,,128.453,264463.172,21.905,36.534,124.541,-8.295
Cambodia,-0.719,6806.547,,8550.442,12549.163,,,14.144,,,28692.371,2028557.337,14.443,21.36,134.032,-4.96
Cameroon,-0.815,1925.928,,1931.276,1114.198,1114.198,,19.926,,,8866.811,444997.308,17.561,21.036,214.1,6.971
Canada,-40.409,621.296,-29.422,682.285,1242.659,381.715,16.732,33.581,8.358,-3.623,1542.396,45930.514,19.07,22.017,115.2,-12.993
Central African Republic,-0.179,150.267,,155.783,302.046,,,4.266,,,802.492,188102.571,4.111,13.165,136.152,-14.213
Chad,-0.85,655.001,,1057.776,1383.704,,,9.973,,,3913.343,392379.442,21.064,30.231,115.7,0.275
Chile,3.519,19975.28,-4250.853,24069.788,5619.223,-10173.906,,16.877,10.833,,92835.878,5500809.367,22.417,20.367,90.627,-4.55
China,243.257,8310.115,-636.789,8928.897,12791.052,,,1334.5,4.3,,36759.355,27545.414,50.491,45.695,95.602,-11.295
Colombia,-4.648,134879.209,-11713.601,148980.258,177490.809,131956.043,,44.979,12.017,,408379,9079325.908,20.453,22.44,102,-2.845
Comoros,-0.083,44.776,,43.627,101.456,101.456,,0.67,,,129.301,193129.301,6.229,12.401,145.402,0.072
Costa Rica,-0.576,2363.266,,2969.514,4587.315,,,4.469,7.822,,20258.747,4532830.56,14.546,16.457,79.11,-7.16
Côte d'Ivoire,1.618,2120.8,,2279.493,7364.42,,,20.327,,,11463.5,563967.521,18.259,11.613,130.297,16.89
Croatia,-3.202,137.518,-17.93,156.621,158.941,,,4.429,8.925,,333.719,75348.611,19.93,25.039,98.63,-14.116
Cyprus,-1.994,6.843,,7.857,9.865,,0.383,0.819,5.408,-0.848,16.407,20030.277,15.164,22.911,94.13,-4.306
Czech Republic,-4.868,1494.421,-220.776,1710.66,1335.679,,4.934,10.426,6.662,,3864.947,370710.478,24.15,26.515,112.9,-9.832
Democratic Republic of the Congo,-1.123,2240.529,,2055.554,13781.295,,,68.406,,,6933.087,101352.653,7.806,14.799,957.704,-1.209
Denmark,10.617,925.448,-1.456,973.636,691.988,-101.294,2.773,5.511,5.992,-3.048,1769.9,321131.404,22.212,18.892,120.6,-9.492
Djibouti,-0.098,68.953,,78.562,107.395,103.27,,0.818,,,92.035,112489.872,30.437,40.094,140.974,6.565
Dominica,-0.111,0.472,,0.476,0.829,,,0.071,,,1.186,16747.413,-3.331,19.381,99.132,0.877
Dominican Republic,-2.332,229.702,-42.557,282.076,393.095,393.095,,9.38,5.31,,1515.048,161516.394,19.106,23.949,94.128,-5.036
Ecuador,0.309,18.378,-2.053,20.61,11.078,,,14.738,6.471,,54.558,3701.722,26.133,25.639,83.32,-4.788
Egypt,-4.424,288.544,-75.346,360.417,761.067,612.256,,76.925,9.367,,1514.471,19687.631,19.664,21.668,181.384,-5.735
El Salvador,-0.312,3.275,,4.422,9.961,,,6.18,8.104,,8.954,1448.835,11.923,13.434,100,-11.431
Equatorial Guinea,-2.36,2368.087,,2827.522,306.53,,,0.677,,,5631.844,8320654.788,24.426,69.318,165.958,-14.19
Eritrea,-0.141,4.542,,8.745,41.279,,,5.527,,,15.89,2874.685,-9.651,9.264,438.141,34.761
Estonia,0.501,5.986,0.189,6.258,0.996,-1.338,0.594,1.336,13.549,-11.285,14.365,10754.112,23.132,20.711,85.41,-20.353
Ethiopia,-2.191,54.627,,57.774,121.608,108.095,,81.606,,,386.215,4732.675,15.41,24.677,293.98,4.359
Fiji,-0.119,1.38,,1.645,3.133,2.935,,0.852,8.7,,5.425,6363.994,,14.578,105.683,
Finland,4.825,94.59,-0.153,99.172,75.482,-107.976,2.457,5.326,8.242,-4.322,181.664,34106.889,23.054,21.191,89.65,-20.089
France,-22.466,961.731,-110.768,1100.609,1527.2,1358.5,24.563,62.466,9.108,-2.688,1959.955,31376.495,20.473,21.305,93.06,-11.267
FYR Macedonia,-0.637,128.261,,139.156,98.551,87.286,,2.053,32.175,,362.873,176776.495,18.988,,98.296,-13.891
Gabon,0.537,1685.163,,1296.716,1324.946,,,1.551,,,3899.623,2513868.39,33.513,29.091,112.334,-3.172
Georgia,-1.134,5.264,-1.365,6.441,7.374,,,3.997,16.85,,10.415,2605.736,2.603,13.138,224.153,8.06
Germany,196.71,1089.261,-21.913,1163.781,1783.669,1334.872,37.436,81.802,7.675,-4.032,2471.47,30212.736,23.808,18.068,92.6,-14.269
Ghana,-1.397,6.017,,8.582,13.207,11.914,,23.108,,,22.336,966.598,18.436,20.671,82.064,-0.103
Greece,-40.912,92.422,-41.16,128.412,299.685,,4.556,11.095,9.6,7.394,239.133,21553.68,5.972,18.338,112.32,-18.52
Grenada,-0.187,0.474,-0.1,0.583,1.897,,,0.104,,,1.887,18095.928,-0.367,23.925,99.89,-6.74
Guatemala,0.273,34.037,,43.709,70.579,,,14.027,,,193.91,13824.025,13.776,13.053,94.88,-2.04
Guinea,-0.382,3662.49,,5240.25,19769.983,,,10.593,,,7870.006,742926.621,2.037,10.276,643.402,-1.144
Guinea-Bissau,-0.044,97.487,,81.391,620.668,,,1.551,,,348.474,224690.958,0.812,6.042,93.643,29.972
