Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.01,,,,,,,2.817,4.224,,341.131,121089.916,38.467,38.467,,0
Algeria,-0.209,,,,,,,19.246,15.385,,2674.259,138951.43,28.024,28.024,7.009,
Angola,-0.183,,,,,,,8.615,,,323.488,37550.337,16.9,16.9,,8
Antigua and Barbuda,-0.038,,,,,,,0.068,,,0.872,12841.831,9.181,9.181,63.183,
Argentina,-5.721,,,,,,,28.45,5,,372.053,13077.423,17.01,17.01,,5.204
Armenia,,,,,,,,,,,,,,,,
Australia,-7.643,,,,,,6.416,15.039,5.783,0.763,574.48,38198.871,20.893,20.893,,-3.403
Austria,-3.042,,-0.696,,,,2.799,7.556,2.2,-0.206,160.027,21179.949,24.653,24.653,58.108,5.063
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,0.43,,,,,,,0.367,,,2.849,7769.611,36.999,36.999,74.727,
Bangladesh,-0.688,22.5,,45.35,,,,84.764,,,1545.81,18236.601,18.395,18.395,22.474,26.904
Barbados,-0.126,,,,,,,0.25,10.76,,0.791,3165.881,12.111,12.111,51.332,-8.194
Belarus,,,,,,,,,,,,,,,,
Belgium,-4.186,44.977,-14.426,59.965,84.013,,3.742,9.863,10,-0.175,215.149,21812.971,17.325,17.325,44.223,3.578
Belize,-0.005,,,,,,,0.15,,,0.463,3079.823,25.389,25.389,,0
Benin,-0.264,,,,,,,3.78,,,1197.967,316945.545,17.954,17.954,33.391,5.198
Bhutan,0.005,0.575,,0.625,,,,0.424,,,5.23,12336.043,7.047,7.047,104.858,-31.697
Bolivia,-0.279,,,,,,,5.409,,,15.303,2829.452,1.805,1.805,,1.293
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,-0.304,,,0.336,,,,0.998,,,11.721,11740.5,24.173,24.173,15.903,29.56
Brazil,-11.735,,,,,,,121.213,8.1,,510.545,4211.97,18.172,18.172,195.655,13.683
Brunei Darussalam,2.711,8.455,,1.378,0,,,,,,,,,,,
Bulgaria,0.122,,,,,,,8.891,,,60.341,6786.471,39.123,39.123,,6.488
Burkina Faso,-0.036,,,,,,,7.468,,,859.375,115078.469,13.367,13.367,38.16,-3.086
Burundi,-0.067,,,,,,,4.21,,,858.749,203970.098,9.852,9.852,3.894,48.945
Cabo Verde,-0.024,,,,,,,0.294,21.861,,25.93,88287.41,-93.872,-93.872,25.945,34.9
Cambodia,,,,,,,,,,,,,,,,
Cameroon,-0.482,,,,,,,9.079,,,4880.445,537532.012,20.29,20.29,51.15,2.73
Canada,-12.534,143.437,-46.316,154.091,170.923,48.973,11.304,24.785,7.617,0.781,796.902,32153.161,21.285,21.285,51.533,1.776
Central African Republic,-0.004,,,,,,,2.348,,,513.801,218805.208,5.182,5.182,49.285,7.075
Chad,0.023,,,,,,,4.522,,,772.487,170828.711,3.855,3.855,32.73,-5.104
Chile,-4.733,,,,,,,11.36,10.291,,28305.871,2491763.772,7.961,7.961,5.269,-9.001
China,,,,,,,,1000.72,3.8,,2403.717,2401.988,32.058,32.058,,
Colombia,-1.722,1,,,,,,29.08,6.561,,159279.82,5477263.951,14.368,14.368,1.63,-3.171
Comoros,-0.008,,,,,,,0.362,,,78.253,216253.119,26.733,26.733,,21.801
Costa Rica,-0.42,,,,,,,2.372,8.766,,6440.839,2715310.764,12.689,12.689,1.27,3.051
Côte d'Ivoire,-1.411,,,,,,,8.175,,,6912.121,845501.902,17.147,17.147,37.164,4.3
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.172,,,,,,0.239,0.524,,-0.779,4.432,8462.21,29.602,29.602,37.027,-1.636
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.527,,,,,,,29.659,,,8451.52,284955.64,5.053,5.053,,
Denmark,-1.875,216.117,,246.168,,,2.456,5.124,7.133,-2.713,1042.1,203376.705,16.247,16.247,55.6,8.662
Djibouti,,,,,,,,,,,,,,,,
Dominica,-0.023,,,,,,,0.074,,,0.527,7148.148,-1.119,-1.119,48.446,75.36
Dominican Republic,-0.637,,,,,,,5.781,,,488.899,84567.302,10.443,10.443,1.622,7.167
Ecuador,-1.002,,,,,,,8.261,,,25.493,3086.114,14.744,14.744,0.062,6.362
Egypt,-1.116,,,,,,,41.706,,,395.744,9488.889,13.379,13.379,9.389,-10.178
El Salvador,-0.122,,,,,,,4.847,,,4.469,922.129,10.681,10.681,6.793,-19.841
Equatorial Guinea,,2.583,,16.678,17.814,,,0.235,,,45.787,194537.872,-66.028,-66.028,10.703,58.137
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.25,1.826,,2.16,,,,35.148,,,113.258,3222.355,6.009,6.009,37.293,-10.151
Fiji,-0.181,,,,,,,0.649,,,2.922,4501.899,,,,
Finland,-0.478,18.788,0.278,16.968,4.398,-19.837,2.343,4.788,5.743,-1.007,96.26,20105.36,26.244,26.244,38.782,5.804
France,-4.773,236.61,-7.547,248.791,110.1,,22.558,54.029,7.438,-1.342,1138.754,21076.862,22.673,22.673,42.792,4.803
FYR Macedonia,,,,,,,,,,,,,,,,
Gabon,0.641,,,,,,,0.765,,,2491.472,3258499.404,48.905,48.905,,-15.819
Georgia,,,,,,,,,,,,,,,,
Germany,-7.852,,,,,,34.491,77.278,4.831,0.847,1549.528,20051.412,20.231,20.231,,7.212
Ghana,-0.508,,,0.001,,,,10.542,,,6.442,611.042,1.584,1.584,0.153,-60.4
Greece,-2.392,1.983,,2.651,2.142,,3.825,9.701,4,0.753,137.205,14143.682,19.171,19.171,8.319,8.404
Grenada,-0.013,,,,,,,0.091,,,0.721,7963.54,20.954,20.954,41.356,-10.865
Guatemala,-0.573,,,,,,,7.112,,,92.423,12995.38,10.956,10.956,5.277,-11.402
Guinea,-0.073,,,,,,,,,,3164.316,,6.433,6.433,,
Guinea-Bissau,-0.039,,,,,,,0.847,,,181.895,214839.079,9.746,9.746,0.082,1.7
Guyana,-0.238,,,,,,,0.764,,,212.199,277738.911,-9.337,-9.337,1.304,-3.973
Haiti,-0.105,,,,,,,6.042,,,13.286,2198.949,16.434,16.434,4.548,19.183
Honduras,-0.303,,,,,,,3.751,7.018,,61.396,16368.659,7.551,7.551,10.581,-13.006
Hong Kong SAR,-0.774,,,,,,2.393,5.217,3.9,,504.998,96807.007,32.835,32.835,30.4,13.849
Hungary,-1.369,,,,,,,10.706,0.232,,16075.418,1501561.906,27.761,27.761,,5.349
Iceland,-0.145,9.289,0.24,8.979,,,0.111,0.229,0.365,,529.909,2310713.827,24.412,24.412,7.986,3.164
India,-3.166,,,,,,,699.938,,,14242.646,20348.453,17.329,17.329,10.112,9.051
Indonesia,-0.6,12829.6,,,,,,150.406,,,1550458.931,10308512.75,22.214,22.214,5.791,-24.8
Iraq,,,,,,,,,,,,,,,,
Ireland,-2.58,5.988,,7.759,,,,3.443,,5.027,49.068,14249.982,13.441,13.441,,1.705
Islamic Republic of Iran,-4.328,,,,,,,39.246,,,696715.113,17752379.23,40.076,40.076,,-10.111
