Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,0.142,65.518,,63.294,79.605,79.605,,25.631,,,235.731,9197.003,31.539,29.492,72.237,10.202
Albania,-0.544,226.283,,254.762,494.737,494.737,,2.993,13.8,,571.229,190883.959,30.139,36.181,97.034,12.579
Algeria,28.95,3639.933,,2454.387,2017.864,-913.196,,33.351,12.512,,5374.35,161145.086,54.575,29.837,115.77,-3.007
Angola,10.69,1685.031,,1288.353,627.932,,,19.248,,,906.46,47092.727,40.942,15.361,60.139,14.255
Antigua and Barbuda,-0.292,0.683,,0.952,2.785,,,0.081,,,2.647,32631.223,11.198,,110.89,7.061
Argentina,7.589,192.686,8.789,180.452,419.679,,,38.971,10.175,,634.283,16275.932,23.774,20.889,48.897,4.512
Armenia,-0.153,479.444,,531.25,429.848,,,3,27.8,,2538.896,846298.8,31.155,33.55,181.106,4.013
Australia,-45.322,377.594,17.078,359.172,103.336,-65.566,10.122,20.628,4.775,-0.153,1290.217,62548.252,21.563,27.3,86.7,3.18
Austria,11.055,127.165,-7.867,133.824,178.658,,3.281,8.254,5.225,0.965,285.548,34593.884,26.684,23.67,102.33,7.459
Azerbaijan,3.708,5.311,,5.037,1.92,,,8.707,6.829,,13.389,1537.662,47.491,29.859,141.761,39.422
Bahrain,2.188,1.841,,1.678,1.409,1.409,,0.96,,,7.854,8178.036,42.209,30.387,100.066,7.284
Bangladesh,0.764,461.046,,585.13,2041.466,,,144.869,,,4874.747,33649.414,27.864,26.162,114.379,14.355
Barbados,-0.352,2.866,,2.894,4.227,2.567,,0.274,8.725,,1.117,4075.182,10.604,18.778,119.371,9.917
Belarus,-1.448,38896.299,,37939.969,8793.7,,,9.63,1.416,,114491.28,11889021.82,29.571,33.49,110.526,8.131
Belgium,7.545,158.934,-2.208,157.973,297.05,198.943,4.378,10.511,8.208,0.602,368.421,35049.692,25.724,23.884,85.17,4.994
Belize,-0.025,0.635,,0.73,2.24,2.24,,0.301,9.4,,2.255,7483.464,15.344,17.429,117.814,16.175
Benin,-0.233,472.553,,477.938,307.438,,,8.444,,,2699.3,319681.486,14.442,18.965,93.267,-26.365
Bhutan,-0.038,13.328,,13.771,31.661,,,0.666,3.2,,29.868,44847.417,43.703,44.582,550.258,35.333
Bolivia,1.293,31.473,,27.372,50.673,38.43,,9.627,7.992,,27.279,2833.561,26.56,13.865,92.7,-9.949
Bosnia and Herzegovina,-0.984,9.289,0.437,8.871,4.128,2.558,,3.92,31.096,,22.662,5781.634,12.621,20.516,118.196,18.561
Botswana,1.957,27.657,4.713,19.737,3.807,,,1.901,,,59.107,31094.032,45.155,25.905,162.103,3.133
Brazil,13.03,858.662,-80.866,944.672,1586.507,1120.053,,187.335,9.983,,961.434,5132.164,18.993,17.817,1.72E+13,3.933
Brunei Darussalam,5.752,9.644,,5.613,0.12,,,0.383,4,,18.896,49336.905,,25.427,95.693,4.422
Bulgaria,-5.253,19.15,1.006,17.423,12.12,-5.409,,7.679,9.022,,67.679,8813.165,16.853,32.149,109.72,7.735
Burkina Faso,-0.554,1239.049,,748.349,687.147,,,13.8,,,2734.3,198137.681,7.597,17.112,89.788,35.708
Burundi,-0.273,347.777,,360.97,1706.208,,,7.641,,,1273.656,166693.68,-4.247,15.308,45.493,-10.504
Cabo Verde,-0.06,30.743,,36.252,84.507,80.539,,0.482,13.4,,111.679,231727.778,29.242,34.078,113.355,33.542
Cambodia,-0.047,3814.764,,3866.216,9806.016,,,13.555,,,24379.725,1798570.862,21.871,22.517,99.249,18.772
Cameroon,0.28,4448.106,,1365.968,1489.116,1489.116,,18.341,,,8188.2,446434.462,15.86,14.298,194.7,11.204
Canada,17.969,605.951,10.507,578.599,1046.423,380.858,16.402,32.529,6.292,2.147,1541.73,47396.092,25.03,23.664,109.5,0.866
Central African Republic,-0.044,176.495,,107.487,522.807,,,4.032,,,739.072,183296.95,7.211,10.234,120.531,3.994
Chad,0.341,628.676,,542.28,1018.468,,,9.261,,,3528.63,381009.784,26.785,22.193,99.113,-9.083
Chile,7.116,21437.795,658.249,15312.072,4097.148,-5438.349,,16.332,7.95,,86400.966,5290231.531,25.269,20.678,79.658,5.267
China,231.843,3776.02,-145.3,4027.173,7014.652,,,1314.48,4.1,,26894.816,20460.423,48.473,40.048,87.049,26.006
Colombia,-2.911,104744.622,-5074.653,108552.222,137259.815,97076.421,,43.406,12.042,,362938,8361470.764,20.614,22.403,87.87,8.598
Comoros,-0.044,29.534,,33.599,103.804,103.804,,0.613,,,125.161,204279.824,4.084,9.627,129.647,6.52
Costa Rica,-1.023,1638.353,,1804.388,3836.673,,,4.279,5.962,,18457.741,4313910.982,22.142,26.567,60.25,9.963
Côte d'Ivoire,0.479,1727.533,,1867.714,7394.259,,,18.82,,,10639.4,565322.225,13.28,10.591,119.873,6.012
Croatia,-3.283,123.211,-12.125,132.725,112.703,,,4.44,11.6,,335.78,75626.126,23.306,29.807,89.01,5.606
Cyprus,-1.284,6.126,,6.293,9.445,,0.357,0.758,4.517,-0.268,15.397,20314.949,18.372,24.707,87.36,1.268
Czech Republic,-3.358,1351.743,-137.017,1430.822,978.87,,4.828,10.224,7.148,,3747.206,366525.923,27.938,30.102,102.3,14.296
Democratic Republic of the Congo,0.048,789.008,,664.658,6982.777,,,62.601,,,5971.77,95394.468,12.492,14.743,444.931,-24.39
Denmark,8.923,922.162,21.959,838.266,530.743,18.835,2.807,5.427,3.9,3.874,1862.9,343236.126,27.647,24.494,113.3,9.795
Djibouti,-0.089,47.742,,51.083,79.767,78.578,,0.753,,,81.512,108233.766,25.387,36.924,116.765,4.828
Dominica,-0.05,0.357,,0.325,0.848,,,0.071,,,1.054,14842.556,6.403,19.178,88.842,8.808
