Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.248,,,,,,,3.168,12.3,,346.403,109343.313,15.43,14.12,52.413,
Algeria,1.248,825.157,,724.609,2522.4,2522.4,,28.566,27.986,,3605.574,126219.06,29.131,26.473,84.067,5.749
Angola,3.266,0.4,,0.339,,,,14.323,,,388.366,27115.568,30.248,34.697,0.048,10.698
Antigua and Barbuda,-0.059,0.329,,0.359,1.569,,,0.068,,,1.7,24863.4,15.903,,95.037,2.953
Argentina,-6.754,60.48,-20.269,69.032,99.046,,,35.196,18.76,,492.609,13996.346,15.585,17.657,26.378,6.395
Armenia,-0.291,101.889,,,269.654,,,3.17,,,1034.468,326330.641,2.894,21.095,120.141,20.784
Australia,-14.413,174.048,-4.433,178.864,159.168,115.645,8.297,18.33,8.5,-0.326,907.13,49488.603,21.47,25.025,67.1,10.206
Austria,-6.704,92.72,-8.484,100.657,123.776,,3.047,7.953,4.333,-0.062,223.858,28147.251,23.622,26.481,87.81,4.638
Azerbaijan,-0.823,0.481,,0.556,0.457,,,7.763,,,4.113,529.809,2.142,28.036,106.677,-6.26
Bahrain,0.26,0.634,,0.627,0.363,-0.073,,0.574,,,4.714,8214.662,25.574,21.883,93.595,5.898
Bangladesh,-0.996,176.937,,222.776,,,,122.401,,,2825.153,23081.147,21.403,21.295,67.369,12.467
Barbados,0.089,1.525,,1.599,2.103,1.905,,0.265,15.75,,0.876,3308.768,15.52,11.87,88.119,11.449
Belarus,-0.516,,,1.058,,,,10.142,4.022,,54973.251,5420356.078,17.481,21.039,1.015,25.418
Belgium,13.836,105.239,-6.696,113.729,276.349,,3.94,10.143,9.55,-1.714,289.445,28536.336,25.053,21.671,71.043,3.717
