Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.246,130.642,,169.596,323.752,323.752,,3.089,16.8,,407.457,131904.784,27.409,34.175,83.469,16.254
Algeria,9.142,1578.159,,1178.122,2590.105,2590.105,,30.506,29.496,,4103.883,134527.093,41.713,25.014,95.969,3.325
Angola,0.796,48.051,,45.484,95.83,,,16.12,,,459.289,28491.484,23.71,15.053,4.401,1.624
Antigua and Barbuda,-0.067,0.404,,0.693,2.346,,,0.076,,,2.048,27085.346,22.04,,99.857,-0.185
Argentina,-8.955,69.96,-12.39,80.221,129.75,,,36.784,17.134,,530.13,14412.031,13.026,15.654,25.966,1.866
Armenia,-0.302,170.113,,,405.952,,,3.08,,,1241.239,402999.792,2.451,18.232,148.049,10.77
Australia,-15.601,250.661,9.005,237.968,134.017,48.955,8.899,19.141,6.275,0.749,1065.699,55676.14,21.541,24.97,73.1,11.2
Austria,-1.339,102.913,-7.326,107.28,140.42,,3.134,8.002,3.883,1.164,253.713,31705.356,25.262,26.009,92.26,13.525
Azerbaijan,-0.187,1.092,,0.983,1.077,,,8.139,,,5.618,690.227,16.416,20.674,100.668,4.156
Bahrain,0.846,1.047,,0.787,0.877,0.431,,0.638,,,5.736,8997.065,25.723,16.576,92.864,19.083
Bangladesh,-0.678,233.515,,313.789,,,,132.383,,,3478.943,26279.324,23.297,24.151,84.189,7.623
Barbados,-0.112,1.951,,2.147,2.488,2.007,,0.269,9.75,,0.997,3704.571,14.166,17.747,100,9.821
Belarus,-0.338,1017.96,,961.662,,,,9.99,2.115,,72562.711,7263534.64,23.84,27.088,33.984,10.6
Belgium,9.393,126.478,-2.118,126.664,280.865,206.4,4.173,10.239,6.933,1.672,328.542,32087.037,26.016,23.782,75.83,11.807
Belize,-0.162,0.375,,0.527,,,,0.25,11.4,,1.664,6661.909,13.08,32.498,100,6.244
Benin,-0.124,298.722,,391.025,989.769,,,6.949,,,2144.2,308546.132,18.748,23.568,79.723,37.706
Bhutan,-0.04,8.342,,8.624,8.684,,,0.564,,,19.248,34127.766,25.385,51.63,502.166,5.299
Bolivia,-0.446,13.287,,15.223,34.736,30.602,,8.275,7.462,,22.356,2701.728,11.018,18.143,76.31,4.908
Bosnia and Herzegovina,-0.397,6.092,-0.865,6.638,4.09,3.801,,3.781,31.096,,17.334,4584.451,20.315,27.461,107,14.217
Botswana,0.545,14.119,0.776,11.536,2.426,,,1.758,,,45.655,25971.074,38.972,29.551,100,0.855
Brazil,-24.794,373.664,-41.926,413.47,786.135,563.164,,173.448,7.1,,801.771,4622.544,15.12,18.903,1.11E+13,13.306
Brunei Darussalam,2.998,5.084,,4.298,0,,,0.325,4.72,,16.333,50286.396,,33.399,95.138,11.889
Bulgaria,-0.412,10.273,0.255,10.443,20.627,6.21,,8.15,18.134,,47.775,5862.273,16.07,19.198,80.58,-12.369
Burkina Faso,-0.346,354.156,,417.988,,,,11.6,,,1889.9,162922.414,3.456,16.613,77.647,-27.803
Burundi,-0.061,114.231,,123.506,855.743,,,6.426,,,1046.301,162823.044,12.981,15.058,31.039,5.329
Cabo Verde,-0.059,17.142,,29.726,58.288,56.831,,0.442,20,,76.739,173450.897,21.58,27.862,100.349,16.731
Cambodia,-0.096,1440.556,,2118.698,4961.955,,,12.223,,,14082.638,1152154.697,14.902,17.529,82.76,24.968
Cameroon,-0.333,1209.65,,1093.742,5694.487,5694.487,,15.541,,,6612.385,425486.822,13.827,17.625,169.4,-2.231
Canada,18.588,477.793,12.768,448.596,889.686,483.846,14.766,30.647,6.833,2.636,1323.173,43174.07,23.183,20.679,96.7,9.055
Central African Republic,-0.013,93.36,,105.732,583.239,,,3.638,,,715.214,196578.315,8.92,10.349,100,12.778
Chad,-0.214,135.43,,203.2,737.382,,,7.478,,,1749.063,233894.537,8.56,22.154,94.905,5.394
Chile,-0.898,9377.651,,9670.135,5549.436,1296.414,,15.398,9.708,,65880.423,4278565.202,20.766,21.941,68.46,5.142
China,20.432,1339.523,-225.639,1623.55,3697.353,,,1267.43,3.1,,14983.604,11822.037,35.626,33.936,79.422,29.755
Colombia,0.854,48982.811,-7615.338,55106.927,92214.273,66494.244,,40.296,13.325,,284761,7066731.189,15.751,14.896,61.99,-0.484
