Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.295,60.956,,100.391,242.298,242.298,,3.148,14.9,,308.861,98104.503,10.575,16.948,74.466,-19.051
Algeria,3.45,926.668,,845.196,1942.11,1942.11,,29.045,27.961,,3645.235,125503.012,29.601,22.44,88.859,11.257
Angola,-0.884,0.747,,0.754,,,,14.752,,,416.617,28240.805,13.96,25.468,0.119,6.02
Antigua and Barbuda,-0.047,0.332,,0.332,1.599,,,0.07,,,1.803,25644.268,18.972,,93.969,4.659
Argentina,-12.118,67.937,-8.281,73.939,103.718,,,35.604,16.808,,532.565,14957.861,15.033,18.488,26.464,15.134
Armenia,-0.317,126.688,,,374.042,,,3.14,,,1069.509,340607.965,3.95,23.266,146.423,-5.334
Australia,-12.091,185.241,0.7,184.883,148.468,104.179,8.363,18.51,8.358,-0.052,946.2,51118.303,21.71,24.422,66.9,11.941
Austria,-5.099,93.263,-4.718,97.762,119.001,,3.056,7.965,4.367,-0.825,228.794,28724.922,23.898,26.323,88.69,11.028
Azerbaijan,-0.916,0.605,,0.656,0.394,,,7.838,,,4.478,571.357,11.124,34.235,107.092,29.626
Bahrain,-0.031,0.706,,0.889,0.423,-0.021,,0.589,,,4.824,8188.825,23.543,23.968,95.5,-1.51
Bangladesh,-0.666,196.136,,244.024,,,,124.945,,,2975.006,23810.461,22.23,22.218,71.382,24.671
Barbados,-0.035,1.65,,1.803,2.088,1.835,,0.266,14.55,,0.917,3446.073,13.725,15.107,94.904,9.08
Belarus,-0.859,,,2.047,,,,10.093,2.787,,61226.992,6066282.794,19.039,25.134,1.655,46.34
Belgium,13.842,110.977,-4.299,115.779,278.407,,3.967,10.17,9.217,-0.472,300.185,29516.07,25.996,22.295,71.671,9.994
Belize,-0.032,0.316,,0.352,,,,0.23,12.7,,1.305,5673.037,10.825,14.295,100.916,15.985
Benin,-0.159,238.165,,229.693,,,,6.361,,,1867.148,293516.688,12.877,19.889,70.51,38.688
Bhutan,0.018,4.657,,4.958,4.253,,,0.521,,,16.023,30754.81,22.899,33.28,460.047,-1.682
Bolivia,-0.553,10.41,,11.777,,,,7.827,,,20.677,2641.77,12.646,19.632,68.538,-2.11
Bosnia and Herzegovina,,,,,,,,3.756,35.303,,13.167,3505.566,,,97.51,
Botswana,0.721,,,7.252,,,,1.661,,,40.527,24405.885,38.335,24.052,79.941,23.85
Brazil,-30.852,314.161,0,367.515,,,,163.78,5.684,,761.919,4652.088,14.272,17.764,9.45E+12,12.394
Brunei Darussalam,1.212,2.843,,4.076,0,,,0.302,1.745,,15.496,51363.507,,91.249,94.441,-5.068
Bulgaria,1.534,,,29.8,,,,8.162,14.023,,43.601,5341.747,22.365,12.27,66.63,12.788
Burkina Faso,-0.223,279.307,,321.771,,,,10.7,,,1610.481,150512.223,16.092,25.186,74.6,-11.556
Burundi,0.006,57,,74.865,,,,6.19,,,970.063,156714.61,5.961,18.595,22.754,64.512
Cabo Verde,-0.03,13.967,,19.746,45.018,42.415,,0.418,25,,58.992,141277.663,22.768,35.383,95.062,0
Cambodia,0.045,881.96,,1259.754,3203.51,,,11.396,,,11017.686,966806.443,16.328,15.02,76.243,163.229
Cameroon,-0.582,,,,,,,14.305,,,5815.017,406497.853,18.199,15.13,158.3,14.277
Canada,-8.985,394.531,9.125,394.18,864.051,573.775,13.705,29.868,9.092,-1.64,1151.514,38553.997,19.909,21.286,90.567,8.598
Central African Republic,-0.025,72.99,,81.851,544.173,,,3.425,,,675.956,197374.848,4.796,7.318,99.592,27.118
Chad,-0.195,124.766,,158.902,,,,6.932,,,1661.236,239647.466,8.512,17.182,78.522,11.595
Chile,-3.66,8161.642,,7428.632,4593.961,-154.996,,14.796,6.108,,61503.081,4156715.7,22.984,27.543,61.144,11.2
China,36.963,865.114,-68.427,923.356,1632.461,,,1236.26,3.1,,11916.699,9639.315,39.75,35.908,79.837,
Colombia,-5.751,33373.688,,38066.131,43042.921,,,38.6,7.9,,287174.183,7439745.674,14.506,22.453,44.72,5.596
Comoros,-0.025,21.011,,23.076,112.701,112.701,,0.507,,,103.109,203259.461,-2.395,10.894,95.448,4.517
Costa Rica,-0.46,377.5,,465.482,896.651,,,3.657,5.7,,11629.276,3180422.821,14.729,18.22,23.39,8.256
Côte d'Ivoire,-0.155,1364.038,,1434.89,7961.374,,,14.938,,,10036.504,671873.719,17.95,19.257,93.556,4.439
Croatia,-2.487,59.115,,61.982,,,,4.572,9.906,,242.91,53130.03,15.228,29.098,66.53,7.6
Cyprus,-0.418,2.46,,2.864,4.478,,0.299,0.675,3.4,-1.391,10.603,15703.495,20.799,25.202,70.06,3.517
Czech Republic,-3.566,741.471,-67.309,809.704,237.199,,4.937,10.309,4.775,,2742.438,266020.133,26.583,32.371,79.6,7.62
Democratic Republic of the Congo,-0.2,0.504,,0.869,,,,48.924,,,5537.209,113180.593,50.836,51.531,1.2,-26.086
Denmark,2.279,627.016,-13.651,640.772,736.712,417.371,2.673,5.275,5.242,0.772,1537.6,291481.466,23.375,22.062,94.4,4.488
Djibouti,-0.007,27.778,,31.649,,,,0.587,,,65.209,111016.006,8.21,9.572,97.371,-0.428
Dominica,-0.04,0.219,,0.238,0.403,,,0.071,,,0.882,12381.181,11.665,21.79,78.702,6.056
Dominican Republic,-0.163,34.89,-2.856,38.097,38.824,38.824,,8.023,7.187,,845.841,105428.095,27.229,28.008,26.488,17.956
Ecuador,-0.592,4.95,,5.669,,,,11.987,7.828,,37.936,3164.887,15.543,18.014,10.508,6.986
Egypt,0.119,,,,,,,59.4,8.671,,818.613,13781.371,16.512,18.845,84.761,5.883
El Salvador,-0.098,1.566,,1.66,2.841,,,5.86,8,,6.869,1172.184,14.215,15.115,68.19,27.381
Equatorial Guinea,-0.144,55.114,,45.256,141.915,,,0.471,,,481.253,1021144.732,45.817,73.121,88.564,151.13
Eritrea,0.005,2.255,,2.489,,,,3.583,,,15.794,4407.614,-19.784,30.475,65.373,
Estonia,-0.563,1.752,,1.623,0.276,-0.014,0.62,1.406,9.634,4.865,9.324,6631.785,21.402,34.506,52.428,12.281
Ethiopia,-0.04,9.032,,10.017,45.895,41.023,,58.544,,,168.227,2873.503,10.034,13.393,95.21,20.669
Fiji,-0.06,0.801,,1.003,1.773,1.695,,0.793,4.183,,4.325,5453.75,,12.97,66.022,
