Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.096,,,,,,,3.306,8.457,,363.933,110066.372,39.589,48.376,4.043,0
Algeria,1.35,160.2,,142.54,,0,,25.022,19.757,,3434.663,137265.745,26.278,24.097,21.17,3.4
Angola,-0.236,,,,,,,11.995,,,406.006,33848.038,6.181,6.17,,14.6
Antigua and Barbuda,-0.031,0.236,,0.234,1.217,,,0.06,,,1.451,24080.111,19.823,,88.242,
Argentina,4.665,,,,,,,32.53,7.6,,350.575,10776.989,14.448,12.105,10.262,16.833
Armenia,,,,,,,,,,,,,,,,
Australia,-15.657,125.491,-1.145,124.312,68.077,39.685,7.856,17.17,6.95,0.807,763.25,44453.134,23.398,26.428,59,7.529
Austria,1.166,59.916,-4.511,63.478,76.92,,2.929,7.645,2.723,2.773,195.866,25620.878,25.789,26.835,75.46,8.572
Azerbaijan,,,,,,,,,,,,,,,,
Bahrain,0.07,0.498,,0.63,0.141,-0.371,,0.488,,,3.681,7546.717,16.83,15.424,83.169,
Bangladesh,-0.945,123.311,,125.413,,,,107.386,,,2156.539,20082.155,19.278,17.508,52.311,7.845
Barbados,-0.038,,,,,,,0.25,14.945,,0.886,3543.47,14.152,15.201,75.749,4.042
Belarus,,,,,,,,,,,,,,,,
Belgium,3.637,78.437,-13.69,89.938,215.396,,3.885,9.948,6.558,2.002,263.26,26464.149,23.521,25.319,62.603,4.579
Belize,0.015,,,,,,,0.189,15,,0.928,4911.388,46.121,53.397,83.738,0
Benin,-0.04,79.397,,96.706,,,,5.001,,,1377.62,275454.063,13.483,15.518,37.645,18.747
Bhutan,-0.028,1.469,,1.859,,,,0.536,,,11.804,22022.018,29.107,34.519,230.755,-10.865
Bolivia,-0.196,2.838,,3.517,,,,6.514,,,15.443,2370.832,8.512,12.532,34.935,11.068
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,-0.019,,,2.83,,,,1.382,,,30.27,21896.825,46.369,39.082,37.619,17.419
Brazil,-3.785,,,,,,,146.593,4.28,,622.815,4248.598,18.94,20.447,366224414.2,-12.285
Brunei Darussalam,2.355,2.706,,2.852,0,,,0.253,,,13.089,51653.022,,,,1.278
Bulgaria,-1.71,,,,,,,8.718,2.9,,70.414,8076.617,32.646,34.427,0.007,-16.368
Burkina Faso,-0.131,103.385,,134.061,,,,8.81,,,1126.325,127846.218,14.027,18.247,49.114,80.386
Burundi,-0.069,57.588,,39.244,,,,5.46,,,1183.639,216783.616,-4.677,31.877,7.487,0.413
Cabo Verde,-0.018,,,,,,,0.354,25.4,,39.856,112516.731,18.511,36.961,60.059,0.8
Cambodia,,,,,,,,7.932,,,7170.185,903984.54,5.338,8.949,6.233,12.215
Cameroon,-0.551,,,,,,,11.685,,,5782.9,494885.216,14.239,16.355,100.08,-0.292
Canada,-20.324,293.355,-46.204,334.469,516.501,299.35,13.084,27.632,8.15,1.023,999.298,36164.03,17.957,21.379,79.769,4.526
Central African Republic,-0.089,62.413,,89.133,,,,2.913,,,596.934,204933.055,8.427,14.489,66.032,-5.41
Chad,-0.046,,,,,,,5.648,,,1328.819,235274.017,0.343,12.227,44.537,5.538
Chile,-0.484,2359.651,,2132.629,4370.721,,,13.179,7.75,,35540.263,2696779.014,21.679,27.25,30.289,8.6
China,,331.738,,345.374,,,,1143.33,2.5,,5563.62,4866.154,38.595,33.988,39.82,
Colombia,0.544,4797.4,,4911.7,,,,34.125,6.637,,217787.02,6382124.194,18.398,19.718,10.96,17.991
Comoros,-0.01,21.019,,22.144,118.343,118.343,,0.462,,,96.616,209307.298,18.316,11.937,,-10.241
Costa Rica,-0.447,76.01,,99.143,,,,3.051,4.642,,8366.862,2742733.457,18.998,27.367,7.87,7.901
Côte d'Ivoire,-1.214,,,,,,,11.246,,,7362.806,654724.52,-0.836,8.824,56.221,15.12
Croatia,,,,,,,,,,,,,,,,
Cyprus,-0.154,,,,,,0.274,0.589,1.8,2.68,7.891,13392.417,22.722,36.559,52.923,7.735
Czech Republic,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,-0.715,,,,,,,39.725,,,8955.147,225430.277,6.03,29.422,,
Denmark,1.372,456.992,6.588,470.15,,,2.65,5.135,7.167,-2.066,1289.7,251138.712,20.798,20.798,82.5,6.527
Djibouti,,30.414,,36.297,,,,,,,,,19.749,22.07,,5.4
Dominica,-0.043,0.153,,0.179,0.308,,,0.071,,,0.769,10759.849,11.167,28.675,69.037,17.06
Dominican Republic,-0.136,,,,,,,7.118,,,592.615,83258.097,13.608,29.21,16.147,-1.941
Ecuador,-0.374,,,,,,,10.43,6.1,,30.181,2893.664,12.194,14.614,1.32,3.104
Egypt,-2.593,,,,,,,51.36,8.044,,642.406,12507.807,21.165,28.007,42.081,7.179
El Salvador,-0.152,0.677,,0.718,,,,5.34,10,,4.801,899.045,11.589,13.862,34.8,22.973
Equatorial Guinea,-0.019,19.132,,77.232,56.947,,,0.374,,,59.429,158963.333,53.408,54.355,53.216,12.762
Eritrea,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
Ethiopia,-0.294,3.544,,5.281,,,,46.807,,,136.933,2925.493,7.151,13.81,53.916,44.265
Fiji,-0.133,,,,,,,0.728,8.172,,3.618,4967.274,,18.864,,
Finland,-5.711,48.863,2.043,42.829,12.603,-55.917,2.493,4.974,3.167,2.341,126.184,25366.764,25.702,30.119,63.304,1.653
France,-9.87,499.815,-35.065,525.243,373.5,270.074,22.9,56.577,8.4,1.783,1440.085,25453.541,23.521,24.293,66.49,4.152
FYR Macedonia,,,,,,,,,,,,,,,,
Gabon,0.15,323.723,,389.896,1553.085,,,0.93,,,3054.762,3284690.668,22.723,21.132,78.845,19.512
Georgia,,,,,,,,,,,,,,,,
Germany,43.941,,,,,,36.446,79.246,6.155,1.496,1942.951,24517.975,24.433,27.368,,11.342
Ghana,-0.292,0.024,,0.034,0.092,,,14.306,,,8.84,617.888,17.076,19.754,2.197,10.521
Greece,-3.537,12.734,-6.329,19.445,31.416,,3.871,10.121,7,0.527,149.238,14745.558,20.93,24.54,38.268,-3.465
Grenada,-0.029,0.159,,0.218,,,,0.096,,,1.114,11570.308,14.828,25.328,62.169,17.191
Guatemala,-0.213,,,,,,,8.91,,,100.217,11247.749,12.8,15.315,21.751,12.7
Guinea,-0.266,362.13,,458.469,1753.925,,,6.02,,,4268.554,709048.857,16.31,26.274,89.1,
Guinea-Bissau,-0.045,,,,,,,1.017,,,231.151,227354.99,11.585,15.938,5.058,32.8
Guyana,-0.161,,,,,,,0.72,,,151.493,210406.468,-0.959,26.092,16.71,-12.606
Haiti,-0.05,,,,,,,7.086,,,12.692,1791.021,52.858,,8.477,21.841
Honduras,-0.08,2.988,,3.54,41.727,,,4.904,4.267,,76.079,15514.606,14.879,24.772,23.1,0.491
Hong Kong SAR,4.764,89.524,13.901,85.556,,,2.712,5.793,1.33,,885.961,152947.608,35.644,27.17,60.1,8.183
Hungary,0.379,,,,,,,10.375,2.082,,17500.809,1686804.759,25.03,26.664,10.354,-5.343
Iceland,-0.132,148.159,-15.44,160.49,134.542,70.514,0.125,0.254,2.594,,665.985,2624207.732,16.432,20.643,83.3,-0.026
India,-9.68,1022.468,,1403.427,,,,847.438,,,23070.819,27224.213,23.068,26.032,21.448,3.997
Indonesia,-3.2,38956.6,,,,,,179.379,2.4,,2682768,14955868.9,23.082,42.499,11.928,1.4
Iraq,,,,,,,,,,,,,,,,
Ireland,-0.372,15.101,,16.096,34.194,,1.16,3.506,17.2,-1.942,63.433,18093.817,19.349,22.141,,9.173
Islamic Republic of Iran,-2.7,6933.5,,7750.8,,,,52.36,14.2,,919555.781,17562039.79,33.022,31.801,2.931,20.7
Israel,0.169,,,,,,1.492,4.658,9.567,,358.503,76971.107,18.657,19.092,32.624,2.102
Italy,-21.692,309.798,-84.974,390.059,663.831,627.893,21.528,56.694,8.858,0.483,1329.67,23453.303,19.782,22.526,63.21,6.857
Jamaica,-0.334,9.649,,8.842,,,,2.365,15.7,,620.306,262262.447,25.522,17.588,12.373,8.984
Japan,44.709,143464.8,,135788.9,301288,59509.1,62.492,123.438,2.1,2.946,424494.255,3438915.262,33.753,32.528,95.93,7.183
Jordan,-0.646,1.015,,1.222,6.067,6.205,,3.468,16.8,,3.419,985.871,15.246,30.796,49.435,-4.1
Kazakhstan,,,,,,,,,,,,,,,,
Kenya,-0.527,51.561,,64.221,,,,22.037,,,1738.439,78885.827,15.081,26.302,25.986,7.917
Kiribati,-0.006,0.045,,0.049,0.004,,,0.072,,,0.114,1584.624,,,67.735,-14.373
Korea,-2.404,,,,26432.992,,18.085,42.869,2.458,-3.273,419518,9785981.258,38.755,39.616,45.749,4.592
Kosovo,,,,,,,,,,,,,,,,
Kuwait,3.72,3.214,,4.918,0.058,,,2.13,0.5,,11.955,5612.683,2.789,15.872,78.864,-45.4
Kyrgyz Republic,,,,,,,,,,,,,,,,
Lao P.D.R.,-0.078,,,,,,,4.245,,,8779.448,2068419.418,,,5.644,26.489
Latvia,,,,,,,,,,,,,,,,
Lebanon,-1.098,191.1,,778.3,,,,2.703,,,15845.623,5862194.419,17.77,,16.703,1.61
Lesotho,-0.097,0.728,,0.573,0.311,,,1.603,,,4.929,3075.352,45.127,53.697,21.552,-2.965
Liberia,,,,,,,,,,,,,,,,
Libya,2.147,2.985,,2.684,6.372,5.222,,4.26,,,29.872,7012.116,,23.033,75.277,21.216
Lithuania,,0.315,,0.312,,,,,,,,,,,,
Luxembourg,,,,,,,0.187,0.382,1.256,6.302,18.506,48458.074,33.703,24.323,57.768,5.587
Macao SAR,,,,,,,,,,,,,,,,
Madagascar,-0.265,150.98,,156.785,1089.055,,,11.546,,,4431.722,383839.045,4.141,14.818,23.091,-1.242
Malawi,-0.086,,,,,,,10.039,,,467.459,46565.689,9.736,10.258,1.592,24.929
Malaysia,-0.87,39.191,,42.385,94.713,,,18.267,5.055,,264.584,14483.957,28.617,35.433,57.809,16.9
Maldives,0.029,0.454,,0.735,,0,,0.212,,,4.717,22297.151,40.474,28.07,,18.561
Mali,-0.221,,,,,,,7.964,,,1510.37,189648.064,20.223,26.811,72.135,1.512
Malta,,,,,,,0.132,0.352,4.8,14.27,,,48.776,33.493,53.856,13.269
Marshall Islands,,,,,,,,,,,,,,,,
Mauritania,-0.13,21.98,,,,181.216,,1.996,,,328.844,164788.837,9.232,15.66,41.014,
Mauritius,-0.119,,-1.051,9.423,,,,1.059,2.824,,104.073,98293.077,24.225,33.113,49.542,0.45
Mexico,-7.451,182.564,,206.968,,,,85.609,2.742,,7371.264,86103.435,17.894,20.425,12.83,5.079
Micronesia,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,
Mongolia,,5.295,,6.711,,,,2.071,,,5354.18,2585810.967,11.844,13.439,0.204,
Montenegro,,,,,,,,,,,,,,,,
Morocco,-0.714,57.241,,60.806,189.726,189.726,,24.043,,,343.879,14302.678,25.767,28.378,62.951,18.704
Mozambique,-0.517,0.545,,0.69,,,,13.568,,,70.584,5202.265,26.951,37.204,5.541,23.115
