Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.589,271.903,,278.933,75.413,75.413,,30.55,,,457.654,14980.49,30.44,22.563,122.928,7.901
Albania,-1.376,323.709,,394.117,949.932,949.932,,2.897,16,,733.251,253137.42,18.337,29.097,116.215,5.587
Algeria,0.835,5957.546,,6024.131,1288.926,-4274.585,,38.297,9.829,,6539.091,170746.82,45.114,44.716,160.3,-6.394
Angola,8.348,4848.609,,4888.694,3963.403,,,23.673,,,1563.439,66042.843,21.382,14.698,130.782,0.064
Antigua and Barbuda,-0.176,0.604,,0.741,3.056,,,0.087,,,2.428,27769.5,8.827,,132.65,-0.165
Argentina,-4.569,1091.945,-122.553,1192.696,1412.831,,,42.203,7.075,,868.875,20588.027,17.85,18.585,91.498,-3.699
Armenia,-0.845,1011.525,,1084.091,1729.259,,,2.98,16.2,,3140.004,1053692.752,14.669,20.732,268.603,8.743
Australia,-51.581,528.639,-37.304,572.184,479.269,205.272,11.45,23.286,5.642,-1.082,1562.388,67096.346,24.168,27.58,104.8,5.904
Austria,8.378,160.408,-3.192,164.494,260.925,158.8,3.483,8.452,5.342,-0.835,306.175,36225.582,25.118,23.261,120.411,0.814
Azerbaijan,12.047,22.783,,21.911,7.937,,,9.268,6.048,,23.016,2483.391,39.477,23.095,231.523,-1.217
Bahrain,2.409,3.014,,3.676,5.377,5.377,,1.243,4.346,,10.779,8669.292,34.09,16.918,119.9,11.091
Bangladesh,1.897,1346.258,,1751.61,4132.039,,,156.595,,,7341.175,46880.021,29.84,28.489,202.374,12.221
Barbados,-0.397,3.033,,4.057,8.274,6.075,,0.278,11.625,,1.109,3981.351,3.957,13.032,168.918,1.407
Belarus,-7.567,267142.54,,272040.62,251229.425,,,9.464,0.515,,160624.6,16972168.22,29.232,39.584,502.799,-17.035
Belgium,-1.157,206.878,-11.482,218.303,412.556,249.272,4.612,11.162,8.383,-1.248,392.699,35182.906,21.896,22.118,99.69,2.72
Belize,-0.072,0.91,,1.023,2.472,2.472,,0.35,14.094,,2.636,7536.25,10.967,15.404,133.584,0.138
Benin,-0.864,836.438,,920.832,1144.005,,,10.32,,,3610.7,349872.188,19.024,28.499,112.014,65.017
Bhutan,-0.439,30.664,,34.9,94.655,,,0.754,3.2,,52.884,70137.412,28.576,57.396,918.878,-6.611
Bolivia,1.054,82.809,,81.418,68.831,21.474,,11.081,4,,38.487,3473.151,23.906,19.018,148.14,6.272
Bosnia and Herzegovina,-0.998,11.918,-0.167,12.39,11.633,10.208,,3.878,27.5,,25.945,6690.804,11.484,16.98,137.225,8.098
Botswana,1.322,48.643,5.053,41.73,22.65,,,2.079,,,82.961,39900.805,41.806,32.877,276.67,5.733
Brazil,-74.839,1838.65,-246.743,1996.193,3209.247,1626.335,,201.033,5.392,,1255.667,6246.074,18.932,21.968,2.51E+13,2.738
Brunei Darussalam,3.78,10.439,,7.602,0.5,,,0.406,2.7,,19.151,47146.501,,39.594,100.4,-9.284
Bulgaria,1.016,27.735,-0.785,29.175,14.119,-6.35,,7.238,13.038,,76.09,10511.999,23.216,21.391,144.83,9.475
Burkina Faso,-1.346,1441.746,,1677.336,1728.936,,,16.9,,,4067.347,240671.428,9.81,20.839,107.271,54.912
Burundi,-0.497,1253.181,,1325.578,1461.239,,,8.985,,,1712.897,190633.071,-4.173,14.9,100,14.548
Cabo Verde,-0.09,37.706,,51.332,153.693,146.731,,0.512,16.4,,138.339,270143.032,34.55,39.443,139.071,12.211
Cambodia,-1.88,11371.634,,12685.05,20417.346,,,15.087,,,37528.213,2487460.263,11.168,23.5,155.668,16.35
Cameroon,-1.15,2622.609,,3199.758,2725.295,2725.295,,21.994,,,10528.1,478679.101,17.661,21.552,235.12,10.181
Canada,-57.939,727.785,-27.003,763.322,1628.797,555.857,17.686,35.102,7.1,-0.856,1705.533,48587.412,21.466,24.619,123.267,2.835
Central African Republic,-0.046,63.839,,111.943,412.022,,,4.611,,,568.777,123354.474,5.671,8.67,162.895,-28.001
Chad,-1.192,1331.033,,1463.564,1927.904,,,11.009,,,5118.498,464949.08,18.264,27.468,129.1,-13.672
Chile,-10.311,31197.677,-1388.603,31845.155,17553.517,-7753.095,,17.632,5.932,,114034.728,6467641.27,20.77,24.501,101.561,3.295
China,148.204,16537.656,-299.127,17034.245,23266.449,,,1360.72,4.05,,51620.499,37936.166,48.048,46.491,109.37,8.76
Colombia,-12.367,199864.479,-17855.129,205972.415,268443.685,191845.151,,47.121,9.65,,493831,10480061.97,20.914,24.169,113.98,5.34
Comoros,-0.104,104.672,,61.305,44.204,44.204,,0.754,,,143.773,190797.437,12.166,20.358,169.965,18.938
Costa Rica,-2.486,3379.744,,4765.276,8931.944,,,4.713,8.263,,23781.789,5045817.985,13.824,18.837,95.05,2.181
