Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Macao SAR,2.965,28.201,,21.184,0,,0.237,0.484,4.1,,163.748,338128.798,,25.681,84.127,
Madagascar,-0.695,1863.536,,2153.98,8727.838,,,18.29,,,5897.794,322453.086,18.893,23.773,177.092,-9.579
Malawi,-0.486,98.232,,105.932,158.905,,,13.654,,,732.39,53637.373,8.093,17.095,51.755,-11.467
Malaysia,20.694,123.578,-16.284,139.711,232.177,,,26.477,3.55,,659.254,24899.214,36.234,22.275,89,5.778
Maldives,-0.273,4.578,,5.74,6.432,5.253,,0.294,,,13.885,47269.399,20.62,45,126.008,-30.967
Mali,-0.438,621.605,,712.656,1610.678,1455.053,,11.941,,,2972.427,248920.732,14.792,21.789,112.45,16.796
Malta,-0.523,2.034,-0.211,2.173,3.61,,0.15,0.403,6.942,-0.03,5.972,14831.325,13.181,21.345,81.688,4.303
Marshall Islands,0.002,0.087,,0.118,0.064,,,0.051,,,0.137,2682.438,,,110.843,0.197
Mauritania,-0.877,141.624,,166.25,898.146,898.146,,3.047,,,529.442,173744.245,20.041,61.469,101.16,9.213
Mauritius,-0.313,37.635,-1.306,46.631,102.453,102.453,,1.228,9.567,,204.226,166273.32,18.284,22.668,125.351,5.787
Mexico,-9.311,1972.016,-80.433,2088.318,3683.903,2974.208,,109.748,3.478,,11160.493,101692.077,21.225,22.3,80.2,5.714
Micronesia,-0.021,0.134,,0.148,0.062,,,0.106,,,0.244,2315.415,,,89.645,
Moldova,-0.226,14.519,,13.937,13.528,,,3.6,7.3,,8.05,2235.91,20.055,27.612,10272.723,8
Mongolia,0.03,837.858,,764.597,,,,2.548,,,7319.78,2872980.66,32.46,31.445,58.313,5.781
Montenegro,-0.376,0.667,,0.693,0.659,,,0.616,,,1.979,3214.908,9.377,17.727,197.974,7.051
Morocco,-0.101,138.649,-33.385,171.276,340.676,326.728,,30.172,11.058,,581.401,19269.556,27.332,27.495,98.371,6.868
Mozambique,-0.761,30.524,,34.734,122.882,,,21.01,,,222.088,10570.391,8.582,23.493,111.148,9.312
Myanmar,0.845,1677.287,,2057.668,15622.44,,,48.033,4,,27372.763,569874.935,11.481,13.191,81.48,15.463
Namibia,0.333,12.653,,12.906,12.54,12.54,,1.957,,,34.222,17486.706,24.235,19.69,63.265,-1.197
Nepal,0.163,82.653,,81.069,303.434,,,25.292,,,497.739,19679.654,28.746,26.749,43.93,
Netherlands,41.599,229.464,5.954,230.835,267.038,119.112,7.817,16.32,5.882,-1.69,592.79,36322.917,28.205,20.907,85.6,5.119
New Zealand,-8.012,61.318,5.037,54.67,29.735,11.816,2.083,4.161,3.8,-2.329,180.18,43302.091,18.227,25.434,112.529,-0.496
Nicaragua,-0.784,24.346,,25.182,75.524,,,5.45,5.559,,114.482,21004.326,13.594,25.99,90.389,7.23
Niger,-0.312,323.123,,358.521,1178.491,52.277,,12.792,,,1554.015,121482.666,14.188,23.094,88.518,-5.091
Nigeria,36.529,5348.64,,4255.701,,,,136.253,,,36273.209,266220.01,39.072,16.024,67.373,6.524
Norway,50.105,1111.134,-52.29,815.523,835.517,-2460.759,2.289,4.632,4.616,0.58,2799.184,604340.56,38.825,22.593,88.88,0.453
Oman,5.178,5.712,,4.181,1.145,-2.651,,2.618,,,16.498,6302.242,39.234,22.073,103.726,7.385
Pakistan,-1.534,919.392,,1116.539,4127.627,3716.128,,149.65,7.69,,7291.537,48723.933,17.786,19.081,78.625,16.993
Palau,-0.037,0.079,,0.076,,,,0.02,,,0.193,9749.692,,38.628,84.692,14.336
Panama,-1.064,3.451,0.317,3.856,10.231,8.871,,3.351,9.781,,17.224,5139.827,12.624,22.117,70.697,18.286
Papua New Guinea,0.679,5.307,,4.898,7.253,,,5.781,,,8.625,1491.922,35.89,17.486,364.21,11.258
Paraguay,-0.067,10472.664,832.852,9837.396,15114.931,14016.128,,5.899,5.831,,17971.924,3046605.254,16.252,17.017,83.9,14.029
Peru,1.159,48.791,-1.787,49.857,98.739,78.205,,27.219,9.577,,273.973,10065.506,17.766,16.219,89.081,14.447
Philippines,1.987,1012.822,-112.885,1108.956,3359.459,,,85.26,11.35,,4481.281,52560.181,23.478,21.55,97.3,1.813
Poland,-7.958,398.502,-34.186,437.79,459.569,145.023,,38.174,17.745,,1147.685,30064.702,17.015,19.629,133.017,9.731
Portugal,-19.532,64.227,-8.947,74.054,96.469,89.092,5.1,10.503,7.582,-1.044,174.038,16569.878,12.867,23.657,86.81,-3.241
Puerto Rico,,,,,,,1.222,3.821,11.3,,11.379,2977.786,,14.596,95.676,
Qatar,7.482,64.154,,47.102,31.075,-31.216,,0.821,,,251.977,306855.311,51.11,,,10.375
Republic of Congo,0.027,1245.7,,775.762,3476.272,,,3.35,,,1071.2,319766.105,20.634,20.19,96.26,11.803
Romania,-8.633,90.679,-3.207,92.66,50.966,,,21.382,7.154,,462.394,21624.986,15.234,23.87,76.948,7.584
Russia,84.388,8579.637,1713.329,6820.645,3438.5,,,143.2,7.1,,35637.613,248866.01,28.992,18.633,573.008,8.49
Rwanda,-0.065,349,,336.314,1017.519,,,8.833,,,2392.264,270835.716,21.843,20.832,54.579,13.494
Samoa,-0.04,0.408,,0.405,0.453,,,0.18,,,1.646,9146.963,,,76.8,
San Marino,,0.314,,0.281,0.214,,,0.03,3.56,,1.634,54892.892,,55.503,105.14,
São Tomé and Príncipe,-0.026,931.218,,576.952,3907.691,,,0.155,17.335,,722.669,4673991.282,55.869,76.12,184.479,1.424
Saudi Arabia,90.089,567.849,,346.471,459.6,218.313,,23.33,6.051,,1731.006,74197.915,47.624,20.175,89.308,7.654
Senegal,-0.772,1068.395,-135.908,1083.663,2097.2,,,11.271,,,4183.614,371189.694,15.635,24.486,85.874,2.883
Serbia,-2.202,724.572,11.982,705.281,947.653,862.398,,7.441,21.83,,2689.142,361406.449,16.325,24.771,94.591,11.708
Seychelles,-0.174,1.992,,1.97,7.283,6.94,,0.083,3.624,,5.128,61893.248,16.806,35.745,46.185,11.975
Sierra Leone,-0.105,767.853,,860.246,6243.537,0,,5.12,,,5357.246,1046358.511,4.177,11.301,733.76,1.241
Singapore,27.868,43.249,16.865,26.321,200.006,,2.293,4.266,3.125,,232.773,54567.625,43.238,21.367,77.924,12.478
Slovak Republic,-3.579,18.462,-0.832,19.902,17.049,,2.089,5.379,16.358,-2.008,53.413,9929.202,22.489,29.81,83.34,12.88
Slovenia,-0.653,11.976,-0.43,12.276,7.687,,0.929,1.998,6.542,0.636,33.274,16657.222,26.586,28.38,100,11.364
Solomon Islands,-0.029,1.091,,1.152,1.722,1.38,,0.469,,,3.07,6542.426,7.469,14.188,100.238,9.21
South Africa,-8.063,417.01,-4.237,422.482,544.434,470.26,,47.349,24.65,,2359.099,49823.629,15.186,18.315,64.2,8.568
South Sudan,,,,,,,,,,,,,,,,
Spain,-86.869,367.699,-7.745,356.47,393.479,316.888,19.207,43.663,9.15,3.776,1025.354,23483.569,22.522,30.016,87.904,1.769
Sri Lanka,-0.605,412.388,,584.784,2222.353,,,19.619,7.7,,1941.672,98968.076,24.348,26.827,85.516,-0.582
St. Kitts and Nevis,-0.065,0.46,,0.512,2.316,,,0.049,,,1.403,28560.554,30.317,42.233,85.422,9.743
St. Lucia,-0.129,0.608,,0.797,1.59,,,0.164,,,2.681,16316.218,14.821,28.497,94.006,5.487
St. Vincent and the Grenadines,-0.102,0.351,,0.418,0.973,0.953,,0.108,,,1.333,12321.495,6.518,25.075,82.69,5.471
Sudan,-2.663,15.331,,16.927,61.352,,,35.3,17.01,,78.307,2218.34,13.095,23.137,79.332,-4.05
Suriname,-0.144,1.271,-0.09,1.334,1.761,,,0.499,11.084,,7.251,14544.96,25.883,27.523,82.483,30.407
Swaziland,-0.103,5.499,,5.834,2.73,1.533,,1.105,,,30.431,27548.114,29.999,33.227,143.57,-9.022
Sweden,25.144,1556.18,52.287,1503.532,1394.663,-34.979,4.348,9.048,7.642,1.712,3417.175,377682.213,28.467,22.004,88.85,7.567
Switzerland,57.228,163.859,-1.949,166.676,295.58,216.64,4.207,7.415,3.763,,542.675,73186.123,38.088,24.045,98.595,6.76
Syria,-0.648,358.047,,424.456,763.92,470.611,,19.121,8.089,,1156.714,60492.994,16.162,18.407,130.528,6.963
Taiwan Province of China,17.578,2218.039,-303.085,2519.46,4100.941,3873.481,9.942,22.77,4.13,,11174.918,490765.483,29.904,24.461,92.126,6.309
Tajikistan,-0.037,1.446,,1.655,3.01,,,6.92,2.1,,0.117,16.848,13.184,14.799,356.172,21.239
Tanzania,-0.938,2915.485,,3550.653,8936.186,,,37.589,,,23582.244,627367.565,19.892,21.472,125.1,9.512
Thailand,-7.642,1563.342,90.564,1459.596,3277.498,,,65.152,1.858,,6848.605,105117.341,26.384,30.421,84.95,7.76
