Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.146,154.612,,148.052,56.275,56.275,,28.398,,,362.857,12777.657,37.883,30.402,99.044,43.088
Albania,-1.348,320.653,,364.29,715.517,715.517,,2.913,14,,697.299,239373.168,20.37,31.664,109.549,10.644
Algeria,12.157,4393.344,,4439.854,1304.074,-3538.744,,35.978,9.961,,5988.556,166450.51,49.869,42.328,138.216,-3.218
Angola,7.506,3295.49,,3034.026,3357.02,,,21.664,,,1339.459,61828.094,23.534,14.433,100,-3.266
Antigua and Barbuda,-0.167,0.689,,0.697,2.783,,,0.085,,,2.351,27775.816,13.727,,123.88,-3.412
Argentina,-1.462,505.974,-17.87,527.111,708.284,,,40.788,7.75,,772.967,18950.623,18.782,19.098,67.944,13.932
Armenia,-1.261,734.293,,906.591,1167.512,,,2.96,19,,2709.916,915512.196,15.797,29.419,235.552,29.227
Australia,-44.414,434.725,-64.554,504.048,278.187,53.341,11.021,22.172,5.208,-1.006,1440.24,64956.23,23.587,27.087,97,5.785
Austria,11.478,142.305,-9.36,155.41,242.442,,3.36,8.352,4.817,-1.702,294.628,35277.971,25.877,22.654,110.93,13.84
Azerbaijan,14.834,19.537,,13.45,4.734,,,9.049,6.048,,21.273,2350.841,46.567,18.532,212.383,-1.792
Bahrain,0.771,2.196,,2.76,2.872,2.872,,1.235,3.6,,9.668,7831.214,30.28,27.286,112.2,2.083
Bangladesh,0.507,799.44,,1012.81,2920.429,,,151.125,,,6118.032,40483.132,29.141,26.874,163.519,17.793
Barbados,-0.258,2.976,,3.671,6.214,4.212,,0.277,10.25,,1.098,3968.959,7.761,13.564,148.999,4.651
Belarus,-8.278,68409.9,,69169.308,64970.884,,,9.5,0.833,,148081.3,15587505.26,27.355,42.345,169.877,7.669
Belgium,8.548,180.054,-14.409,194.547,363.698,217.278,4.553,10.84,8.242,-0.098,385.121,35528.097,24.456,22.692,93.55,8.219
Belize,-0.034,0.778,,0.825,2.365,2.365,,0.324,13.513,,2.449,7567.642,10.357,12.792,127.523,7.944
Benin,-0.574,651.1,,664.1,990.776,,,9.51,,,3135.6,329723.092,14.905,23.132,104.958,-1.008
Bhutan,-0.142,30.99,,29.889,38.44,,,0.717,3.3,,43.041,60029.763,34.384,63.476,701.544,1.578
Bolivia,0.766,45.727,,43.43,53.11,25.345,,10.507,4.375,,32.586,3101.377,24.969,17.007,124.49,28.526
Bosnia and Herzegovina,-1.039,11.516,-1.076,12.545,10.837,9.102,,3.897,27.202,,25.346,6504.108,10.115,15.553,132.691,10.871
Botswana,-0.356,31.217,-3.718,38.417,18.631,,,2.007,,,68.17,33967.122,32.162,35.353,226.557,16.022
Brazil,-75.824,1401.923,-169.879,1507.576,2449.83,1475.82,,195.498,6.75,,1150.999,5887.523,18.368,21.801,2.11E+13,7.124
Brunei Darussalam,5.623,8.18,,6.762,0.208,,,0.387,2.7,,18.69,48318.984,,41.711,100.1,11.705
Bulgaria,-0.438,23.054,-2.826,25.877,10.532,-9.599,,7.505,10.306,,73.78,9830.969,21.993,22.868,139.3,17.865
